statement_id	page	record	card_ordinal_in_statement	surface	forward_component_recipe	generation_layer
H1-S001	f10r	H1	1	dchey	CH+E+Y	BOUND_EXEMPLAR
H1-S001	f10r	H1	2	cthoor	CTH+O+OR	BOUND_EXEMPLAR
H1-S001	f10r	H1	3	char	AR	BOUND_EXEMPLAR
H1-S001	f10r	H1	4	chty	T+Y	BOUND_EXEMPLAR
H1-S001	f10r	H1	5	os	OS	BOUND_EXEMPLAR
H1-S001	f10r	H1	6	chair	CH+AIR	BOUND_EXEMPLAR
H1-S001	f10r	H1	7	otytchol	OT+Y+T+CH+OL	BOUND_EXEMPLAR
H1-S001	f10r	H1	8	oky	OK+Y	BOUND_EXEMPLAR
H1-S001	f10r	H1	9	daiin	AIIN	BOUND_EXEMPLAR
H1-S001	f10r	H1	10	etyd	E+T+Y	BOUND_EXEMPLAR
H1-S002	f10r	H1	1	qokchy	OK+Y	PRODUCTIVE_Y_PACKER
H1-S002	f10r	H1	2	qotchol	OT+CH+OL	PRODUCTIVE_Y_PACKER
H1-S002	f10r	H1	3	chol	OL	PRODUCTIVE_Y_PACKER
H1-S002	f10r	H1	4	cthy	CTH+Y	PRODUCTIVE_Y_PACKER
H2-S001	f10r	H2	1	ycheor	Y+CH+E+OR	BOUND_EXEMPLAR
H2-S001	f10r	H2	2	cthy	CTH+Y	BOUND_EXEMPLAR
H2-S001	f10r	H2	3	chor	OR	BOUND_EXEMPLAR
H2-S001	f10r	H2	4	cthaiin	CTH+AIIN	BOUND_EXEMPLAR
H2-S001	f10r	H2	5	qoctholy	O+CTH+OL+Y	BOUND_EXEMPLAR
H2-S001	f10r	H2	6	dy	Y	BOUND_EXEMPLAR
H2-S001	f10r	H2	7	chy	Y	BOUND_EXEMPLAR
H2-S001	f10r	H2	8	taiin	AIIN	BOUND_EXEMPLAR
H2-S001	f10r	H2	9	shy	Y	BOUND_EXEMPLAR
H2-S002	f10r	H2	1	qotchor	OT+CH+OR	SMALL_CONTEXT_PHRASE
H2-S002	f10r	H2	2	chor	OR	SMALL_CONTEXT_PHRASE
H2-S002	f10r	H2	3	otol	OT+OL	SMALL_CONTEXT_PHRASE
H2-S002	f10r	H2	4	chol	OL	SMALL_CONTEXT_PHRASE
H2-S002	f10r	H2	5	cholor	OL+OR	SMALL_CONTEXT_PHRASE
H2-S002	f10r	H2	6	chol	OL	SMALL_CONTEXT_PHRASE
H2-S002	f10r	H2	7	daiin	AIIN	SMALL_CONTEXT_PHRASE
H2-S002	f10r	H2	8	dar	AR	SMALL_CONTEXT_PHRASE
H2-S003	f10r	H2	1	oykchor	O+Y+K+OR	SMALL_CONTEXT_PHRASE
H2-S003	f10r	H2	2	shor	OR	SMALL_CONTEXT_PHRASE
H2-S003	f10r	H2	3	chor	OR	SMALL_CONTEXT_PHRASE
H2-S003	f10r	H2	4	chy	Y	SMALL_CONTEXT_PHRASE
H2-S003	f10r	H2	5	kaiiin	K+IIN	SMALL_CONTEXT_PHRASE
H2-S003	f10r	H2	6	dy	Y	SMALL_CONTEXT_PHRASE
H2-S003	f10r	H2	7	chodaiin	CH+O+AIIN	SMALL_CONTEXT_PHRASE
H3-S001	f11r	H3	1	tshol	T+SH+OL	BOUND_EXEMPLAR
H3-S001	f11r	H3	2	schoal	SH+O+AL	BOUND_EXEMPLAR
H3-S001	f11r	H3	3	cfhy	CFH+Y	BOUND_EXEMPLAR
H3-S001	f11r	H3	4	shfydaiin	SH+Y+AIIN	BOUND_EXEMPLAR
H3-S001	f11r	H3	5	cphy	P+Y	BOUND_EXEMPLAR
H3-S001	f11r	H3	6	shey	SH+EE+Y	BOUND_EXEMPLAR
H3-S001	f11r	H3	7	tchody	T+CH+O+DY	BOUND_EXEMPLAR
H3-S002	f11r	H3	1	shoyty	SH+O+Y+T+Y	PRODUCTIVE_Y_PACKER
H3-S003	f11r	H3	1	dchol	RESUME_CARD	SMALL_CONTEXT_PHRASE
H3-S003	f11r	H3	2	chy	Y	SMALL_CONTEXT_PHRASE
H3-S003	f11r	H3	3	kchy	K+Y	SMALL_CONTEXT_PHRASE
H3-S003	f11r	H3	4	dy	Y	SMALL_CONTEXT_PHRASE
H3-S003	f11r	H3	5	daiin	AIIN	SMALL_CONTEXT_PHRASE
H3-S004	f11r	H3	1	qotchy	OT+Y	SMALL_CONTEXT_PHRASE
H3-S004	f11r	H3	2	okchol	OK+OL	SMALL_CONTEXT_PHRASE
H3-S004	f11r	H3	3	cthy	CTH+Y	SMALL_CONTEXT_PHRASE
H3-S004	f11r	H3	4	dy	Y	SMALL_CONTEXT_PHRASE
H4-S001	f55v	H4	1	qokaiin	OK+AIIN	SMALL_CONTEXT_PHRASE
H4-S001	f55v	H4	2	chaiin	AIIN	SMALL_CONTEXT_PHRASE
H4-S001	f55v	H4	3	ykain	Y+K+AIN	SMALL_CONTEXT_PHRASE
H4-S001	f55v	H4	4	ykan	Y+K+AN	SMALL_CONTEXT_PHRASE
H4-S001	f55v	H4	5	ody	O+DY	SMALL_CONTEXT_PHRASE
H4-S002	f55v	H4	1	daiin	AIIN	PRODUCTIVE_Y_PACKER
H4-S002	f55v	H4	2	chedy	CHD+Y	PRODUCTIVE_Y_PACKER
H4-S002	f55v	H4	3	talam	TALAM	PRODUCTIVE_Y_PACKER
H4-S003	f55v	H4	1	ykaiin	Y+K+AIIN	PRODUCTIVE_Y_PACKER
H4-S003	f55v	H4	2	cheoar	CH+E+O+AR	PRODUCTIVE_Y_PACKER
H4-S003	f55v	H4	3	cheeky	CHK+EE+Y	PRODUCTIVE_Y_PACKER
H4-S003	f55v	H4	4	oldy	OL+DY	PRODUCTIVE_Y_PACKER
H4-S004	f55v	H4	1	aiin	AIIN	SMALL_CONTEXT_PHRASE
H4-S004	f55v	H4	2	okal	OK+AL	SMALL_CONTEXT_PHRASE
H4-S004	f55v	H4	3	oltchy	OL+T+Y	SMALL_CONTEXT_PHRASE
H4-S004	f55v	H4	4	or	OR	SMALL_CONTEXT_PHRASE
H4-S004	f55v	H4	5	y	Y	SMALL_CONTEXT_PHRASE
H4-S004	f55v	H4	6	orain	OR+AIN	SMALL_CONTEXT_PHRASE
H5-S001	f56r	H5	1	chochor	HO+CH+OR	BOUND_EXEMPLAR
H5-S001	f56r	H5	2	cho	HO	BOUND_EXEMPLAR
H5-S001	f56r	H5	3	chodaly	HO+AL+Y	BOUND_EXEMPLAR
H5-S001	f56r	H5	4	daiin	AIIN	BOUND_EXEMPLAR
H5-S001	f56r	H5	5	sho	HO	BOUND_EXEMPLAR
H5-S001	f56r	H5	6	kchol	K+OL	BOUND_EXEMPLAR
H5-S001	f56r	H5	7	otchor	OT+CH+OR	BOUND_EXEMPLAR
H5-S001	f56r	H5	8	choky	OK+Y	BOUND_EXEMPLAR
H5-S001	f56r	H5	9	dal	AL	BOUND_EXEMPLAR
H5-S002	f56r	H5	1	schol	RESUME_CARD	SMALL_CONTEXT_PHRASE
