statement_id	y_packer_output	after_small_phrases	after_bound_exemplar	copied_y	small_rule_count	small_rule_ids	bound_exemplar
H1-S001	CH+E+Y | CTH+O+OR | AR | T+Y | CH+AIR | OT+Y | OL | OK+AIIN | E+T+Y	CH+E+Y | CTH+O+OR | AR | T+Y | CH+AIR | OT+Y | OL | OK+AIIN | E+T+Y	CH+E+Y | CTH+O+OR | AR | T+Y | OS | CH+AIR | OT+Y+T+CH+OL | OK+Y | AIIN | E+T+Y	2	0	NONE	EXEMPLAR_H1-S001
H1-S002	OK+Y | OT+CH+OL | OL | CTH+Y	OK+Y | OT+CH+OL | OL | CTH+Y	OK+Y | OT+CH+OL | OL | CTH+Y	1	0	NONE	NONE
H2-S001	Y+CH+E+OR | CTH+Y | OR | AIIN | OL+Y	Y+CH+E+OR | CTH+Y | OR | AIIN | OL+Y	Y+CH+E+OR | CTH+Y | OR | CTH+AIIN | O+CTH+OL+Y | Y | Y | AIIN | Y	1	0	NONE	EXEMPLAR_H2-S001
H2-S002	OT+CH+OR | OL+OR | AIIN | AR | OL	OT+CH+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	OT+CH+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	0	1	P752:R1_PREPARATION_CONTINUATION_BRIDGE	NONE
H2-S003	O+Y+K+OR | OR | Y | K+IIN | CH+O+AIIN	O+Y+K+OR | OR | OR | Y | K+IIN | Y | CH+O+AIIN	O+Y+K+OR | OR | OR | Y | K+IIN | Y | CH+O+AIIN	1	1	P750:R1_REPEAT_PREPARATION_AROUND_STAGE	NONE
H3-S001	OL+AL+Y | SH | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | UNPACKED(CH) | UNPACKED(DY)	OL+AL+Y | SH | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | UNPACKED(CH) | UNPACKED(DY)	T+SH+OL | SH+O+AL | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | T+CH+O+DY	5	0	NONE	EXEMPLAR_H3-S001
H3-S002	SH+O+Y+T+Y	SH+O+Y+T+Y	SH+O+Y+T+Y	1	0	NONE	NONE
H3-S003	RESUME_CARD | Y+K+AIIN	RESUME_CARD | Y | K+Y | Y | AIIN	RESUME_CARD | Y | K+Y | Y | AIIN	0	1	P751:R1_RESUMED_MEASURED_ADDITION	NONE
H3-S004	OT+Y | OK+OL | CTH+Y	OT+Y | OK+OL | CTH+Y | Y	OT+Y | OK+OL | CTH+Y | Y	1	1	P754:R1_APPEND_CURRENT_ITEM_AFTER_READY	NONE
H4-S001	AIIN | OK+Y | AIN | Y+K+AN | O+DY	OK+AIIN | AIIN | Y+K+AIN | Y+K+AN | O+DY	OK+AIIN | AIIN | Y+K+AIN | Y+K+AN | O+DY	1	1	P756:R1_MEASURE_PORTION_SERIES	NONE
H4-S002	AIIN | CHD+Y | TALAM	AIIN | CHD+Y | TALAM	AIIN | CHD+Y | TALAM	0	0	NONE	NONE
H4-S003	Y+K+AIIN | CH+E+O+AR | CHK+EE+Y | OL+DY	Y+K+AIIN | CH+E+O+AR | CHK+EE+Y | OL+DY	Y+K+AIIN | CH+E+O+AR | CHK+EE+Y | OL+DY	1	0	NONE	NONE
H4-S004	AIIN | OK+AL | OL+T+Y | OR+AIN	AIIN | OK+AL | OL+T+Y | OR | Y | OR+AIN	AIIN | OK+AL | OL+T+Y | OR | Y | OR+AIN	0	1	P750:R2_PREPARATION_BEFORE_PORTION	NONE
H5-S001	HO+CH+OR | AL | AIIN | K+OL | OT+CH+OR | OK+AL+Y	HO+CH+OR | AL | AIIN | K+OL | OT+CH+OR | OK+AL+Y	HO+CH+OR | HO | HO+AL+Y | AIIN | HO | K+OL | OT+CH+OR | OK+Y | AL	0	0	NONE	EXEMPLAR_H5-S001
H5-S002	RESUME_CARD | HO | OK+Y | CH+EE+CKH+O+DY	RESUME_CARD | HO+Y | OK+Y | CH+EE+CKH+O+DY	RESUME_CARD | HO+Y | OK+Y | CH+EE+CKH+O+DY	0	1	P754:R2_PACK_INGREDIENT_WITH_ITEM_AFTER_RESUME	NONE
H5-S003	HO | SH | K+E+Y | OK+Y	SH | HO | K+E+Y | OK+OK+Y	SH | HO | K+E+Y | OK+OK+Y	1	1	P756:R2_HOLD_INGREDIENT_REPEAT_ACTIVATION	NONE
