page	locus	edition	source_group_count	source_groups_json	separators_json	atlas_ascii_fragments_json	current_clean	current_clean_token_count	atlas_flat_equals_current
f76r	f76r.23	ZL3b	13	"[""sheedy"", ""qokedy"", ""chedy"", ""chedy"", ""qokain"", ""chckhy"", ""olchy"", ""l"", ""ain"", ""shedy"", ""olaiin"", ""chedy"", ""qokey""]"	"[""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""UNCERTAIN_SMALL_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""UNCERTAIN_SMALL_SPACE""]"	"[""sheedy"", ""qokedy"", ""chedy"", ""chedy"", ""qokain"", ""chckhy"", ""olchy"", ""l"", ""ain"", ""shedy"", ""olaiin"", ""chedy"", ""qokey""]"	sheedy qokedy chedy chedy qokain chckhy olchy l ain shedy olaiin chedy qokey	13	1
f76r	f76r.23	IT2a	13	"[""sheedy"", ""qokedy"", ""chedy"", ""chedy"", ""qokain"", ""chckhy"", ""olchy"", ""l"", ""ain"", ""shedy"", ""olain"", ""chedy"", ""qokey""]"	"[""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE""]"	"[""sheedy"", ""qokedy"", ""chedy"", ""chedy"", ""qokain"", ""chckhy"", ""olchy"", ""l"", ""ain"", ""shedy"", ""olain"", ""chedy"", ""qokey""]"	sheedy qokedy chedy chedy qokain chckhy olchy l ain shedy olain chedy qokey	13	1
f76r	f76r.23	RF1b	13	"[""sheedy"", ""qokedy"", ""chedy"", ""che@152;y"", ""qokain"", ""chckhy"", ""olchy"", ""l"", ""ain"", ""shedy"", ""olaiin"", ""chedy"", ""qokey""]"	"[""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE""]"	"[""sheedy"", ""qokedy"", ""chedy"", ""che"", ""y"", ""qokain"", ""chckhy"", ""olchy"", ""l"", ""ain"", ""shedy"", ""olaiin"", ""chedy"", ""qokey""]"	sheedy qokedy chedy che y qokain chckhy olchy l ain shedy olaiin chedy qokey	14	1
f77r	f77r.12	ZL3b	8	"[""solteedy"", ""qoteedy"", ""qodeedy"", ""chedaiin"", ""chedy"", ""shedaiin"", ""she[a:o]lol"", ""ched""]"	"[""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE""]"	"[""solteedy"", ""qoteedy"", ""qodeedy"", ""chedaiin"", ""chedy"", ""shedaiin"", ""shealol"", ""ched""]"	solteedy qoteedy qodeedy chedaiin chedy shedaiin shealol ched	8	1
f77r	f77r.12	IT2a	9	"[""solteedy"", ""qoteedy"", ""qodeedy"", ""shedaiin"", ""chedy"", ""shedaiin"", ""sheol"", ""ol"", ""ched""]"	"[""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE""]"	"[""solteedy"", ""qoteedy"", ""qodeedy"", ""shedaiin"", ""chedy"", ""shedaiin"", ""sheol"", ""ol"", ""ched""]"	solteedy qoteedy qodeedy shedaiin chedy shedaiin sheol ol ched	9	1
f77r	f77r.12	RF1b	8	"[""soltee@152;y"", ""qotee@152;y"", ""qodeedy"", ""che@152;aiin"", ""che@152;y"", ""shedaiin"", ""sheolol"", ""che@152;""]"	"[""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE""]"	"[""soltee"", ""y"", ""qotee"", ""y"", ""qodeedy"", ""che"", ""aiin"", ""che"", ""y"", ""shedaiin"", ""sheolol"", ""che""]"	soltee y qotee y qodeedy che aiin che y shedaiin sheolol che	12	1
f77r	f77r.34	ZL3b	8	"[""qokaiin"", ""shedy"", ""chedy"", ""qolchedy"", ""qokaiin"", ""qokaiin"", ""checkhy"", ""raiin""]"	"[""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE""]"	"[""qokaiin"", ""shedy"", ""chedy"", ""qolchedy"", ""qokaiin"", ""qokaiin"", ""checkhy"", ""raiin""]"	qokaiin shedy chedy qolchedy qokaiin qokaiin checkhy raiin	8	1
f77r	f77r.34	IT2a	9	"[""qokaiin"", ""shedy"", ""chedy"", ""qol"", ""chedy"", ""qokaiin"", ""qokaiin"", ""checkhy"", ""raiin""]"	"[""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE""]"	"[""qokaiin"", ""shedy"", ""chedy"", ""qol"", ""chedy"", ""qokaiin"", ""qokaiin"", ""checkhy"", ""raiin""]"	qokaiin shedy chedy qol chedy qokaiin qokaiin checkhy raiin	9	1
f77r	f77r.34	RF1b	8	"[""qokaiin"", ""shedy"", ""chedy"", ""qolche@152;y"", ""qokaiin"", ""qokaiin"", ""checkhy"", ""@206;aiin""]"	"[""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE""]"	"[""qokaiin"", ""shedy"", ""chedy"", ""qolche"", ""y"", ""qokaiin"", ""qokaiin"", ""checkhy"", ""aiin""]"	qokaiin shedy chedy qolche y qokaiin qokaiin checkhy aiin	9	1
f77r	f77r.35	ZL3b	8	"[""solkeey"", ""okaiin"", ""chedy"", ""qokain"", ""sheedy"", ""qokaiin"", ""chedaiin"", ""chealy""]"	"[""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE""]"	"[""solkeey"", ""okaiin"", ""chedy"", ""qokain"", ""sheedy"", ""qokaiin"", ""chedaiin"", ""chealy""]"	solkeey okaiin chedy qokain sheedy qokaiin chedaiin chealy	8	1
