model	whole	confidence	motivation	unresolved_or_counterevidence
TRANSFORMATION	solkeey	C0	77r35condensation_completion	No_vapour_anchor;one_selected_locus
TRANSFORMATION	okaiin	C0	77r35posthead_possessive;77r27noun_contact	Antecedent_and_attachment_unknown
TRANSFORMATION	chedy	C0	77r35becomes_water	43readerpositions_not43resolved_clauses;predicate_repeats
TRANSFORMATION	qokain	C0	77r35vapour_to_water	Water_identity_unanchored;basin_channel_hand_rivals
TRANSFORMATION	sheedy	C0	77r35conditional;81r19before_chedy	Unknown_scope;locative_linkage_rival
TRANSFORMATION	qokaiin	C0	77r35cold_air_completion	77r34doublet;RF35qotaiin;no_air_anchor
TRANSFORMATION	chedaiin	C0	77r35copula_completion	One_selected_locus;RFopaque;not_independent_grammar
TRANSFORMATION	chealy	C0	77r35cold_completion	One_selected_locus;open_rival
FLOW	solkeey	C0	77r35water_through_basin_completion	No_water_anchor;one_selected_locus
FLOW	okaiin	C0	77r35posthead_possessive;77r27noun_contact	Antecedent_and_attachment_unknown
FLOW	chedy	C0	77r35physical_flow_through_basin	No_direction_or_flowing_subject_identified_elsewhere;77r34pipe_before_predicate
FLOW	qokain	C0	77r35basin_as_path	No_container_word_ownership;absent81rselected_text
FLOW	sheedy	C0	77r35open_pipe_condition;81r19before_chedy	Unknown_scope;no_valve_or_condition_anchor
FLOW	qokaiin	C0	77r35pipe_open_completion	77r34doublet;RF35qotaiin;no_pipe_word_owner
FLOW	chedaiin	C0	77r35copula_completion	One_selected_locus;RFopaque
FLOW	chealy	C0	77r35open_passage_completion	No_open_closed_contrast;one_selected_locus
MANUAL	qokeedy	C0	75r38rub_rub_press_press_rub;76r52press_rub_press;77r29rub_rub	Actions_guessed_from_repetition;RFopaque_variants
MANUAL	qokedy	C0	75r38press_press;76r52press_rub_press	81r27on_press_conflict;no_pressure_noun_switch
MANUAL	shedy	C0	75r32stroke_hand;75r40stroke_hand_stroke	Action_order_and_roles_unproved;no_generic_treat_sense
MANUAL	qokain	C0	75r32stroke_hand;77r35on_hand	No_anatomical_anchor;hand_as_tool_vs_patient_unresolved
MANUAL	qokaiin	C0	76r56foot_stroke_skin;77r26rub_foot	77r34foot_foot_not_explained_by_two_feet
MANUAL	qokeey	C0	81r20it_on_skin;76r56stroke_skin	Selected_through_qokeey_cache;no_independent_topic_support
MANUAL	chedy	C0	77r35on_hand;81r20on_skin	81r27on_press;IT77r34on_it_on
MANUAL	qol	C0	81r25stroke_it;81r20it_on_skin	76r53it_stroke_order;no_antecedent
NETWORK	qokain	C0	77r35outlet_joins_channel	No_owned_connector_caption;absent81rselected_text
NETWORK	qokaiin	C0	77r35where_basin;77r34basin_relation	No_owned_container_caption;doublet_unresolved
NETWORK	chedy	C0	77r35outlet_joins_channel	No_identified_coexisting_endpoints;binary_roles_unknown
NETWORK	solkeey	C0	77r35outlet_its_joins_channel	One_selected_locus;no_discharge_direction
NETWORK	okaiin	C0	77r35posthead_possessive;77r27channel_its	Antecedent_unknown
NETWORK	sheedy	C0	77r35where_basin;81r19where_joins	Relative_scope_and_subject_unknown
NETWORK	qol	C0	81r20X_there_joins_Y;77r33joins_there	No_place_referent;not_material_source
NETWORK	otedy	C0	77r25opening_inlet;81r24inlet	Not_anchored_to_receiving_opening;direction_unknown
