page	locus	section	language	hand	line_mode	ordinal	surface	literal_gloss_de	aligned_chunk_de	action_licensed	signals	identity_signals	action_signals	lost_signals_literal_to_aligned	primary_class	debt_severity	specificity_score	specificity_open	strict_card_debt	strict_debt_categories	mechanical_debt	mechanical_debt_flags	low_or_exploratory_card	low_confidence_sources	low_confidence_labels	repair_route	anchor_drift_ids	practical_translation_de
f102v2	f102v2.3	P	A	1	QUANTITY_LABEL	1	oror	zwei Portionen	Zwei Portionen	0	MATERIAL_ROLE|VALUE_QUANTITY	NONE	NONE	NONE	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY	MAJOR	2	1	1	QUANTITY_OR_UNIT_WITHOUT_HEAD	0	NONE	1	GDT674	LOW	INGREDIENT_IDENTITY_SEARCH	NONE	Zwei Portionen.
f105r	f105r.2	S	B	3	MIXED_RECORD	1	dshees	Dosis oder Charge vollständig eingeweichter Arzneispecies	Dosis oder Charge vollständig eingeweichter Arzneispecies	0	MATERIAL_ROLE|STATE_WET|VALUE_QUANTITY	NONE	NONE	NONE	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY	MAJOR	2	1	1	OPEN_TAXONOMY_OR_MATERIAL_ALTERNATIVE	1	NON_SINGLE_GLOSS	0	NONE	NONE	INGREDIENT_IDENTITY_SEARCH	NONE	Die vollständig eingeweichte Arzneispecies-Dosis hieran anschließend bis zur Trocken-Endstufe bringen. Wurzeldroge der Charge III und den fertigen kalt-trockenen Anfangsansatz bereitstellen; eine Portion Ansatz abmessen. Dazu mittelgetrocknetes Drogenmaterial und eine Drogenportion, erneut bis zur Endstufe trocknen. Von der Charge vollständig erhitzten Ansatzes die erste Fraktion abmessen, als getrockneten Ansatz halten und die Zubereitung fertigstellen.
f105r	f105r.2	S	B	3	MIXED_RECORD	2	yey	hieran anschließend	hieran anschließend	0	REGISTER_CONNECTIVE|STATE_FINISHED	NONE	NONE	NONE	D2_STRUCTURAL_OR_REGISTER_META	CRITICAL	0	1	1	STRUCTURAL_META_CARD	0	NONE	1	GDT678	LOW_EXPLORATORY	STRUCTURAL_TO_PRACTICAL_CARD	NONE	Die vollständig eingeweichte Arzneispecies-Dosis hieran anschließend bis zur Trocken-Endstufe bringen. Wurzeldroge der Charge III und den fertigen kalt-trockenen Anfangsansatz bereitstellen; eine Portion Ansatz abmessen. Dazu mittelgetrocknetes Drogenmaterial und eine Drogenportion, erneut bis zur Endstufe trocknen. Von der Charge vollständig erhitzten Ansatzes die erste Fraktion abmessen, als getrockneten Ansatz halten und die Zubereitung fertigstellen.
f105r	f105r.2	S	B	3	MIXED_RECORD	4	raiin	Wurzel, Typ/Charge III	Wurzel, Charge III	0	AMBIGUOUS_ALTERNATIVE|IDENTITY_ROOT|MATERIAL_ROLE	IDENTITY_ROOT	NONE	NONE	A2_IDENTITY_BEARING_ENTITY	NONE	4	0	1	OPEN_TAXONOMY_OR_MATERIAL_ALTERNATIVE	1	NON_SINGLE_GLOSS	0	NONE	NONE	NONE	NONE	Die vollständig eingeweichte Arzneispecies-Dosis hieran anschließend bis zur Trocken-Endstufe bringen. Wurzeldroge der Charge III und den fertigen kalt-trockenen Anfangsansatz bereitstellen; eine Portion Ansatz abmessen. Dazu mittelgetrocknetes Drogenmaterial und eine Drogenportion, erneut bis zur Endstufe trocknen. Von der Charge vollständig erhitzten Ansatzes die erste Fraktion abmessen, als getrockneten Ansatz halten und die Zubereitung fertigstellen.
f105r	f105r.2	S	B	3	MIXED_RECORD	7	ches	trockenes Drogenmaterial, Mittelstufe	trockenes Drogenmaterial, Mittelstufe	0	MATERIAL_ROLE|STATE_DRY|VALUE_GRADE	NONE	NONE	NONE	D3_GENERIC_CARRIER	CRITICAL	0	1	1	GENERIC_DRUG_HEAD	1	HARD_GENERIC_CARRIER	0	NONE	NONE	PRODUCTIVE_CARRIER_COMPOSITION	NONE	Die vollständig eingeweichte Arzneispecies-Dosis hieran anschließend bis zur Trocken-Endstufe bringen. Wurzeldroge der Charge III und den fertigen kalt-trockenen Anfangsansatz bereitstellen; eine Portion Ansatz abmessen. Dazu mittelgetrocknetes Drogenmaterial und eine Drogenportion, erneut bis zur Endstufe trocknen. Von der Charge vollständig erhitzten Ansatzes die erste Fraktion abmessen, als getrockneten Ansatz halten und die Zubereitung fertigstellen.
f105r	f105r.2	S	B	3	MIXED_RECORD	8	or	Drogenportion	Drogenportion	0	MATERIAL_ROLE|VALUE_QUANTITY	NONE	NONE	NONE	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY	MAJOR	2	1	1	QUANTITY_OR_UNIT_WITHOUT_HEAD	0	NONE	0	NONE	NONE	INGREDIENT_IDENTITY_SEARCH	NONE	Die vollständig eingeweichte Arzneispecies-Dosis hieran anschließend bis zur Trocken-Endstufe bringen. Wurzeldroge der Charge III und den fertigen kalt-trockenen Anfangsansatz bereitstellen; eine Portion Ansatz abmessen. Dazu mittelgetrocknetes Drogenmaterial und eine Drogenportion, erneut bis zur Endstufe trocknen. Von der Charge vollständig erhitzten Ansatzes die erste Fraktion abmessen, als getrockneten Ansatz halten und die Zubereitung fertigstellen.
f105r	f105r.31	S	B	3	MIXED_RECORD	7	okal	Rohstoffklasse I im Ansatz, heiß am Gradanfang	Rohstoffklasse I im heißen Anfangsansatz	0	MATERIAL_ROLE|STATE_HOT|VALUE_GRADE	NONE	NONE	VALUE_GRADE	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY	MAJOR	2	1	1	RAW_CLASS_WITHOUT_IDENTITY	0	NONE	0	NONE	NONE	INGREDIENT_IDENTITY_SEARCH	NONE	Eine vollständig erhitzte und abgeschlossene Zubereitungsdosis aus getrocknetem Drogenholz und eingeweichtem Gummiharz ansetzen. Die erste Drogenfraktion in drei Bündel abfüllen und schließen; daraus das vollständig bereitete Arzneikompositum bilden. Dazu Rohdroge I im heißen Anfangsansatz, bis zur Mittelstufe erhitzte und fertige Holzdroge sowie die erste heiße Holzfraktion verwenden. Bis zur Mittelstufe trocknen und abschließen, auf Heizstufe III bringen und zuletzt eine Portion heiß-trockene Blütenzubereitung in Grundform nehmen.
f105r	f105r.31	S	B	3	MIXED_RECORD	12	or	Drogenportion	Drogenportion	0	MATERIAL_ROLE|VALUE_QUANTITY	NONE	NONE	NONE	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY	MAJOR	2	1	1	QUANTITY_OR_UNIT_WITHOUT_HEAD	0	NONE	0	NONE	NONE	INGREDIENT_IDENTITY_SEARCH	NONE	Eine vollständig erhitzte und abgeschlossene Zubereitungsdosis aus getrocknetem Drogenholz und eingeweichtem Gummiharz ansetzen. Die erste Drogenfraktion in drei Bündel abfüllen und schließen; daraus das vollständig bereitete Arzneikompositum bilden. Dazu Rohdroge I im heißen Anfangsansatz, bis zur Mittelstufe erhitzte und fertige Holzdroge sowie die erste heiße Holzfraktion verwenden. Bis zur Mittelstufe trocknen und abschließen, auf Heizstufe III bringen und zuletzt eine Portion heiß-trockene Blütenzubereitung in Grundform nehmen.
f105r	f105r.31	S	B	3	MIXED_RECORD	13	fchoky	heiß-trockene Blütenzubereitung in Grundform	heiß-trockene Blütenzubereitung in Grundform	0	IDENTITY_FLOWER_FRUIT|MATERIAL_ROLE|STATE_DRY|STATE_HOT	IDENTITY_FLOWER_FRUIT	NONE	NONE	A2_IDENTITY_BEARING_ENTITY	NONE	4	0	1	OPAQUE_FORM_CODE	0	NONE	0	NONE	NONE	NONE	NONE	Eine vollständig erhitzte und abgeschlossene Zubereitungsdosis aus getrocknetem Drogenholz und eingeweichtem Gummiharz ansetzen. Die erste Drogenfraktion in drei Bündel abfüllen und schließen; daraus das vollständig bereitete Arzneikompositum bilden. Dazu Rohdroge I im heißen Anfangsansatz, bis zur Mittelstufe erhitzte und fertige Holzdroge sowie die erste heiße Holzfraktion verwenden. Bis zur Mittelstufe trocknen und abschließen, auf Heizstufe III bringen und zuletzt eine Portion heiß-trockene Blütenzubereitung in Grundform nehmen.
f105v	f105v.1	S	B	3	MIXED_RECORD	3	olpcheey	trocken gebundenes Holzdrogenpulver, Form II	trocken gebundenes Holzdrogenpulver, Form II	0	IDENTITY_POWDER|IDENTITY_WOOD|MATERIAL_ROLE|STATE_DRY	IDENTITY_POWDER|IDENTITY_WOOD	NONE	NONE	A2_IDENTITY_BEARING_ENTITY	NONE	4	0	1	OPAQUE_FORM_CODE	0	NONE	0	NONE	NONE	NONE	NONE	Abgeschlossene zweite Pulverstofffraktion: zweite Ansatzfraktion; trocken gebundenes Holzdrogenpulver, Form II. Dieses auf Stufe III erhitzen; Ergebnis ist fertiges Trockenpulver aus Holzdrogenansatz. Fertiggestellte, abgemessene zweite Ansatzfraktion: drei Dosen des bis zur Mittelstufe getrockneten Pulveransatzes. Hieraus das Pulver der abgeschlossenen zweiten Saatgutfraktion bis zur Mittelstufe trocknen, die Trocknung abschließen und das Pulver fertigstellen.
