surface	literal_gloss_de	positions	loci	pages	action_licensed_positions	specificity_open_positions	strict_card_debt_positions	strict_debt_categories	maximum_severity	strict_severity	anchor_drift_positions	priority_score	primary_classes	identity_signals	repair_routes	sample_keys	priority_rank
olkar	erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen	16	16	11	0	16	16	UNRESOLVED_BINDING	CRITICAL	CRITICAL	1	52	D1_UNRESOLVED_COMPONENT:16	IDENTITY_WOOD	BOUNDARY_OR_COMPONENT_RECONCILIATION	f107r.40#7|f113v.17#4|f75r.3#8|f80r.17#9|f80v.27#3|f80v.35#3|f83v.12#8|f85r2.5#2	1
chol	trocken; nominal trockenes Gut/Material	6	5	5	0	6	6	GENERIC_CARRIER	CRITICAL	CRITICAL	0	18	D3_GENERIC_CARRIER:6	NONE	PRODUCTIVE_CARRIER_COMPOSITION	f27r.9#4|f30r.9#3|f86v3.19#5|f86v3.19#7|f86v6.5#3|f8r.15#3	2
olam	ein Maß Ansatz-/Drogenmaterial; Holzbindung offen	4	4	4	0	4	4	UNRESOLVED_BINDING	CRITICAL	CRITICAL	1	16	D1_UNRESOLVED_COMPONENT:4	IDENTITY_WOOD	BOUNDARY_OR_COMPONENT_RECONCILIATION	f112r.36#6|f113v.3#7|f114r.26#10|f116r.12#12	3
aiin	Menge III	7	6	5	0	7	7	VALUE_DIMENSION_OPEN	MAJOR	MAJOR	0	14	C3_VALUE_WITHOUT_AXIS_OR_OBJECT:7	NONE	VALUE_AXIS_BINDING	f107r.2#3|f107r.2#7|f107r.40#5|f113v.3#2|f26r.2#2|f86v5.24#2|f86v6.4#5	4
dy	Qualitäts-/Wertfeld geschlossen	3	3	3	0	3	3	STRUCTURAL_META_CARD	CRITICAL	CRITICAL	1	13	D2_STRUCTURAL_OR_REGISTER_META:3	NONE	STRUCTURAL_TO_PRACTICAL_CARD	f26r.2#7|f56r.6#2|f76v.10#10	5
daiin	Grad-/Maßwert III	6	6	6	0	6	6	VALUE_DIMENSION_OPEN	MAJOR	MAJOR	0	12	C3_VALUE_WITHOUT_AXIS_OR_OBJECT:6	NONE	VALUE_AXIS_BINDING	f10r.2#9|f56r.6#5|f76v.10#9|f83v.12#1|f86v6.5#5|f8r.15#7	6
or	Drogenportion	5	5	3	0	5	5	QUANTITY_OR_UNIT_WITHOUT_HEAD	MAJOR	MAJOR	0	10	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:5	NONE	INGREDIENT_IDENTITY_SEARCH	f105r.2#8|f105r.31#12|f75r.3#9|f86v6.25#6|f86v6.5#7	7
y	hierzu:	3	3	3	0	3	3	STRUCTURAL_META_CARD	CRITICAL	CRITICAL	0	9	D2_STRUCTURAL_OR_REGISTER_META:3	NONE	STRUCTURAL_TO_PRACTICAL_CARD	f23r.6#2|f80v.35#4|f86v3.13#8	8
okal	Rohstoffklasse I im Ansatz, heiß am Gradanfang	4	3	3	0	4	4	RAW_CLASS_WITHOUT_IDENTITY	MAJOR	MAJOR	0	8	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:4	NONE	INGREDIENT_IDENTITY_SEARCH	f105r.31#7|f107r.40#9|f107r.40#10|f86v5.24#4	9
qol	Drogenstoff zugeben	4	2	2	4	4	4	GENERIC_DRUG_HEAD	MAJOR	MAJOR	0	8	B1_LICENSED_OPERATION_WITH_GENERIC_OBJECT:4	NONE	OBJECT_IDENTITY_BINDING	f77r.38#6|f77r.38#9|f80v.35#5|f80v.35#6	10
