primary_class	positions	unique_surfaces	loci	debt_severity	mean_specificity	top_surfaces	repair_routes
A1_LICENSED_OPERATION	71	56	38	NONE	4.000	dchey|qopchol|sheky|odar|ykaiin|ychedaiin|qoteed|qokamdy|qodor|qody|aiijy|ypcheddy	NONE
A2_IDENTITY_BEARING_ENTITY	73	65	35	NONE	4.000	shor|olpchedy|pchedaiin|chor|lol|ldy|chepy|raiin|lchl|lkedy|lkar|fchoky	NONE
B1_LICENSED_OPERATION_WITH_GENERIC_OBJECT	13	9	8	MAJOR	3.000	qol|qoekol|qochedain|olchdy|qolsheedy|qolky|dold|ytol|qockhol	OBJECT_IDENTITY_BINDING
B2_LICENSED_OPERATION_WITH_REGISTER_WRAPPER	2	2	2	MAJOR	3.000	yky|qey	REGISTER_WRAPPER_DISPATCH
C1_FUNCTIONAL_MATERIAL_ROLE_ONLY	165	121	49	MAJOR	2.000	qokar|or|dar|ol|okal|dchey|oror|cheody|dair|al|otair|ar	INGREDIENT_IDENTITY_SEARCH
C2_STATE_WITHOUT_OBJECT	72	37	39	MAJOR	1.000	qokaiin|cheey|chedy|shedy|qokain|kain|chey|chy|chty|keey|shey|qoty	STATE_HOST_BINDING
C3_VALUE_WITHOUT_AXIS_OR_OBJECT	22	8	20	MAJOR	1.000	aiin|daiin|dain|ydaiin|aiiin|dam|qodaiin|am	VALUE_AXIS_BINDING
D1_UNRESOLVED_COMPONENT	20	2	20	CRITICAL	0.000	olkar|olam	BOUNDARY_OR_COMPONENT_RECONCILIATION
D2_STRUCTURAL_OR_REGISTER_META	21	9	18	CRITICAL	0.000	y|otaiin|okaiin|okain|dy|otain|yey|ychedy|yteody	STRUCTURAL_TO_PRACTICAL_CARD
D3_GENERIC_CARRIER	19	13	15	CRITICAL	0.000	chol|okol|ches|cholches|tshol|shkeol|tol|shol|sheeey|olkchdy|cheol|ckhol	PRODUCTIVE_CARRIER_COMPOSITION
D4_UNLICENSED_LITERAL_ACTION	1	1	1	CRITICAL	0.000	dchey	ACTION_SCOPE_REVIEW
