operation_lemma	regex	use
abmessen	\b(?:abmessen|abzumessen|miss)\b	PRACTICAL_PROSE_MINUS_DECLARED_ACTION_LITERAL_GLOSSES
abteilen	\babteilen\b	PRACTICAL_PROSE_MINUS_DECLARED_ACTION_LITERAL_GLOSSES
abnehmen	\babnehmen\b	PRACTICAL_PROSE_MINUS_DECLARED_ACTION_LITERAL_GLOSSES
abfüllen	\babfüllen\b	PRACTICAL_PROSE_MINUS_DECLARED_ACTION_LITERAL_GLOSSES
abkühlen	\b(?:abkühlen|kühle)\b	PRACTICAL_PROSE_MINUS_DECLARED_ACTION_LITERAL_GLOSSES
abziehen	\babziehen\b	PRACTICAL_PROSE_MINUS_DECLARED_ACTION_LITERAL_GLOSSES
ansetzen	\bansetzen\b	PRACTICAL_PROSE_MINUS_DECLARED_ACTION_LITERAL_GLOSSES
abschließen	\b(?:abschließen|schließe)\b	PRACTICAL_PROSE_MINUS_DECLARED_ACTION_LITERAL_GLOSSES
bereitstellen	\bbereitstellen\b	PRACTICAL_PROSE_MINUS_DECLARED_ACTION_LITERAL_GLOSSES
bereiten	\b(?:bereiten|bereite)\b	PRACTICAL_PROSE_MINUS_DECLARED_ACTION_LITERAL_GLOSSES
bilden	\bbilden\b	PRACTICAL_PROSE_MINUS_DECLARED_ACTION_LITERAL_GLOSSES
bringen	\bbringen\b	PRACTICAL_PROSE_MINUS_DECLARED_ACTION_LITERAL_GLOSSES
einweichen	\b(?:einweichen|weiche)\b	PRACTICAL_PROSE_MINUS_DECLARED_ACTION_LITERAL_GLOSSES
erhitzen	\b(?:erhitzen|erhitze)\b	PRACTICAL_PROSE_MINUS_DECLARED_ACTION_LITERAL_GLOSSES
fertigstellen	\b(?:fertigstellen|stelle)\b	PRACTICAL_PROSE_MINUS_DECLARED_ACTION_LITERAL_GLOSSES
führen	\bführen\b	PRACTICAL_PROSE_MINUS_DECLARED_ACTION_LITERAL_GLOSSES
halten	\bhalten\b	PRACTICAL_PROSE_MINUS_DECLARED_ACTION_LITERAL_GLOSSES
herstellen	\bherstellen\b	PRACTICAL_PROSE_MINUS_DECLARED_ACTION_LITERAL_GLOSSES
hinzugeben	\bhinzugeben\b	PRACTICAL_PROSE_MINUS_DECLARED_ACTION_LITERAL_GLOSSES
kühlen	\b(?:kühlen|kühle)\b	PRACTICAL_PROSE_MINUS_DECLARED_ACTION_LITERAL_GLOSSES
mischen	\bmischen\b	PRACTICAL_PROSE_MINUS_DECLARED_ACTION_LITERAL_GLOSSES
nachtrocknen	\bnachtrocknen\b	PRACTICAL_PROSE_MINUS_DECLARED_ACTION_LITERAL_GLOSSES
nehmen	\b(?:nehmen|nimm)\b	PRACTICAL_PROSE_MINUS_DECLARED_ACTION_LITERAL_GLOSSES
ruhen	\bruhen\b	PRACTICAL_PROSE_MINUS_DECLARED_ACTION_LITERAL_GLOSSES
trocknen	\b(?:trocknen|trockne)\b	PRACTICAL_PROSE_MINUS_DECLARED_ACTION_LITERAL_GLOSSES
überführen	\büberführen\b	PRACTICAL_PROSE_MINUS_DECLARED_ACTION_LITERAL_GLOSSES
verwenden	\bverwenden\b	PRACTICAL_PROSE_MINUS_DECLARED_ACTION_LITERAL_GLOSSES
verbinden	\bverbinden\b	PRACTICAL_PROSE_MINUS_DECLARED_ACTION_LITERAL_GLOSSES
zugeben	\bzugeben\b	PRACTICAL_PROSE_MINUS_DECLARED_ACTION_LITERAL_GLOSSES
zusammengeben	\bzusammengeben\b	PRACTICAL_PROSE_MINUS_DECLARED_ACTION_LITERAL_GLOSSES
stellen	\bstellen\b	PRACTICAL_PROSE_MINUS_DECLARED_ACTION_LITERAL_GLOSSES
