page	locus	section	language	hand	line_mode	token_count	licensed_action_positions	identity_positions	specificity_open_positions	strict_card_debt_positions	critical_positions	major_positions	specificity_points	licensed_operation_signals	licensed_practical_operation_labels	practical_operation_labels	extra_practical_operation_labels	extra_practical_operation_count	anchor_drift_count	class_counts	practical_translation_de
f102v2	f102v2.3	P	A	1	QUANTITY_LABEL	1	0	0	1	1	0	1	2	NONE	NONE	NONE	NONE	0	0	C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:1	Zwei Portionen.
f104v	f104v.2	S	B	3	MIXED_RECORD	10	3	0	7	0	1	6	23	ACT_COOL|ACT_DRAW_OFF|ACT_FINISH|ACT_HEAT|ACT_MEASURE|ACT_TAKE	abkühlen|abmessen|abziehen|erhitzen|fertigstellen|nehmen	abkühlen|abmessen|abziehen|erhitzen|fertigstellen|nehmen	NONE	0	0	A1_LICENSED_OPERATION:3|C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:5|C3_VALUE_WITHOUT_AXIS_OR_OBJECT:1|D2_STRUCTURAL_OR_REGISTER_META:1	Miss hiervon drei Dosen der bis zur Mittelstufe getrockneten Droge ab; vollständig abkühlen und abziehen. Arzneikompositum im Trockenansatz auf Anfangsstufe, Kaltansatz auf Stufe III: davon drei Maße. Ein Maß nehmen, erhitzen und fertigstellen. Erste Unterfraktion der kalten Ansatzfraktion, bis zur Mittelstufe getrocknete und abgeschlossene Rohdroge I sowie zweite kalte Ansatzfraktion; als Schlussmenge eine Maßportion.
f105r	f105r.2	S	B	3	MIXED_RECORD	13	3	1	9	5	2	7	28	ACT_FINISH|ACT_MEASURE	abmessen|fertigstellen	abmessen|bereitstellen|bringen|fertigstellen|halten|trocknen	bereitstellen|bringen|halten|trocknen	4	0	A1_LICENSED_OPERATION:3|A2_IDENTITY_BEARING_ENTITY:1|C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:5|C2_STATE_WITHOUT_OBJECT:2|D2_STRUCTURAL_OR_REGISTER_META:1|D3_GENERIC_CARRIER:1	Die vollständig eingeweichte Arzneispecies-Dosis hieran anschließend bis zur Trocken-Endstufe bringen. Wurzeldroge der Charge III und den fertigen kalt-trockenen Anfangsansatz bereitstellen; eine Portion Ansatz abmessen. Dazu mittelgetrocknetes Drogenmaterial und eine Drogenportion, erneut bis zur Endstufe trocknen. Von der Charge vollständig erhitzten Ansatzes die erste Fraktion abmessen, als getrockneten Ansatz halten und die Zubereitung fertigstellen.
f105r	f105r.31	S	B	3	MIXED_RECORD	13	1	4	8	3	0	8	33	ACT_FILL|ACT_FINISH	abfüllen	abfüllen|abschließen|ansetzen|bilden|bringen|nehmen|trocknen|verwenden	abschließen|ansetzen|bilden|bringen|nehmen|trocknen|verwenden	7	0	A1_LICENSED_OPERATION:1|A2_IDENTITY_BEARING_ENTITY:4|C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:5|C2_STATE_WITHOUT_OBJECT:3	Eine vollständig erhitzte und abgeschlossene Zubereitungsdosis aus getrocknetem Drogenholz und eingeweichtem Gummiharz ansetzen. Die erste Drogenfraktion in drei Bündel abfüllen und schließen; daraus das vollständig bereitete Arzneikompositum bilden. Dazu Rohdroge I im heißen Anfangsansatz, bis zur Mittelstufe erhitzte und fertige Holzdroge sowie die erste heiße Holzfraktion verwenden. Bis zur Mittelstufe trocknen und abschließen, auf Heizstufe III bringen und zuletzt eine Portion heiß-trockene Blütenzubereitung in Grundform nehmen.
f105v	f105v.1	S	B	3	MIXED_RECORD	9	2	6	2	1	0	2	32	ACT_DRY|ACT_FINISH|ACT_HEAT	abschließen|erhitzen|fertigstellen|trocknen	abschließen|erhitzen|fertigstellen|trocknen	NONE	0	0	A1_LICENSED_OPERATION:2|A2_IDENTITY_BEARING_ENTITY:5|C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:2	Abgeschlossene zweite Pulverstofffraktion: zweite Ansatzfraktion; trocken gebundenes Holzdrogenpulver, Form II. Dieses auf Stufe III erhitzen; Ergebnis ist fertiges Trockenpulver aus Holzdrogenansatz. Fertiggestellte, abgemessene zweite Ansatzfraktion: drei Dosen des bis zur Mittelstufe getrockneten Pulveransatzes. Hieraus das Pulver der abgeschlossenen zweiten Saatgutfraktion bis zur Mittelstufe trocknen, die Trocknung abschließen und das Pulver fertigstellen.
f105v	f105v.14	S	B	3	ACTION_SEQUENCE	10	3	3	4	1	0	4	31	ACT_DRY|ACT_MEASURE|ACT_TAKE	abmessen|nachtrocknen|nehmen|trocknen	abmessen|abziehen|ansetzen|nachtrocknen|nehmen|trocknen	abziehen|ansetzen	2	0	A1_LICENSED_OPERATION:3|A2_IDENTITY_BEARING_ENTITY:3|C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:3|C3_VALUE_WITHOUT_AXIS_OR_OBJECT:1	Drei Dosen bis zur Mittelstufe getrocknetes Pulver mit dem auf Anfangsstufe angetrockneten und abgeschlossenen Arzneikompositum ansetzen. Die dritte erhitzte Drogenfraktion und das fertige Trockenpulver aus Holzdrogenansatz nehmen; ferner eine abgezogene Portion dieses Ansatzes, Menge IV, und kaltgestellte Rohdroge II. Die erste Ansatzfraktion abmessen, die erste erhitzte Fraktion abziehen und die Droge kalt trocknen sowie leicht nachtrocknen.
f106r	f106r.23	S	B	3	MIXED_RECORD	10	1	0	9	2	1	8	18	ACT_FINISH|ACT_PREPARE	abschließen|bereiten	abschließen|bereiten	NONE	0	0	A1_LICENSED_OPERATION:1|C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:6|C2_STATE_WITHOUT_OBJECT:2|D2_STRUCTURAL_OR_REGISTER_META:1	Getrocknete Droge, fertig · Arzneikompositum bis Mittelstufe bereiten und abschließen · abgemessene Fraktion II · Rohstoffklasse I · heiß, Mittelstufe, abgeschlossen · bis Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum · heiß-trocken, Anfangsstufe · kalter Ansatz, Mittelstufe, abgeschlossen · abgemessene Fraktion I · eine Portion der ersten Drogenfraktion.
f107r	f107r.2	S	B	3	ACTION_SEQUENCE	13	4	2	7	3	0	7	33	ACT_DRY|ACT_FINISH|ACT_LEAD|ACT_TAKE	abschließen|führen|nehmen|trocknen	abschließen|führen|nehmen|stellen|trocknen	stellen	1	0	A1_LICENSED_OPERATION:4|A2_IDENTITY_BEARING_ENTITY:2|C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:2|C2_STATE_WITHOUT_OBJECT:3|C3_VALUE_WITHOUT_AXIS_OR_OBJECT:2	Eine Dosis bis zur Mittelstufe trocknen und abschließen. Eine Charge des bis zur Mittelstufe gekühlten Ansatzes nehmen, drei Teile; dazu das fertig eingeweichte Zwischenprodukt und den vollständig abgekühlten, abgezogenen Ansatz. Eine Drogenportion nehmen, drei Teile, mit dem trocken angesetzten Arzneikompositum und dem vollständig erhitzten Holzdrogenansatz. Auf Kältestufe II stellen, bis zur mittleren Trockenstufe führen, danach vollständig zu Ende trocknen und abschließen; zuletzt eine Holzportion.
f107r	f107r.40	S	B	3	NOMINAL_REGISTER	10	0	2	9	5	2	7	15	NONE	NONE	NONE	NONE	0	0	A2_IDENTITY_BEARING_ENTITY:1|C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:4|C2_STATE_WITHOUT_OBJECT:2|C3_VALUE_WITHOUT_AXIS_OR_OBJECT:1|D1_UNRESOLVED_COMPONENT:1|D2_STRUCTURAL_OR_REGISTER_META:1	Holzstoff, heiß auf Stufe III · trocken, Mittelstufe · heiß, Grad III · Rohstoffklasse I, trocken, Anfangsstufe · Menge III · heiß, Grad III, im Ansatz · erste erhitzte Drogenfraktion im Ansatz · zweite kalte Drogenfraktion im Ansatz · Rohstoffklasse I im heißen Anfangsansatz · Rohstoffklasse I im heißen Anfangsansatz.
f10r	f10r.2	H	A	1	MIXED_RECORD	10	1	1	8	2	0	8	22	ACT_DRY|ACT_FINISH	abschließen|trocknen	abnehmen|abschließen|ansetzen|erhitzen|kühlen|trocknen|verbinden	abnehmen|ansetzen|erhitzen|kühlen|verbinden	5	0	A1_LICENSED_OPERATION:1|A2_IDENTITY_BEARING_ENTITY:1|C1_FUNCTIONAL_MATERIAL_ROLE_ONLY:6|C2_STATE_WITHOUT_OBJECT:1|C3_VALUE_WITHOUT_AXIS_OR_OBJECT:1	Eine Portion Blatt- oder Krautansatz bis zur Mittelstufe trocknen und abschließen. Erste und zweite Trockenfraktion kalt-trocken ansetzen und mit einer Ansatzcharge sowie nachgekühltem Trockenstoff verbinden. Den Ansatz leicht erhitzen, drei Teile abnehmen und bis zur Mittelstufe kühlen und abschließen.
