event_card_ordinal	edition_event_ordinal	event_id	statement_id	physical_page	register	surface	final_context_recipe	state_status	state_marker_sequence	gdt576_source_clause_de	gdt576_source_clause_sha256	retained_action_block_de	target_clause_de	target_clause_sha256	repeat_group_ids	repeat_group_count	repeat_slot_count	modifier_fragment_count	bound_fragment_count	unbound_fragment_count	repeat_particle_count	repeat_particle_profile	inverse_key	guard
1	217	G407-E0217	G407-S008	f10r	HERBAL	octhody	O+CH+T+O+D_ADDR+Y	NONSTATE_CARD	NOT_APPLICABLE	Nimm den Pflanzenposten und stelle ihn ein; als Ausführung und als Ausführung; an der D-Stelle.	26ed8be0aa377beeb61427b2406ccaaae76eb3e2ca42724fd1972bce6768f7d6	Nimm den Pflanzenposten und stelle ihn ein	Nimm den Pflanzenposten und stelle ihn ein; beim Nehmen: als Ausführung; beim Einstellen: ebenfalls als Ausführung; an der D-Stelle.	9d138df58a59c70a1ffd03db6331dbb144ae920610e469970de60f97be9182ae	GDT575-D005	1	2	3	2	1	1	ebenfalls:1	G407-E0217	EXPLICIT_EVENT_CARD__NEVER_LOOK_UP_BY_SOURCE_TEXT
2	315	G407-E0315	G407-S011	f11r	HERBAL	socthody	S+O+CH+T+O+D_ADDR+Y	NONSTATE_CARD	NOT_APPLICABLE	Wähle den Pflanzenposten, nimm ihn und stelle ihn ein; als Ausführung und als Ausführung; an der D-Stelle.	6216ef891804151a8f1f3415ea8f8e3c3f492520811e908d8898c50aeb6d764c	Wähle den Pflanzenposten, nimm ihn und stelle ihn ein	Wähle den Pflanzenposten, nimm ihn und stelle ihn ein; beim Wählen: als Ausführung; beim Einstellen: ebenfalls als Ausführung; an der D-Stelle.	436e1bc00566b64764d9928ec9fa73384b0d1ec3139750bee48b6dcd7b6c9467	GDT575-D006	1	2	3	2	1	1	ebenfalls:1	G407-E0315	EXPLICIT_EVENT_CARD__NEVER_LOOK_UP_BY_SOURCE_TEXT
3	333	G407-E0333	G407-S011	f11r	HERBAL	dod	D_ADDR+O+D_ADDR	NONSTATE_CARD	NOT_APPLICABLE	Im laufenden Gang nimm denselben Arbeitswert; als Ausführung; an der D-Stelle und an der D-Stelle.	568db02f28865705ad23d7e2003302552aefdc60b53e79da0df04ce13e63a54d	Im laufenden Gang nimm denselben Arbeitswert	Im laufenden Gang nimm denselben Arbeitswert; beim fortgeführten Nehmen: an der D-Stelle; als Ausführung; beim fortgeführten Nehmen: wieder an der D-Stelle.	063a04c587188f80373c0c91b3354f9cd33dad16bfdd8a87bf9584c1da03cfbc	GDT575-D007	1	2	3	2	1	1	wieder:1	G407-E0333	EXPLICIT_EVENT_CARD__NEVER_LOOK_UP_BY_SOURCE_TEXT
4	400	G407-E0400	G407-S012	f13r	HERBAL	shorodo	SH+OR+O+D_ADDR+O	NONSTATE_CARD	NOT_APPLICABLE	Halte die Arbeitseinheit; als Ausführung und als Ausführung; an der D-Stelle.	aac8076e72a62560873264f79147c422c5a13358b8a4c548b88e7ba0e46a431d	Halte die Arbeitseinheit	Halte die Arbeitseinheit; beim Halten: als Ausführung; an der D-Stelle; beim Halten: erneut als Ausführung.	86b07ae153b7fa3bf24997d51d43053b89a4022d9debdb05ef4146a21236b9e5	GDT575-D008	1	2	3	2	1	1	erneut:1	G407-E0400	EXPLICIT_EVENT_CARD__NEVER_LOOK_UP_BY_SOURCE_TEXT
5	491	G407-E0491	G407-S023	f17r	HERBAL	cheteg	CH+E+T+E+LOCAL_CHAR_G	NONSTATE_CARD	NOT_APPLICABLE	Nimm denselben Pflanzenposten und stelle ihn ein; auf Grad I und auf Grad I; mit der g-Variante.	d32b4fb366ff5bc5ae0c05ecbade01067e177da691f011a7a8049b92e7e80dad	Nimm denselben Pflanzenposten und stelle ihn ein	Nimm denselben Pflanzenposten und stelle ihn ein; beim Nehmen: auf Grad I; beim Einstellen: ebenfalls auf Grad I; mit der g-Variante.	be15288b6d565e62cbd7d2da6ef651111b3e6a01079bee8ef71609572085b358	GDT575-D011	1	2	3	2	1	1	ebenfalls:1	G407-E0491	EXPLICIT_EVENT_CARD__NEVER_LOOK_UP_BY_SOURCE_TEXT
6	522	G407-E0522	G407-S026	f18r	HERBAL	darod	D_ADDR+AR+O+D_ADDR	NONSTATE_CARD	NOT_APPLICABLE	Im laufenden Gang markiere; vom Ausgangsmaterial; als Ausführung; an der D-Stelle und an der D-Stelle.	d630d95cda0d6127453f86ece649fe5c3873645ea1015d28477e5ce0f6440433	Im laufenden Gang markiere	Im laufenden Gang markiere; beim fortgeführten Markieren: an der D-Stelle; vom Ausgangsmaterial; als Ausführung; beim fortgeführten Markieren: wieder an der D-Stelle.	a409fd74ff7c39a0ea5fb03c15174922c8bdd65853fa771d4be802bc9e7e774e	GDT575-D012	1	2	4	2	2	1	wieder:1	G407-E0522	EXPLICIT_EVENT_CARD__NEVER_LOOK_UP_BY_SOURCE_TEXT
7	607	G407-E0607	G407-S030	f24v	HERBAL	opom	O+P+O+AM_ADDR	NONSTATE_CARD	NOT_APPLICABLE	Setze denselben Pflanzenposten ein; als Ausführung und als Ausführung; an der AM-Stelle.	b532171ec3e30f0ffecf00bace1745c77412986d3cccca0649de207e903973cf	Setze denselben Pflanzenposten ein	Setze denselben Pflanzenposten ein; beim Einsetzen: als Ausführung; beim Einsetzen: erneut als Ausführung; an der AM-Stelle.	b188e4c5c0cd47c716147894975726fdccdeaed7b18e4873dd60339a3df6ceeb	GDT575-D013	1	2	3	2	1	1	erneut:1	G407-E0607	EXPLICIT_EVENT_CARD__NEVER_LOOK_UP_BY_SOURCE_TEXT
8	610	G407-E0610	G407-S030	f24v	HERBAL	opshody	O+P+SH+O+DY	STATE_CARD	DY	Setze denselben Pflanzenposten ein und halte ihn; als Ausführung und als Ausführung; schließe den Schritt.	ced00bfa18715aedb31baa1b9605b0316f285b63b36c1f10936c98e11e8c5e17	Setze denselben Pflanzenposten ein und halte ihn	Setze denselben Pflanzenposten ein und halte ihn; beim Einsetzen: als Ausführung; beim Halten: ebenfalls als Ausführung; schließe den Schritt.	b7ba92f53406451f0b25a7c5c6bcb4b7cfc940ac66390c6c21a701e7d5a687e6	GDT575-D014	1	2	2	2	0	1	ebenfalls:1	G407-E0610	EXPLICIT_EVENT_CARD__NEVER_LOOK_UP_BY_SOURCE_TEXT
9	628	G407-E0628	G407-S031	f24v	HERBAL	oesearies	O+E+S+E+AR+LOCAL_CHAR_I+E+S	NONSTATE_CARD	NOT_APPLICABLE	Wähle denselben Pflanzenposten und wähle ihn; vom Ausgangsmaterial; als Ausführung, auf Grad I, auf Grad I und auf Grad I; mit der i-Variante.	e242e9b282c9000ff75fa2e85c62427d81be45a062bb5666a85f50a1f223e822	Wähle denselben Pflanzenposten und wähle ihn	Wähle denselben Pflanzenposten und wähle ihn; als Ausführung; beim ersten Wählen: auf Grad I; beim ersten Wählen: erneut auf Grad I; vom Ausgangsmaterial; mit der i-Variante; beim zweiten Wählen: nochmals auf Grad I.	4fed3760dd6e164cb8c81e3b5ee7be8242447f684f04764f977e6b5fae756393	GDT575-D015	1	3	6	3	3	2	erneut:1|nochmals:1	G407-E0628	EXPLICIT_EVENT_CARD__NEVER_LOOK_UP_BY_SOURCE_TEXT
10	664	G407-E0664	G407-S032	f24v	HERBAL	qodom	CARRIER_Q+O+D_ADDR+O+AM_ADDR	NONSTATE_CARD	NOT_APPLICABLE	Im laufenden Gang nimm denselben Arbeitswert; als neuen Einsatz, als Ausführung und als Ausführung; an der D-Stelle und an der AM-Stelle.	12d9019d92d0667ab1e4a37ff113125ce1636ee2f30794fd437f9817d1a76cb3	Im laufenden Gang nimm denselben Arbeitswert	Im laufenden Gang nimm denselben Arbeitswert; als neuen Einsatz; beim fortgeführten Nehmen: als Ausführung; an der D-Stelle; beim fortgeführten Nehmen: erneut als Ausführung; an der AM-Stelle.	c1de5b727cc3f89c0b3944abb296f457f18eeba7cab107fc57390a9dc7b6e596	GDT575-D016	1	2	5	2	3	1	erneut:1	G407-E0664	EXPLICIT_EVENT_CARD__NEVER_LOOK_UP_BY_SOURCE_TEXT
11	736	G407-E0736	G407-S036	f55v	HERBAL	sheokey	SH+E+OK+E+Y	NONSTATE_CARD	NOT_APPLICABLE	Halte den Pflanzenposten und setze ihn im Arbeitsgang an; auf Grad I und auf Grad I.	8f2960ff80689a12ce61a1052da006540c938650c8d22d595e219dd607c5ee1b	Halte den Pflanzenposten und setze ihn im Arbeitsgang an	Halte den Pflanzenposten und setze ihn im Arbeitsgang an; beim Halten: auf Grad I; beim Ansetzen: ebenfalls auf Grad I.	1a9e136d31a3ca44e528640f60717203456a0e40e0b7ac9981deca107f471a54	GDT575-D021	1	2	2	2	0	1	ebenfalls:1	G407-E0736	EXPLICIT_EVENT_CARD__NEVER_LOOK_UP_BY_SOURCE_TEXT
12	802	G407-E0802	G407-S038	f56r	HERBAL	esedy	E+S+E+DY	STATE_CARD	DY	Wähle denselben Pflanzenposten; auf Grad I und auf Grad I; schließe den Schritt.	1bcde3958b57a8316ff14f19cdfb6d3b836cd79aeedf23dfd4e17dbb9509d435	Wähle denselben Pflanzenposten	Wähle denselben Pflanzenposten; beim Wählen: auf Grad I; beim Wählen: erneut auf Grad I; schließe den Schritt.	66d94b413b57acd999ed25311e9c8997719799ade9e1d55b1077abbbc57a1da2	GDT575-D022	1	2	2	2	0	1	erneut:1	G407-E0802	EXPLICIT_EVENT_CARD__NEVER_LOOK_UP_BY_SOURCE_TEXT
13	902	G407-E0902	G407-S041	f67r2	CELESTIAL	opodchol	O+P+O+D_ADDR+OL	STATE_CARD	OL	Weiter: setze ein; als Ausführung und als Ausführung; an der D-Stelle.	0e0c311004de7c8d2f3b26058f86617c81813593bae92f22fb34724594c0b568	Weiter: setze ein	Weiter: setze ein; beim Einsetzen: als Ausführung; beim Einsetzen: erneut als Ausführung; an der D-Stelle.	3e3e74bb7402153a6eb413340a6d0920b639a21474ad1b84feb6269c248de823	GDT575-D023	1	2	3	2	1	1	erneut:1	G407-E0902	EXPLICIT_EVENT_CARD__NEVER_LOOK_UP_BY_SOURCE_TEXT
14	966	G407-E0966	G407-S048	f67r2	CELESTIAL	ytoeopchey	Y+T+O+E+O+P+CH+E+Y	NONSTATE_CARD	NOT_APPLICABLE	Stelle den äußeren Positionsposten und den inneren Positionsposten ein, setze den äußeren Positionsposten und den inneren Positionsposten ein und nimm den äußeren Positionsposten und den inneren Positionsposten auf; als Ausführung, auf Grad I, als Ausführung und auf Grad I.	390d0358121fbde4da9a4559680d699e391d7c15136fc65a43ea39bb3ac5c895	Stelle den äußeren Positionsposten und den inneren Positionsposten ein, setze den äußeren Positionsposten und den inneren Positionsposten ein und nimm den äußeren Positionsposten und den inneren Positionsposten auf	Stelle den äußeren Positionsposten und den inneren Positionsposten ein, setze den äußeren Positionsposten und den inneren Positionsposten ein und nimm den äußeren Positionsposten und den inneren Positionsposten auf; beim Einstellen: als Ausführung; beim Einstellen: auf Grad I; beim Einsetzen: ebenfalls als Ausführung; beim Aufnehmen: ebenfalls auf Grad I.	a66cec13977a8d9f0dae74bb7e0451152b7c9ab6104553689cc3ea7a57d6a96a	GDT575-D024|GDT575-D025	2	4	4	4	0	2	ebenfalls:2	G407-E0966	EXPLICIT_EVENT_CARD__NEVER_LOOK_UP_BY_SOURCE_TEXT
15	968	G407-E0968	G407-S048	f67r2	CELESTIAL	sosho	S+O+SH+O	NONSTATE_CARD	NOT_APPLICABLE	Wähle denselben Positionsposten und halte ihn; als Ausführung und als Ausführung.	461ae5eef1590e4126598e53c1f5eb36b096b0005df5ec497dc5c678b09a10a7	Wähle denselben Positionsposten und halte ihn	Wähle denselben Positionsposten und halte ihn; beim Wählen: als Ausführung; beim Halten: ebenfalls als Ausführung.	efa9fccbed102ee62c1c11019b1916517cc729b4ff39ab6223dc65a22b4c6b1c	GDT575-D026	1	2	2	2	0	1	ebenfalls:1	G407-E0968	EXPLICIT_EVENT_CARD__NEVER_LOOK_UP_BY_SOURCE_TEXT
