voice_slot_ordinal	gdt577_slot_ordinal	gdt575_duplicate_group_id	event_id	statement_id	physical_page	register	surface	final_context_recipe	repeat_root	slot_occurrence_in_group	slot_atom_position_zero_based	attachment_topology	head_identity	placement	head_nominal_de	repeat_particle_de	rendered_fragment_de	root_expression_de	root_expression_start	root_expression_end	particle_start	particle_end	guard
1	1	GDT575-D005	G407-E0217	G407-S008	f10r	HERBAL	octhody	O+CH+T+O+D_ADDR+Y	O	1	0	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E0217@1:CH	PRE_HEAD	Nehmen	NONE	beim Nehmen: als Ausführung	als Ausführung	57	71	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
2	2	GDT575-D005	G407-E0217	G407-S008	f10r	HERBAL	octhody	O+CH+T+O+D_ADDR+Y	O	2	3	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E0217@2:T	POST_HEAD	Einstellen	ebenfalls	beim Einstellen: ebenfalls als Ausführung	als Ausführung	100	114	90	99	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
3	3	GDT575-D006	G407-E0315	G407-S011	f11r	HERBAL	socthody	S+O+CH+T+O+D_ADDR+Y	O	1	1	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E0315@0:S	POST_HEAD	Wählen	NONE	beim Wählen: als Ausführung	als Ausführung	68	82	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
4	4	GDT575-D006	G407-E0315	G407-S011	f11r	HERBAL	socthody	S+O+CH+T+O+D_ADDR+Y	O	2	4	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E0315@3:T	POST_HEAD	Einstellen	ebenfalls	beim Einstellen: ebenfalls als Ausführung	als Ausführung	111	125	101	110	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
5	5	GDT575-D007	G407-E0333	G407-S011	f11r	HERBAL	dod	D_ADDR+O+D_ADDR	D_ADDR	1	0	ACTIVE_CONTEXT_HEAD	ACTION:G407-E0331@0:CH	ACTIVE_CONTEXT	Nehmen	NONE	beim fortgeführten Nehmen: an der D-Stelle	an der D-Stelle	73	88	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
6	6	GDT575-D007	G407-E0333	G407-S011	f11r	HERBAL	dod	D_ADDR+O+D_ADDR	D_ADDR	2	2	ACTIVE_CONTEXT_HEAD	ACTION:G407-E0331@0:CH	ACTIVE_CONTEXT	Nehmen	wieder	beim fortgeführten Nehmen: wieder an der D-Stelle	an der D-Stelle	140	155	133	139	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
7	7	GDT575-D008	G407-E0400	G407-S012	f13r	HERBAL	shorodo	SH+OR+O+D_ADDR+O	O	1	2	SAME_HEAD_SAME_SIDE	ACTION:G407-E0400@0:SH	POST_HEAD	Halten	NONE	beim Halten: als Ausführung	als Ausführung	39	53	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
8	8	GDT575-D008	G407-E0400	G407-S012	f13r	HERBAL	shorodo	SH+OR+O+D_ADDR+O	O	2	4	SAME_HEAD_SAME_SIDE	ACTION:G407-E0400@0:SH	POST_HEAD	Halten	erneut	beim Halten: erneut als Ausführung	als Ausführung	92	106	85	91	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
9	9	GDT575-D011	G407-E0491	G407-S023	f17r	HERBAL	cheteg	CH+E+T+E+LOCAL_CHAR_G	E	1	1	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E0491@0:CH	POST_HEAD	Nehmen	NONE	beim Nehmen: auf Grad I	auf Grad I	63	73	-1	-1	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
10	10	GDT575-D011	G407-E0491	G407-S023	f17r	HERBAL	cheteg	CH+E+T+E+LOCAL_CHAR_G	E	2	3	DISTINCT_ACTION_OCCURRENCES	ACTION:G407-E0491@2:T	POST_HEAD	Einstellen	ebenfalls	beim Einstellen: ebenfalls auf Grad I	auf Grad I	102	112	92	101	ONE_ROOT_EXPRESSION_PER_WRITTEN_REPEAT_SLOT__PARTICLE_SEPARATE
