head_voice_ordinal	gdt568_action_voice_card_id	action_root	register_scope	head_nominal_de	source_owner_expansions	guard
1	GDT568-A01	OK	SOURCE_SECTION_T	Eintragen	EINTRAGEN	NOMINAL_HEAD_VOICE_ONLY__ACTION_ROOT_UNCHANGED
2	GDT568-A02	OK	HERBAL	Ansetzen	ARBEITSGANG ANSETZEN	NOMINAL_HEAD_VOICE_ONLY__ACTION_ROOT_UNCHANGED
3	GDT568-A03	OK	CELESTIAL	Setzen	POSITION SETZEN	NOMINAL_HEAD_VOICE_ONLY__ACTION_ROOT_UNCHANGED
4	GDT568-A04	OK	BIOLOGICAL	Ansetzen	STATIONSGANG ANSETZEN	NOMINAL_HEAD_VOICE_ONLY__ACTION_ROOT_UNCHANGED
5	GDT568-A05	OK	PHARMA	Ansetzen	ANSATZ ANSETZEN	NOMINAL_HEAD_VOICE_ONLY__ACTION_ROOT_UNCHANGED
6	GDT568-A06	CH	SOURCE_SECTION_T|BIOLOGICAL	Entnehmen	ENTNEHMEN|POSTEN ENTNEHMEN	NOMINAL_HEAD_VOICE_ONLY__ACTION_ROOT_UNCHANGED
7	GDT568-A07	CH	HERBAL|PHARMA	Nehmen	PFLANZENTEIL NEHMEN|DROGENPOSTEN NEHMEN	NOMINAL_HEAD_VOICE_ONLY__ACTION_ROOT_UNCHANGED
8	GDT568-A08	CH	CELESTIAL	Aufnehmen	POSITION AUFNEHMEN	NOMINAL_HEAD_VOICE_ONLY__ACTION_ROOT_UNCHANGED
9	GDT568-A09	SH	SOURCE_SECTION_T	Festhalten	FESTHALTEN	NOMINAL_HEAD_VOICE_ONLY__ACTION_ROOT_UNCHANGED
10	GDT568-A10	SH	HERBAL|CELESTIAL|BIOLOGICAL|PHARMA	Halten	MATERIAL HALTEN|POSITION HALTEN|POSTEN HALTEN|ANSATZ HALTEN	NOMINAL_HEAD_VOICE_ONLY__ACTION_ROOT_UNCHANGED
11	GDT568-A11	K	SOURCE_SECTION_T|CELESTIAL	Zuordnen	ZUORDNEN|WERT ZUORDNEN	NOMINAL_HEAD_VOICE_ONLY__ACTION_ROOT_UNCHANGED
12	GDT568-A12	K	HERBAL|PHARMA	Zugeben	MATERIAL ZUGEBEN|ZUTAT ZUGEBEN	NOMINAL_HEAD_VOICE_ONLY__ACTION_ROOT_UNCHANGED
13	GDT568-A13	K	BIOLOGICAL	Zuführen	POSTEN ZUFÜHREN	NOMINAL_HEAD_VOICE_ONLY__ACTION_ROOT_UNCHANGED
14	GDT568-A14	S	SOURCE_SECTION_T|HERBAL|CELESTIAL|BIOLOGICAL|PHARMA	Wählen	AUSWÄHLEN|PFLANZENTEIL WÄHLEN|POSITION WÄHLEN|STATION WÄHLEN|DROGENPOSTEN WÄHLEN	NOMINAL_HEAD_VOICE_ONLY__ACTION_ROOT_UNCHANGED
15	GDT568-A15	CHD	SOURCE_SECTION_T|HERBAL|CELESTIAL|BIOLOGICAL|PHARMA	Bearbeiten	EINTRAG BEARBEITEN|MATERIAL BEARBEITEN|EINTRAG BEARBEITEN|POSTEN BEARBEITEN|ANSATZ BEARBEITEN	NOMINAL_HEAD_VOICE_ONLY__ACTION_ROOT_UNCHANGED
16	GDT568-A16	T	SOURCE_SECTION_T	Festlegen	FESTLEGEN	NOMINAL_HEAD_VOICE_ONLY__ACTION_ROOT_UNCHANGED
17	GDT568-A17	T	HERBAL|CELESTIAL|BIOLOGICAL|PHARMA	Einstellen	ARBEITSSTUFE EINSTELLEN|WERT EINSTELLEN|STATIONSWERT EINSTELLEN|ANSATZWERT EINSTELLEN	NOMINAL_HEAD_VOICE_ONLY__ACTION_ROOT_UNCHANGED
18	GDT568-A18	R	SOURCE_SECTION_T	Kennzeichnen	KENNZEICHNEN	NOMINAL_HEAD_VOICE_ONLY__ACTION_ROOT_UNCHANGED
19	GDT568-A19	R	HERBAL|CELESTIAL|BIOLOGICAL|PHARMA	Markieren	TEIL MARKIEREN|POSITION MARKIEREN|STATION MARKIEREN|POSTEN MARKIEREN	NOMINAL_HEAD_VOICE_ONLY__ACTION_ROOT_UNCHANGED
20	GDT568-A20	P	SOURCE_SECTION_T|HERBAL|CELESTIAL|BIOLOGICAL|PHARMA	Einsetzen	IN EINTRAG EINSETZEN|MATERIAL EINSETZEN|EINTRAG EINSETZEN|POSTEN EINSETZEN|ZUTAT EINSETZEN	NOMINAL_HEAD_VOICE_ONLY__ACTION_ROOT_UNCHANGED
