fragment_ordinal	event_id	statement_id	physical_page	register	surface	final_context_recipe	fragment_ordinal_in_event	atom_position_zero_based	atom	base_fragment_de	rendered_fragment_de	target_fragment_start	target_fragment_end	root_expression_start	root_expression_end	repeat_particle_de	head_nominal_de	binding_status	attachment_topology	gdt575_duplicate_group_id	guard
1	G407-E0217	G407-S008	f10r	HERBAL	octhody	O+CH+T+O+D_ADDR+Y	1	0	O	als Ausführung	beim Nehmen: als Ausführung	44	71	57	71	NONE	Nehmen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D005	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
2	G407-E0217	G407-S008	f10r	HERBAL	octhody	O+CH+T+O+D_ADDR+Y	2	3	O	als Ausführung	beim Einstellen: ebenfalls als Ausführung	73	114	100	114	ebenfalls	Einstellen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D005	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
3	G407-E0217	G407-S008	f10r	HERBAL	octhody	O+CH+T+O+D_ADDR+Y	3	4	D_ADDR	an der D-Stelle	an der D-Stelle	116	131	116	131	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
4	G407-E0315	G407-S011	f11r	HERBAL	socthody	S+O+CH+T+O+D_ADDR+Y	1	1	O	als Ausführung	beim Wählen: als Ausführung	55	82	68	82	NONE	Wählen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D006	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
5	G407-E0315	G407-S011	f11r	HERBAL	socthody	S+O+CH+T+O+D_ADDR+Y	2	4	O	als Ausführung	beim Einstellen: ebenfalls als Ausführung	84	125	111	125	ebenfalls	Einstellen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D006	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
6	G407-E0315	G407-S011	f11r	HERBAL	socthody	S+O+CH+T+O+D_ADDR+Y	3	5	D_ADDR	an der D-Stelle	an der D-Stelle	127	142	127	142	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
7	G407-E0333	G407-S011	f11r	HERBAL	dod	D_ADDR+O+D_ADDR	1	0	D_ADDR	an der D-Stelle	beim fortgeführten Nehmen: an der D-Stelle	46	88	73	88	NONE	Nehmen	GDT577_HEAD_BOUND_REPEAT_SLOT	ACTIVE_CONTEXT_HEAD	GDT575-D007	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
8	G407-E0333	G407-S011	f11r	HERBAL	dod	D_ADDR+O+D_ADDR	2	1	O	als Ausführung	als Ausführung	90	104	90	104	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
9	G407-E0333	G407-S011	f11r	HERBAL	dod	D_ADDR+O+D_ADDR	3	2	D_ADDR	an der D-Stelle	beim fortgeführten Nehmen: wieder an der D-Stelle	106	155	140	155	wieder	Nehmen	GDT577_HEAD_BOUND_REPEAT_SLOT	ACTIVE_CONTEXT_HEAD	GDT575-D007	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
10	G407-E0400	G407-S012	f13r	HERBAL	shorodo	SH+OR+O+D_ADDR+O	1	2	O	als Ausführung	beim Halten: als Ausführung	26	53	39	53	NONE	Halten	GDT577_HEAD_BOUND_REPEAT_SLOT	SAME_HEAD_SAME_SIDE	GDT575-D008	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
11	G407-E0400	G407-S012	f13r	HERBAL	shorodo	SH+OR+O+D_ADDR+O	2	3	D_ADDR	an der D-Stelle	an der D-Stelle	55	70	55	70	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
12	G407-E0400	G407-S012	f13r	HERBAL	shorodo	SH+OR+O+D_ADDR+O	3	4	O	als Ausführung	beim Halten: erneut als Ausführung	72	106	92	106	erneut	Halten	GDT577_HEAD_BOUND_REPEAT_SLOT	SAME_HEAD_SAME_SIDE	GDT575-D008	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
13	G407-E0491	G407-S023	f17r	HERBAL	cheteg	CH+E+T+E+LOCAL_CHAR_G	1	1	E	auf Grad I	beim Nehmen: auf Grad I	50	73	63	73	NONE	Nehmen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D011	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
14	G407-E0491	G407-S023	f17r	HERBAL	cheteg	CH+E+T+E+LOCAL_CHAR_G	2	3	E	auf Grad I	beim Einstellen: ebenfalls auf Grad I	75	112	102	112	ebenfalls	Einstellen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D011	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
15	G407-E0491	G407-S023	f17r	HERBAL	cheteg	CH+E+T+E+LOCAL_CHAR_G	3	4	LOCAL_CHAR_G	mit der g-Variante	mit der g-Variante	114	132	114	132	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
16	G407-E0522	G407-S026	f18r	HERBAL	darod	D_ADDR+AR+O+D_ADDR	1	0	D_ADDR	an der D-Stelle	beim fortgeführten Markieren: an der D-Stelle	28	73	58	73	NONE	Markieren	GDT577_HEAD_BOUND_REPEAT_SLOT	ACTIVE_CONTEXT_HEAD	GDT575-D012	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
17	G407-E0522	G407-S026	f18r	HERBAL	darod	D_ADDR+AR+O+D_ADDR	2	1	AR	vom Ausgangsmaterial	vom Ausgangsmaterial	75	95	75	95	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
18	G407-E0522	G407-S026	f18r	HERBAL	darod	D_ADDR+AR+O+D_ADDR	3	2	O	als Ausführung	als Ausführung	97	111	97	111	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
19	G407-E0522	G407-S026	f18r	HERBAL	darod	D_ADDR+AR+O+D_ADDR	4	3	D_ADDR	an der D-Stelle	beim fortgeführten Markieren: wieder an der D-Stelle	113	165	150	165	wieder	Markieren	GDT577_HEAD_BOUND_REPEAT_SLOT	ACTIVE_CONTEXT_HEAD	GDT575-D012	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
20	G407-E0607	G407-S030	f24v	HERBAL	opom	O+P+O+AM_ADDR	1	0	O	als Ausführung	beim Einsetzen: als Ausführung	36	66	52	66	NONE	Einsetzen	GDT577_HEAD_BOUND_REPEAT_SLOT	BRACKETING_SAME_HEAD	GDT575-D013	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
21	G407-E0607	G407-S030	f24v	HERBAL	opom	O+P+O+AM_ADDR	2	2	O	als Ausführung	beim Einsetzen: erneut als Ausführung	68	105	91	105	erneut	Einsetzen	GDT577_HEAD_BOUND_REPEAT_SLOT	BRACKETING_SAME_HEAD	GDT575-D013	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
22	G407-E0607	G407-S030	f24v	HERBAL	opom	O+P+O+AM_ADDR	3	3	AM_ADDR	an der AM-Stelle	an der AM-Stelle	107	123	107	123	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
23	G407-E0610	G407-S030	f24v	HERBAL	opshody	O+P+SH+O+DY	1	0	O	als Ausführung	beim Einsetzen: als Ausführung	50	80	66	80	NONE	Einsetzen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D014	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
24	G407-E0610	G407-S030	f24v	HERBAL	opshody	O+P+SH+O+DY	2	3	O	als Ausführung	beim Halten: ebenfalls als Ausführung	82	119	105	119	ebenfalls	Halten	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D014	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
25	G407-E0628	G407-S031	f24v	HERBAL	oesearies	O+E+S+E+AR+LOCAL_CHAR_I+E+S	1	0	O	als Ausführung	als Ausführung	46	60	46	60	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
26	G407-E0628	G407-S031	f24v	HERBAL	oesearies	O+E+S+E+AR+LOCAL_CHAR_I+E+S	2	1	E	auf Grad I	beim ersten Wählen: auf Grad I	62	92	82	92	NONE	ersten Wählen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D015	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
27	G407-E0628	G407-S031	f24v	HERBAL	oesearies	O+E+S+E+AR+LOCAL_CHAR_I+E+S	3	3	E	auf Grad I	beim ersten Wählen: erneut auf Grad I	94	131	121	131	erneut	ersten Wählen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D015	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
28	G407-E0628	G407-S031	f24v	HERBAL	oesearies	O+E+S+E+AR+LOCAL_CHAR_I+E+S	4	4	AR	vom Ausgangsmaterial	vom Ausgangsmaterial	133	153	133	153	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
29	G407-E0628	G407-S031	f24v	HERBAL	oesearies	O+E+S+E+AR+LOCAL_CHAR_I+E+S	5	5	LOCAL_CHAR_I	mit der i-Variante	mit der i-Variante	155	173	155	173	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
30	G407-E0628	G407-S031	f24v	HERBAL	oesearies	O+E+S+E+AR+LOCAL_CHAR_I+E+S	6	6	E	auf Grad I	beim zweiten Wählen: nochmals auf Grad I	175	215	205	215	nochmals	zweiten Wählen	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D015	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
31	G407-E0664	G407-S032	f24v	HERBAL	qodom	CARRIER_Q+O+D_ADDR+O+AM_ADDR	1	0	CARRIER_Q	als neuen Einsatz	als neuen Einsatz	46	63	46	63	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
32	G407-E0664	G407-S032	f24v	HERBAL	qodom	CARRIER_Q+O+D_ADDR+O+AM_ADDR	2	1	O	als Ausführung	beim fortgeführten Nehmen: als Ausführung	65	106	92	106	NONE	Nehmen	GDT577_HEAD_BOUND_REPEAT_SLOT	ACTIVE_CONTEXT_HEAD	GDT575-D016	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
33	G407-E0664	G407-S032	f24v	HERBAL	qodom	CARRIER_Q+O+D_ADDR+O+AM_ADDR	3	2	D_ADDR	an der D-Stelle	an der D-Stelle	108	123	108	123	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
34	G407-E0664	G407-S032	f24v	HERBAL	qodom	CARRIER_Q+O+D_ADDR+O+AM_ADDR	4	3	O	als Ausführung	beim fortgeführten Nehmen: erneut als Ausführung	125	173	159	173	erneut	Nehmen	GDT577_HEAD_BOUND_REPEAT_SLOT	ACTIVE_CONTEXT_HEAD	GDT575-D016	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
35	G407-E0664	G407-S032	f24v	HERBAL	qodom	CARRIER_Q+O+D_ADDR+O+AM_ADDR	5	4	AM_ADDR	an der AM-Stelle	an der AM-Stelle	175	191	175	191	NONE	NONE	UNBOUND_MODIFIER_IN_RAW_ORDER	NOT_APPLICABLE	NONE	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
36	G407-E0736	G407-S036	f55v	HERBAL	sheokey	SH+E+OK+E+Y	1	1	E	auf Grad I	beim Halten: auf Grad I	58	81	71	81	NONE	Halten	GDT577_HEAD_BOUND_REPEAT_SLOT	DISTINCT_ACTION_OCCURRENCES	GDT575-D021	RAW_ATOM_ORDER__ROOT_EXPRESSION_SPAN_EXCLUDES_REPEAT_PARTICLE
