respun_sigla_ordinal	gdt576_assignment_ordinal	event_id	atom_position_zero_based	atom	sigla_card_id	old_target_fragment_de	new_target_fragment_de	old_target_start	old_target_end	new_target_start	new_target_end	guard
1	53	G407-E0217	4	D_ADDR	GDT576-C01	an der D-Stelle	an der D-Stelle	79	94	116	131	SIGLA_ATOM_POSITION_RETAINED__NEW_EVENT_SPAN_RECOMPUTED
2	68	G407-E0315	5	D_ADDR	GDT576-C01	an der D-Stelle	an der D-Stelle	90	105	127	142	SIGLA_ATOM_POSITION_RETAINED__NEW_EVENT_SPAN_RECOMPUTED
3	71	G407-E0333	0	D_ADDR	GDT576-C01	an der D-Stelle	an der D-Stelle	62	77	73	88	SIGLA_ATOM_POSITION_RETAINED__NEW_EVENT_SPAN_RECOMPUTED
4	72	G407-E0333	2	D_ADDR	GDT576-C01	an der D-Stelle	an der D-Stelle	82	97	140	155	SIGLA_ATOM_POSITION_RETAINED__NEW_EVENT_SPAN_RECOMPUTED
5	89	G407-E0400	3	D_ADDR	GDT576-C01	an der D-Stelle	an der D-Stelle	61	76	55	70	SIGLA_ATOM_POSITION_RETAINED__NEW_EVENT_SPAN_RECOMPUTED
6	119	G407-E0491	4	LOCAL_CHAR_G	GDT576-C09	mit der g-Variante	mit der g-Variante	77	95	114	132	SIGLA_ATOM_POSITION_RETAINED__NEW_EVENT_SPAN_RECOMPUTED
7	131	G407-E0522	0	D_ADDR	GDT576-C01	an der D-Stelle	an der D-Stelle	66	81	58	73	SIGLA_ATOM_POSITION_RETAINED__NEW_EVENT_SPAN_RECOMPUTED
8	132	G407-E0522	3	D_ADDR	GDT576-C01	an der D-Stelle	an der D-Stelle	86	101	150	165	SIGLA_ATOM_POSITION_RETAINED__NEW_EVENT_SPAN_RECOMPUTED
9	147	G407-E0607	3	AM_ADDR	GDT576-C03	an der AM-Stelle	an der AM-Stelle	71	87	107	123	SIGLA_ATOM_POSITION_RETAINED__NEW_EVENT_SPAN_RECOMPUTED
10	153	G407-E0628	5	LOCAL_CHAR_I	GDT576-C08	mit der i-Variante	mit der i-Variante	123	141	155	173	SIGLA_ATOM_POSITION_RETAINED__NEW_EVENT_SPAN_RECOMPUTED
11	164	G407-E0664	2	D_ADDR	GDT576-C01	an der D-Stelle	an der D-Stelle	100	115	108	123	SIGLA_ATOM_POSITION_RETAINED__NEW_EVENT_SPAN_RECOMPUTED
12	165	G407-E0664	4	AM_ADDR	GDT576-C03	an der AM-Stelle	an der AM-Stelle	120	136	175	191	SIGLA_ATOM_POSITION_RETAINED__NEW_EVENT_SPAN_RECOMPUTED
13	199	G407-E0902	3	D_ADDR	GDT576-C01	an der D-Stelle	an der D-Stelle	54	69	90	105	SIGLA_ATOM_POSITION_RETAINED__NEW_EVENT_SPAN_RECOMPUTED
14	329	G407-E1924	2	D_ADDR	GDT576-C01	an der D-Stelle	an der D-Stelle	27	42	40	55	SIGLA_ATOM_POSITION_RETAINED__NEW_EVENT_SPAN_RECOMPUTED
15	336	G407-E1999	0	D_ADDR	GDT576-C01	an der D-Stelle	an der D-Stelle	41	56	44	59	SIGLA_ATOM_POSITION_RETAINED__NEW_EVENT_SPAN_RECOMPUTED
16	337	G407-E1999	3	D_ADDR	GDT576-C01	an der D-Stelle	an der D-Stelle	61	76	97	112	SIGLA_ATOM_POSITION_RETAINED__NEW_EVENT_SPAN_RECOMPUTED
17	416	G407-E3030	0	D_ADDR	GDT576-C01	an der D-Stelle	an der D-Stelle	34	49	47	62	SIGLA_ATOM_POSITION_RETAINED__NEW_EVENT_SPAN_RECOMPUTED
18	417	G407-E3030	4	D_ADDR	GDT576-C01	an der D-Stelle	an der D-Stelle	54	69	92	107	SIGLA_ATOM_POSITION_RETAINED__NEW_EVENT_SPAN_RECOMPUTED
19	418	G407-E3037	4	D_ADDR	GDT576-C01	an der D-Stelle	an der D-Stelle	74	89	114	129	SIGLA_ATOM_POSITION_RETAINED__NEW_EVENT_SPAN_RECOMPUTED
20	419	G407-E3038	3	D_ADDR	GDT576-C01	an der D-Stelle	an der D-Stelle	87	102	87	102	SIGLA_ATOM_POSITION_RETAINED__NEW_EVENT_SPAN_RECOMPUTED
21	420	G407-E3041	0	D_ADDR	GDT576-C01	an der D-Stelle	an der D-Stelle	60	75	64	79	SIGLA_ATOM_POSITION_RETAINED__NEW_EVENT_SPAN_RECOMPUTED
22	421	G407-E3041	4	D_ADDR	GDT576-C01	an der D-Stelle	an der D-Stelle	80	95	113	128	SIGLA_ATOM_POSITION_RETAINED__NEW_EVENT_SPAN_RECOMPUTED
23	445	G407-E3278	0	D_ADDR	GDT576-C01	an der D-Stelle	an der D-Stelle	77	92	92	107	SIGLA_ATOM_POSITION_RETAINED__NEW_EVENT_SPAN_RECOMPUTED
24	446	G407-E3278	2	D_ADDR	GDT576-C01	an der D-Stelle	an der D-Stelle	97	112	159	174	SIGLA_ATOM_POSITION_RETAINED__NEW_EVENT_SPAN_RECOMPUTED
25	472	G407-E3533	4	D_ADDR	GDT576-C01	an der D-Stelle	an der D-Stelle	70	85	105	120	SIGLA_ATOM_POSITION_RETAINED__NEW_EVENT_SPAN_RECOMPUTED
