particle_ordinal	event_id	gdt575_duplicate_group_id	repeat_root	slot_occurrence_in_group	slot_atom_position_zero_based	particle_de	particle_start	particle_end	root_expression_start	root_expression_end	guard
1	G407-E0217	GDT575-D005	O	2	3	ebenfalls	90	99	100	114	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
2	G407-E0315	GDT575-D006	O	2	4	ebenfalls	101	110	111	125	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
3	G407-E0333	GDT575-D007	D_ADDR	2	2	wieder	133	139	140	155	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
4	G407-E0400	GDT575-D008	O	2	4	erneut	85	91	92	106	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
5	G407-E0491	GDT575-D011	E	2	3	ebenfalls	92	101	102	112	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
6	G407-E0522	GDT575-D012	D_ADDR	2	3	wieder	143	149	150	165	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
7	G407-E0607	GDT575-D013	O	2	2	erneut	84	90	91	105	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
8	G407-E0610	GDT575-D014	O	2	3	ebenfalls	95	104	105	119	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
9	G407-E0628	GDT575-D015	E	2	3	erneut	114	120	121	131	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
10	G407-E0628	GDT575-D015	E	3	6	nochmals	196	204	205	215	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
11	G407-E0664	GDT575-D016	O	2	3	erneut	152	158	159	173	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
12	G407-E0736	GDT575-D021	E	2	3	ebenfalls	98	107	108	118	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
13	G407-E0802	GDT575-D022	E	2	2	erneut	70	76	77	87	EDITORIAL_REPEAT_PARTICLE__NOT_PART_OF_ROOT_EXPRESSION
