semantic_word_no	canonical_component	graphic_component_aliases	spoken_workshop_word_de	sentence_role	teaching_rule_de	paradigm_slot	slot_label_de	master_question_de	slot_use_de	slot_mates
W01	AIIN	NONE	MASS	QUANTITY	AIIN immer als MASS sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	QUANTITY_STAGE	MENGE_STUFE	wie viel oder welche Stufe?	setzt Maß, Portion, Ordnung oder Stufe	AIIN|AIN|DA|IIN
W02	AIN	NONE	PORTION	QUANTITY	AIN immer als PORTION sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	QUANTITY_STAGE	MENGE_STUFE	wie viel oder welche Stufe?	setzt Maß, Portion, Ordnung oder Stufe	AIIN|AIN|DA|IIN
W03	AIR	NONE	LAUF	PATH_MEDIUM	AIR immer als LAUF sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	SOURCE_PATH_TARGET	ADRESSE	woher, wodurch oder wohin?	setzt Quelle, Lauf, Durchlass, Ziel oder Fach	AR|AIR|CKH|AL|OS
W04	AL	NONE	ZIEL	TARGET	AL immer als ZIEL sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	SOURCE_PATH_TARGET	ADRESSE	woher, wodurch oder wohin?	setzt Quelle, Lauf, Durchlass, Ziel oder Fach	AR|AIR|CKH|AL|OS
W05	AR	NONE	QUELLE	SOURCE	AR immer als QUELLE sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	SOURCE_PATH_TARGET	ADRESSE	woher, wodurch oder wohin?	setzt Quelle, Lauf, Durchlass, Ziel oder Fach	AR|AIR|CKH|AL|OS
W06	CFH	NONE	AUSWRINGEN	ACTION	CFH immer als AUSWRINGEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	ACTION	HANDLUNG	was tun?	führt die Werkstatthandlung aus	CFH|CH|CHD|CHK|K|L|LD|LSH|OK|P|R|S|SH|SHED|SOLK|T|TALAM
W07	CH	NONE	ABZIEHEN	ACTION	CH immer als ABZIEHEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	ACTION	HANDLUNG	was tun?	führt die Werkstatthandlung aus	CFH|CH|CHD|CHK|K|L|LD|LSH|OK|P|R|S|SH|SHED|SOLK|T|TALAM
W08	CHD	NONE	UMSETZEN	ACTION	CHD immer als UMSETZEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	ACTION	HANDLUNG	was tun?	führt die Werkstatthandlung aus	CFH|CH|CHD|CHK|K|L|LD|LSH|OK|P|R|S|SH|SHED|SOLK|T|TALAM
W09	CHK	NONE	WAERMEN	ACTION	CHK immer als WAERMEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	ACTION	HANDLUNG	was tun?	führt die Werkstatthandlung aus	CFH|CH|CHD|CHK|K|L|LD|LSH|OK|P|R|S|SH|SHED|SOLK|T|TALAM
W10	CKH	NONE	DURCHLASS	PATH_MEDIUM	CKH immer als DURCHLASS sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	SOURCE_PATH_TARGET	ADRESSE	woher, wodurch oder wohin?	setzt Quelle, Lauf, Durchlass, Ziel oder Fach	AR|AIR|CKH|AL|OS
W11	CTH	NONE	BEREIT	STATE	CTH immer als BEREIT sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	STATE	ZUSTAND	bis wann?	fordert Bereitschaft	CTH
W12	DA	NONE	ZWEIT	MODIFIER	DA immer als ZWEIT sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	QUANTITY_STAGE	MENGE_STUFE	wie viel oder welche Stufe?	setzt Maß, Portion, Ordnung oder Stufe	AIIN|AIN|DA|IIN
W13	DY	NONE	SCHLUSS	CLOSE	DY immer als SCHLUSS sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	CLOSE	SCHLUSS	ist der Schritt abgeschlossen?	schließt die lizenzierte Karte	DY
W14	E	NONE	KURZ	GRADE	E immer als KURZ sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	GRADE	GRAD	wie kurz, lang oder vollständig?	modifiziert die Ausführung	E|EE|EEE
W15	EE	NONE	LANG	GRADE	EE immer als LANG sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	GRADE	GRAD	wie kurz, lang oder vollständig?	modifiziert die Ausführung	E|EE|EEE
W16	EEE	NONE	VOLL	GRADE	EEE immer als VOLL sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	GRADE	GRAD	wie kurz, lang oder vollständig?	modifiziert die Ausführung	E|EE|EEE
W17	HO	NONE	GABE	MATERIAL	HO immer als GABE sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	OBJECT_MATERIAL	GEGENSTAND	was wird bearbeitet?	setzt Posten, Gabe, Gang oder Ansatz	Y|HO|O|OR
W18	IIN	NONE	STUFE	STATE	IIN immer als STUFE sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	QUANTITY_STAGE	MENGE_STUFE	wie viel oder welche Stufe?	setzt Maß, Portion, Ordnung oder Stufe	AIIN|AIN|DA|IIN
W19	K	NONE	ZUFUEHREN	ACTION	K immer als ZUFUEHREN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	ACTION	HANDLUNG	was tun?	führt die Werkstatthandlung aus	CFH|CH|CHD|CHK|K|L|LD|LSH|OK|P|R|S|SH|SHED|SOLK|T|TALAM
W20	L	NONE	FUEHREN	ACTION	L immer als FUEHREN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	ACTION	HANDLUNG	was tun?	führt die Werkstatthandlung aus	CFH|CH|CHD|CHK|K|L|LD|LSH|OK|P|R|S|SH|SHED|SOLK|T|TALAM
W21	LD	NONE	BEFESTIGEN	ACTION	LD immer als BEFESTIGEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	ACTION	HANDLUNG	was tun?	führt die Werkstatthandlung aus	CFH|CH|CHD|CHK|K|L|LD|LSH|OK|P|R|S|SH|SHED|SOLK|T|TALAM
W22	LSH	NONE	WASCHEN	ACTION	LSH immer als WASCHEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	ACTION	HANDLUNG	was tun?	führt die Werkstatthandlung aus	CFH|CH|CHD|CHK|K|L|LD|LSH|OK|P|R|S|SH|SHED|SOLK|T|TALAM
W23	O	NONE	GANG	PROCESS	O immer als GANG sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	OBJECT_MATERIAL	GEGENSTAND	was wird bearbeitet?	setzt Posten, Gabe, Gang oder Ansatz	Y|HO|O|OR
W24	OK	NONE	ANSETZEN	ACTION	OK immer als ANSETZEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	ACTION	HANDLUNG	was tun?	führt die Werkstatthandlung aus	CFH|CH|CHD|CHK|K|L|LD|LSH|OK|P|R|S|SH|SHED|SOLK|T|TALAM
W25	OL	LS	FORTSETZEN	SEQUENCE	OL und LS gleich als FORTSETZEN sprechen.	SEQUENCE	FOLGE	wann oder weiter?	ordnet Folge oder Fortsetzung	OL|OT
W26	OR	NONE	ANSATZ	PREPARATION	OR immer als ANSATZ sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	OBJECT_MATERIAL	GEGENSTAND	was wird bearbeitet?	setzt Posten, Gabe, Gang oder Ansatz	Y|HO|O|OR
W27	OS	NONE	FACH	TARGET	OS immer als FACH sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	SOURCE_PATH_TARGET	ADRESSE	woher, wodurch oder wohin?	setzt Quelle, Lauf, Durchlass, Ziel oder Fach	AR|AIR|CKH|AL|OS
W28	OT	NONE	DANACH	SEQUENCE	OT immer als DANACH sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	SEQUENCE	FOLGE	wann oder weiter?	ordnet Folge oder Fortsetzung	OL|OT
W29	P	NONE	HINEIN	ACTION	P immer als HINEIN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	ACTION	HANDLUNG	was tun?	führt die Werkstatthandlung aus	CFH|CH|CHD|CHK|K|L|LD|LSH|OK|P|R|S|SH|SHED|SOLK|T|TALAM
W30	R	NONE	KUEHLEN	ACTION	R immer als KUEHLEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	ACTION	HANDLUNG	was tun?	führt die Werkstatthandlung aus	CFH|CH|CHD|CHK|K|L|LD|LSH|OK|P|R|S|SH|SHED|SOLK|T|TALAM
W31	S	NONE	TEILEN	ACTION	S immer als TEILEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	ACTION	HANDLUNG	was tun?	führt die Werkstatthandlung aus	CFH|CH|CHD|CHK|K|L|LD|LSH|OK|P|R|S|SH|SHED|SOLK|T|TALAM
W32	SH	NONE	HALTEN	ACTION	SH immer als HALTEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	ACTION	HANDLUNG	was tun?	führt die Werkstatthandlung aus	CFH|CH|CHD|CHK|K|L|LD|LSH|OK|P|R|S|SH|SHED|SOLK|T|TALAM
W33	SHED	NONE	ABSETZEN	ACTION	SHED immer als ABSETZEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	ACTION	HANDLUNG	was tun?	führt die Werkstatthandlung aus	CFH|CH|CHD|CHK|K|L|LD|LSH|OK|P|R|S|SH|SHED|SOLK|T|TALAM
W34	SOLK	NONE	AUFFANGEN	ACTION	SOLK immer als AUFFANGEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	ACTION	HANDLUNG	was tun?	führt die Werkstatthandlung aus	CFH|CH|CHD|CHK|K|L|LD|LSH|OK|P|R|S|SH|SHED|SOLK|T|TALAM
W35	T	NONE	EINTRAGEN	ACTION	T immer als EINTRAGEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	ACTION	HANDLUNG	was tun?	führt die Werkstatthandlung aus	CFH|CH|CHD|CHK|K|L|LD|LSH|OK|P|R|S|SH|SHED|SOLK|T|TALAM
W36	TALAM	NONE	VERWAHREN	ACTION	TALAM immer als VERWAHREN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	ACTION	HANDLUNG	was tun?	führt die Werkstatthandlung aus	CFH|CH|CHD|CHK|K|L|LD|LSH|OK|P|R|S|SH|SHED|SOLK|T|TALAM
W37	Y	NONE	DIES	ITEM	Y immer als DIES sprechen; konkrete Ergänzungen kommen aus Bild und Fall.	OBJECT_MATERIAL	GEGENSTAND	was wird bearbeitet?	setzt Posten, Gabe, Gang oder Ansatz	Y|HO|O|OR
W38	AN	NONE	NACHPORTION	QUANTITY	AN nach einer bereits genannten AIN-Portion als NACHPORTION sprechen.	QUANTITY_STAGE	MENGE_STUFE	welche weitere Portion?	setzt eine unmittelbar folgende zweite oder zusätzliche Portion	AIIN|AIN|AN|DA|IIN
W39	RESUME_CARD	DCHOL|SCHOL	WIEDERAUFNEHMEN	SEQUENCE	Die exakte dchol/schol-Karte am neuen Aussageanfang als WIEDERAUFNEHMEN sprechen.	SEQUENCE	FOLGE	welcher vorige Arbeitsfaden wird wieder aufgenommen?	nimmt einen zuvor aktiven Posten nach einer Grenze wieder auf	OL|OT|RESUME_CARD
