exact_card_id	surfaces	component_recipe	members	reading_de	events	stacked_members
PROC002	cthoor	CTH+O+OR	O	BEREITEN · VORGANG · ANSATZ	1	NO
PROC018	qoctholy	O+CTH+OL+Y	O	VORGANG · BEREITEN · WEITER · DIES	1	NO
PROC023	oykchor	O+Y+K+OR	O	VORGANG · DIES · ZUGEBEN · ANSATZ	1	NO
PROC024	kaiiin	K+IIN	IIN	ZUGEBEN · STUFE	1	NO
PROC025	chodaiin	CH+O+AIIN	O	ENTNEHMEN · VORGANG · SOLLMASS	1	NO
PROC027	schoal	SH+O+AL	O	HALTEN · VORGANG · ZIELSTELLE	1	NO
PROC032	tchody	T+CH+O+DY	O	ANWENDEN · ENTNEHMEN · VORGANG · SCHLUSS	1	NO
PROC033	shoyty	SH+O+Y+T+Y	O	HALTEN · VORGANG · DIES · ANWENDEN · DIES	1	NO
PROC041	ody	O+DY	O	VORGANG · SCHLUSS	1	NO
PROC045	cheoar	CH+E+O+AR	O	ENTNEHMEN · KURZ · VORGANG · QUELLE	1	NO
PROC057	cheeckhody	CH+EE+CKH+O+DY	O	ENTNEHMEN · LANG · DURCHLASS · VORGANG · SCHLUSS	1	NO
PROC061	chokcheo	OK+CH+E+O	O	ANSETZEN · ENTNEHMEN · KURZ · VORGANG	1	NO
PROC064	sotodan	OT+O+AIN	O	DANACH · VORGANG · PORTION	1	NO
PROC084	lsho	LSH+O	O	SPUELEN · VORGANG	1	NO
PROC087	qolky	SOLK+Y	SOLK	SAMMELSTELLE · DIES	1	NO
PROC097	oiiin|soiiin	O+IIN	O+IIN	VORGANG · STUFE	2	YES
PROC098	olkeedy|solkeedy	SOLK+EE+DY	SOLK	SAMMELSTELLE · LANG · SCHLUSS	3	NO
PROC105	solkaiin	SOLK+AIIN	SOLK	SAMMELSTELLE · SOLLMASS	1	NO
PROC106	octheol	O+CTH+E+OL	O	VORGANG · BEREITEN · KURZ · WEITER	1	NO
PROC130	lochedy	L+O+CHD+DY	O	LEITEN · VORGANG · UMSETZEN · SCHLUSS	1	NO
PROC140	lo	L+O	O	LEITEN · VORGANG	1	NO
PROC161	qockhey	O+CKH+E+Y	O	VORGANG · DURCHLASS · KURZ · DIES	1	NO
PROC164	solkey	SOLK+E+Y	SOLK	SAMMELSTELLE · KURZ · DIES	1	NO
PROC169	daiiin	DA+IIN	IIN	ZWEIT · STUFE	1	NO
PROC170	solkeey	SOLK+EE+Y	SOLK	SAMMELSTELLE · LANG · DIES	1	NO
