event_id	page	statement_id	owner_de	surface	component_recipe	members	reading_de
E002	f10r	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	cthoor	CTH+O+OR	O	BEREITEN · VORGANG · ANSATZ
E019	f10r	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	qoctholy	O+CTH+OL+Y	O	VORGANG · BEREITEN · WEITER · DIES
E032	f10r	H2-S003	abgebildete breit gezähnte radialblütige Pflanze	oykchor	O+Y+K+OR	O	VORGANG · DIES · ZUGEBEN · ANSATZ
E036	f10r	H2-S003	abgebildete breit gezähnte radialblütige Pflanze	kaiiin	K+IIN	IIN	ZUGEBEN · STUFE
E038	f10r	H2-S003	abgebildete breit gezähnte radialblütige Pflanze	chodaiin	CH+O+AIIN	O	ENTNEHMEN · VORGANG · SOLLMASS
E040	f11r	H3-S001	abgebildete dicht blau blühende Kronenpflanze	schoal	SH+O+AL	O	HALTEN · VORGANG · ZIELSTELLE
E045	f11r	H3-S001	abgebildete dicht blau blühende Kronenpflanze	tchody	T+CH+O+DY	O	ANWENDEN · ENTNEHMEN · VORGANG · SCHLUSS
E046	f11r	H3-S002	abgebildete dicht blau blühende Kronenpflanze	shoyty	SH+O+Y+T+Y	O	HALTEN · VORGANG · DIES · ANWENDEN · DIES
E060	f55v	H4-S001	abgebildete breitblättrige rispige Pflanze	ody	O+DY	O	VORGANG · SCHLUSS
E065	f55v	H4-S003	abgebildete breitblättrige rispige Pflanze	cheoar	CH+E+O+AR	O	ENTNEHMEN · KURZ · VORGANG · QUELLE
E086	f56r	H5-S002	abgebildete mehrköpfige stachelige Pflanze	cheeckhody	CH+EE+CKH+O+DY	O	ENTNEHMEN · LANG · DURCHLASS · VORGANG · SCHLUSS
E092	f56r	H5-S004	abgebildete mehrköpfige stachelige Pflanze	chokcheo	OK+CH+E+O	O	ANSETZEN · ENTNEHMEN · KURZ · VORGANG
E097	f56r	H5-S005	abgebildete mehrköpfige stachelige Pflanze	sotodan	OT+O+AIN	O	DANACH · VORGANG · PORTION
E141	f81v	B1-S012	gemeinsame zweireihige Figuren-/Beckenstation	lsho	LSH+O	O	SPUELEN · VORGANG
E146	f81v	B1-S014	gemeinsame zweireihige Figuren-/Beckenstation	qolky	SOLK+Y	SOLK	SAMMELSTELLE · DIES
E161	f81v	B1-S018	gemeinsame zweireihige Figuren-/Beckenstation	oiiin	O+IIN	O+IIN	VORGANG · STUFE
E162	f81v	B1-S018	gemeinsame zweireihige Figuren-/Beckenstation	olkeedy	SOLK+EE+DY	SOLK	SAMMELSTELLE · LANG · SCHLUSS
E178	f82r	B2-S005	oberes Beckenpaar mit Zylinder	solkaiin	SOLK+AIIN	SOLK	SAMMELSTELLE · SOLLMASS
E182	f82r	B2-S005	oberes Beckenpaar mit Zylinder	octheol	O+CTH+E+OL	O	VORGANG · BEREITEN · KURZ · WEITER
E228	f82r	B2-S022	kleine Randstationen des unteren Beckens	lochedy	L+O+CHD+DY	O	LEITEN · VORGANG · UMSETZEN · SCHLUSS
E229	f83r	B3-S001	obere offene Fächerstation am Rand	olkeedy	SOLK+EE+DY	SOLK	SAMMELSTELLE · LANG · SCHLUSS
E263	f83r	B3-S016	untere Randfigur im korbartigen Gefäß	lo	L+O	O	LEITEN · VORGANG
E291	f83r	B3-S026	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	solkeedy	SOLK+EE+DY	SOLK	SAMMELSTELLE · LANG · SCHLUSS
E309	f83r	B3-S034	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	soiiin	O+IIN	O+IIN	VORGANG · STUFE
E350	f83r	B4-S014	linke Hauptstation mit offenem Fransenlauf	qockhey	O+CKH+E+Y	O	VORGANG · DURCHLASS · KURZ · DIES
E356	f83r	B4-S015	rechte Hauptstation mit S-Lauf und Mehrarmknoten	solkey	SOLK+E+Y	SOLK	SAMMELSTELLE · KURZ · DIES
E371	f83r	B5-S003	linke Fransenstation im B5-Nachtrag	daiiin	DA+IIN	IIN	ZWEIT · STUFE
E373	f83r	B6-S001	rechter S-Lauf im B6-Nachtrag	solkeey	SOLK+EE+Y	SOLK	SAMMELSTELLE · LANG · DIES
