pronoun_card_ordinal	pronoun_card_id	register	argument_root	argument_scope	explicit_argument_phrase_de	carried_argument_phrase_de	pronoun_de	source_card_id	repeat_group_count	covered_later_argument_mention_count	surface_anaphor_occurrence_count	event_count	physical_page_count	guard
1	GDT573-P01	SOURCE_SECTION_T	Y	SINGLE_ARGUMENT	den laufenden Eintrag	denselben laufenden Eintrag	ihn	GDT572-A01	98	119	119	98	2	GERMAN_ANAPHORIC_VOICE__NO_PORTABLE_ROOT_VALUE
2	GDT573-P02	SOURCE_SECTION_T	AIIN	SINGLE_ARGUMENT	den Kennwert	denselben Kennwert	ihn	GDT572-A02	14	17	17	14	2	GERMAN_ANAPHORIC_VOICE__NO_PORTABLE_ROOT_VALUE
3	GDT573-P03	SOURCE_SECTION_T	AIN	SINGLE_ARGUMENT	den Teilwert	denselben Teilwert	ihn	GDT572-A03	3	3	3	3	1	GERMAN_ANAPHORIC_VOICE__NO_PORTABLE_ROOT_VALUE
4	GDT573-P04	SOURCE_SECTION_T	OR	SINGLE_ARGUMENT	die Eintragseinheit	dieselbe Eintragseinheit	sie	GDT572-A04	6	8	8	6	2	GERMAN_ANAPHORIC_VOICE__NO_PORTABLE_ROOT_VALUE
5	GDT573-P05	HERBAL	Y	SINGLE_ARGUMENT	den Pflanzenposten	denselben Pflanzenposten	ihn	GDT572-A05	161	193	190	161	12	GERMAN_ANAPHORIC_VOICE__NO_PORTABLE_ROOT_VALUE
6	GDT573-P06	HERBAL	AIIN	SINGLE_ARGUMENT	den Arbeitswert	denselben Arbeitswert	ihn	GDT572-A06	32	33	31	32	8	GERMAN_ANAPHORIC_VOICE__NO_PORTABLE_ROOT_VALUE
7	GDT573-P07	HERBAL	AIN	SINGLE_ARGUMENT	den Materialanteil	denselben Materialanteil	ihn	GDT572-A07	3	4	3	3	1	GERMAN_ANAPHORIC_VOICE__NO_PORTABLE_ROOT_VALUE
8	GDT573-P08	HERBAL	OR	SINGLE_ARGUMENT	die Arbeitseinheit	dieselbe Arbeitseinheit	sie	GDT572-A08	36	37	37	36	9	GERMAN_ANAPHORIC_VOICE__NO_PORTABLE_ROOT_VALUE
9	GDT573-P09	CELESTIAL	Y	SINGLE_ARGUMENT	den Positionsposten	denselben Positionsposten	ihn	GDT572-A09	61	73	73	61	4	GERMAN_ANAPHORIC_VOICE__NO_PORTABLE_ROOT_VALUE
10	GDT573-P10	CELESTIAL	AIIN	SINGLE_ARGUMENT	den Positionswert	denselben Positionswert	ihn	GDT572-A10	13	15	15	13	3	GERMAN_ANAPHORIC_VOICE__NO_PORTABLE_ROOT_VALUE
11	GDT573-P11	CELESTIAL	AIN	SINGLE_ARGUMENT	den Sektoranteil	denselben Sektoranteil	ihn	GDT572-A11	2	2	2	2	1	GERMAN_ANAPHORIC_VOICE__NO_PORTABLE_ROOT_VALUE
12	GDT573-P12	CELESTIAL	OR	SINGLE_ARGUMENT	die Positionseinheit	dieselbe Positionseinheit	sie	GDT572-A12	10	13	13	10	4	GERMAN_ANAPHORIC_VOICE__NO_PORTABLE_ROOT_VALUE
13	GDT573-P13	BIOLOGICAL	Y	SINGLE_ARGUMENT	den Stationsposten	denselben Stationsposten	ihn	GDT572-A13	283	376	376	283	7	GERMAN_ANAPHORIC_VOICE__NO_PORTABLE_ROOT_VALUE
14	GDT573-P14	BIOLOGICAL	AIIN	SINGLE_ARGUMENT	den Stationswert	denselben Stationswert	ihn	GDT572-A14	9	9	9	9	4	GERMAN_ANAPHORIC_VOICE__NO_PORTABLE_ROOT_VALUE
15	GDT573-P15	BIOLOGICAL	AIN	SINGLE_ARGUMENT	den Stationsanteil	denselben Stationsanteil	ihn	GDT572-A15	21	22	22	21	5	GERMAN_ANAPHORIC_VOICE__NO_PORTABLE_ROOT_VALUE
16	GDT573-P16	BIOLOGICAL	OR	SINGLE_ARGUMENT	die Stationseinheit	dieselbe Stationseinheit	sie	GDT572-A16	15	19	19	15	6	GERMAN_ANAPHORIC_VOICE__NO_PORTABLE_ROOT_VALUE
17	GDT573-P17	PHARMA	Y	SINGLE_ARGUMENT	den Drogenposten	denselben Drogenposten	ihn	GDT572-A17	64	77	77	64	3	GERMAN_ANAPHORIC_VOICE__NO_PORTABLE_ROOT_VALUE
18	GDT573-P18	PHARMA	AIIN	SINGLE_ARGUMENT	den Mengenwert	denselben Mengenwert	ihn	GDT572-A18	10	11	11	10	3	GERMAN_ANAPHORIC_VOICE__NO_PORTABLE_ROOT_VALUE
19	GDT573-P19	PHARMA	AIN	SINGLE_ARGUMENT	den Drogenanteil	denselben Drogenanteil	ihn	GDT572-A19	1	1	1	1	1	GERMAN_ANAPHORIC_VOICE__NO_PORTABLE_ROOT_VALUE
20	GDT573-P20	PHARMA	OR	SINGLE_ARGUMENT	die Ansatzeinheit	dieselbe Ansatzeinheit	sie	GDT572-A20	11	11	11	11	3	GERMAN_ANAPHORIC_VOICE__NO_PORTABLE_ROOT_VALUE
21	GDT573-P21	CELESTIAL	Y|Y	PAIRED_ARGUMENT	die beiden Positionsposten	NOT_APPLICABLE	sie	GDT565-R38__G407-E1058	1	3	3	1	1	GERMAN_ANAPHORIC_VOICE__NO_PORTABLE_ROOT_VALUE
22	GDT573-P22	HERBAL	TWO_DISTINCT_MASCULINE_ROOTS	COORDINATED_ARGUMENTS	maskuline Argumentform 1 und maskuline Argumentform 2	NOT_APPLICABLE	beide	GDT573-P05/P06/P07	6	6	3	3	2	GERMAN_ANAPHORIC_VOICE__NO_PORTABLE_ROOT_VALUE
