page_ordinal	physical_page	registers	event_count	statement_count	state_event_count	nonstate_event_count	changed_event_count	changed_statement_count	covered_later_argument_mention_count	anaphor_occurrence_count	remaining_bracket_count	page_status	guard
1	f1r	SOURCE_SECTION_T	214	7	36	178	54	6	67	67	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
2	f10r	HERBAL	92	2	23	69	25	2	33	33	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
3	f11r	HERBAL	59	2	11	48	10	2	12	12	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
4	f13r	HERBAL	77	5	18	59	7	4	7	7	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
5	f17r	HERBAL	78	8	19	59	21	6	24	24	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
6	f18r	HERBAL	84	5	21	63	24	4	25	25	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
7	f24v	HERBAL	86	3	14	72	21	3	26	26	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
8	f55v	HERBAL	106	5	17	89	12	4	14	14	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
9	f56r	HERBAL	105	3	26	79	25	2	29	29	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
10	f67r2	CELESTIAL	126	11	15	111	21	6	23	23	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
11	f68r1	CELESTIAL	31	3	8	23	13	3	21	21	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
12	f69v	CELESTIAL	0	0	0	0	0	0	0	0	0	ZERO_RUNNING_EVENT_PAGE_RETAINED	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
13	f70v	CELESTIAL	0	0	0	0	0	0	0	0	0	ZERO_RUNNING_EVENT_PAGE_RETAINED	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
14	f71v	CELESTIAL	78	5	24	54	13	3	18	18	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
15	f72r	CELESTIAL	288	22	105	183	38	17	44	44	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
16	f75r	BIOLOGICAL	408	111	172	236	55	39	65	65	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
17	f76r	BIOLOGICAL	560	118	187	373	69	43	93	93	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
18	f77r	BIOLOGICAL	321	82	141	180	29	20	39	39	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
19	f81r	BIOLOGICAL	210	48	114	96	23	18	31	31	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
20	f81v	BIOLOGICAL	253	54	102	151	39	25	50	50	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
21	f82r	BIOLOGICAL	278	62	101	177	40	23	52	52	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
22	f83r	BIOLOGICAL	341	91	139	202	72	41	96	96	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
23	f88r	PHARMA	134	5	41	93	20	5	22	22	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
24	f88v	PHARMA	131	13	30	101	21	9	28	28	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
25	f89r	PHARMA	338	20	74	264	44	13	50	50	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
26	f95v	HERBAL	178	30	56	122	38	21	46	44	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
27	f31r	HERBAL	103	19	25	78	11	7	16	15	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
28	f66r	SOURCE_SECTION_T	293	51	95	198	67	30	80	80	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
29	f20v	HERBAL	86	3	21	65	16	3	20	20	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
30	f4r	HERBAL	64	5	21	43	13	4	15	15	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
