change_ordinal	event_id	statement_id	physical_page	register	state_status	surface	final_context_recipe	repeat_argument_group_count	covered_later_argument_mention_count	anaphor_occurrence_count	before_clause_de	after_clause_de	full_argument_expansion_de	guard
1	G407-E0001	G407-S001	f1r	SOURCE_SECTION_T	NONSTATE_CARD	fachys	LOCAL_CHAR_F+A_ADDR+CH+Y+S	1	1	1	Entnimm den laufenden Eintrag und wähle den laufenden Eintrag; an der bezeichneten Stelle und an der bezeichneten Stelle.	Entnimm den laufenden Eintrag und wähle ihn; an der bezeichneten Stelle und an der bezeichneten Stelle.	Entnimm den laufenden Eintrag und wähle den laufenden Eintrag; an der bezeichneten Stelle und an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
2	G407-E0007	G407-S001	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cthres	CH+T+R+E+S	1	3	3	Entnimm denselben laufenden Eintrag, lege denselben laufenden Eintrag fest, kennzeichne denselben laufenden Eintrag und wähle denselben laufenden Eintrag; auf Grad I.	Entnimm denselben laufenden Eintrag, lege ihn fest, kennzeichne ihn und wähle ihn; auf Grad I.	Entnimm denselben laufenden Eintrag, lege denselben laufenden Eintrag fest, kennzeichne denselben laufenden Eintrag und wähle denselben laufenden Eintrag; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
3	G407-E0012	G407-S001	f1r	SOURCE_SECTION_T	NONSTATE_CARD	ckhar	CH+K+AR	1	1	1	Entnimm denselben laufenden Eintrag und ordne denselben laufenden Eintrag zu; von der Ausgangszeile.	Entnimm denselben laufenden Eintrag und ordne ihn zu; von der Ausgangszeile.	Entnimm denselben laufenden Eintrag und ordne denselben laufenden Eintrag zu; von der Ausgangszeile.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
4	G407-E0016	G407-S001	f1r	SOURCE_SECTION_T	NONSTATE_CARD	chtaiin	CH+T+AIIN	1	1	1	Entnimm den Kennwert und lege den Kennwert fest.	Entnimm den Kennwert und lege ihn fest.	Entnimm den Kennwert und lege den Kennwert fest.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
5	G407-E0019	G407-S001	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cthar	CH+T+AR	1	1	1	Entnimm denselben Kennwert und lege denselben Kennwert fest; von der Ausgangszeile.	Entnimm denselben Kennwert und lege ihn fest; von der Ausgangszeile.	Entnimm denselben Kennwert und lege denselben Kennwert fest; von der Ausgangszeile.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
6	G407-E0020	G407-S001	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cthar	CH+T+AR	1	1	1	Entnimm denselben Kennwert und lege denselben Kennwert fest; von der Ausgangszeile.	Entnimm denselben Kennwert und lege ihn fest; von der Ausgangszeile.	Entnimm denselben Kennwert und lege denselben Kennwert fest; von der Ausgangszeile.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
7	G407-E0022	G407-S001	f1r	SOURCE_SECTION_T	NONSTATE_CARD	syaiir	S+Y+IIN+R	1	1	1	Wähle den laufenden Eintrag und kennzeichne den laufenden Eintrag; auf der bezeichneten Stufe.	Wähle den laufenden Eintrag und kennzeichne ihn; auf der bezeichneten Stufe.	Wähle den laufenden Eintrag und kennzeichne den laufenden Eintrag; auf der bezeichneten Stufe.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
8	G407-E0023	G407-S001	f1r	SOURCE_SECTION_T	NONSTATE_CARD	sheky	SH+E+K+Y	1	1	1	Halte den laufenden Eintrag fest und ordne den laufenden Eintrag zu; auf Grad I.	Halte den laufenden Eintrag fest und ordne ihn zu; auf Grad I.	Halte den laufenden Eintrag fest und ordne den laufenden Eintrag zu; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
9	G407-E0027	G407-S001	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cthoary	CH+T+O+AR+Y	1	1	1	Entnimm den laufenden Eintrag und lege den laufenden Eintrag fest; von der Ausgangszeile; als Ausführung.	Entnimm den laufenden Eintrag und lege ihn fest; von der Ausgangszeile; als Ausführung.	Entnimm den laufenden Eintrag und lege den laufenden Eintrag fest; von der Ausgangszeile; als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
10	G407-E0028	G407-S001	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cthes	CH+T+E+S	1	2	2	Entnimm denselben laufenden Eintrag, lege denselben laufenden Eintrag fest und wähle denselben laufenden Eintrag; auf Grad I.	Entnimm denselben laufenden Eintrag, lege ihn fest und wähle ihn; auf Grad I.	Entnimm denselben laufenden Eintrag, lege denselben laufenden Eintrag fest und wähle denselben laufenden Eintrag; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
11	G407-E0035	G407-S001	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cthiar	CH+T+LOCAL_CHAR_I+AR	1	1	1	Entnimm denselben laufenden Eintrag und lege denselben laufenden Eintrag fest; von der Ausgangszeile; mit der lokalen Variante.	Entnimm denselben laufenden Eintrag und lege ihn fest; von der Ausgangszeile; mit der lokalen Variante.	Entnimm denselben laufenden Eintrag und lege denselben laufenden Eintrag fest; von der Ausgangszeile; mit der lokalen Variante.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
12	G407-E0043	G407-S001	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cthaiin	CH+T+AIIN	1	1	1	Entnimm den Kennwert und lege den Kennwert fest.	Entnimm den Kennwert und lege ihn fest.	Entnimm den Kennwert und lege den Kennwert fest.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
13	G407-E0044	G407-S001	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cphar	CH+P+AR	1	1	1	Entnimm denselben Kennwert und setze denselben Kennwert ein; von der Ausgangszeile.	Entnimm denselben Kennwert und setze ihn ein; von der Ausgangszeile.	Entnimm denselben Kennwert und setze denselben Kennwert ein; von der Ausgangszeile.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
14	G407-E0049	G407-S002	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cphoy	CH+P+O+Y	1	1	1	Entnimm den laufenden Eintrag und setze den laufenden Eintrag ein; als Ausführung.	Entnimm den laufenden Eintrag und setze ihn ein; als Ausführung.	Entnimm den laufenden Eintrag und setze den laufenden Eintrag ein; als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
15	G407-E0057	G407-S003	f1r	SOURCE_SECTION_T	NONSTATE_CARD	okchoy	OK+CH+O+Y	1	1	1	Trage den laufenden Eintrag ein und entnimm den laufenden Eintrag; als Ausführung.	Trage den laufenden Eintrag ein und entnimm ihn; als Ausführung.	Trage den laufenden Eintrag ein und entnimm den laufenden Eintrag; als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
16	G407-E0059	G407-S003	f1r	SOURCE_SECTION_T	NONSTATE_CARD	chocthy	CH+O+CH+T+Y	1	2	2	Entnimm den laufenden Eintrag, entnimm den laufenden Eintrag und lege den laufenden Eintrag fest; als Ausführung.	Entnimm den laufenden Eintrag, entnimm ihn und lege ihn fest; als Ausführung.	Entnimm den laufenden Eintrag, entnimm den laufenden Eintrag und lege den laufenden Eintrag fest; als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
17	G407-E0064	G407-S003	f1r	SOURCE_SECTION_T	NONSTATE_CARD	kos	K+O+S	1	1	1	Ordne dieselbe Eintragseinheit zu und wähle dieselbe Eintragseinheit; als Ausführung.	Ordne dieselbe Eintragseinheit zu und wähle sie; als Ausführung.	Ordne dieselbe Eintragseinheit zu und wähle dieselbe Eintragseinheit; als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
18	G407-E0066	G407-S003	f1r	SOURCE_SECTION_T	NONSTATE_CARD	shos	SH+O+S	1	1	1	Halte denselben Kennwert fest und wähle denselben Kennwert; als Ausführung.	Halte denselben Kennwert fest und wähle ihn; als Ausführung.	Halte denselben Kennwert fest und wähle denselben Kennwert; als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
19	G407-E0073	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cphesaiin	CH+P+E+S+AIIN	1	2	2	Entnimm den Kennwert, setze den Kennwert ein und wähle den Kennwert; auf Grad I.	Entnimm den Kennwert, setze ihn ein und wähle ihn; auf Grad I.	Entnimm den Kennwert, setze den Kennwert ein und wähle den Kennwert; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
20	G407-E0075	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cphey	CH+P+E+Y	1	1	1	Entnimm den laufenden Eintrag und setze den laufenden Eintrag ein; auf Grad I.	Entnimm den laufenden Eintrag und setze ihn ein; auf Grad I.	Entnimm den laufenden Eintrag und setze den laufenden Eintrag ein; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
21	G407-E0077	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	shoshy	SH+O+SH+Y	1	1	1	Halte den laufenden Eintrag fest und halte den laufenden Eintrag fest; als Ausführung.	Halte den laufenden Eintrag fest und halte ihn fest; als Ausführung.	Halte den laufenden Eintrag fest und halte den laufenden Eintrag fest; als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
22	G407-E0078	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cphodal	CH+P+O+D_ADDR+AL	1	1	1	Entnimm denselben laufenden Eintrag und setze denselben laufenden Eintrag ein; zur Zielspalte; als Ausführung; an der bezeichneten Stelle.	Entnimm denselben laufenden Eintrag und setze ihn ein; zur Zielspalte; als Ausführung; an der bezeichneten Stelle.	Entnimm denselben laufenden Eintrag und setze denselben laufenden Eintrag ein; zur Zielspalte; als Ausführung; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
23	G407-E0080	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	oksho	OK+SH+O	1	1	1	Trage denselben laufenden Eintrag ein und halte denselben laufenden Eintrag fest; als Ausführung.	Trage denselben laufenden Eintrag ein und halte ihn fest; als Ausführung.	Trage denselben laufenden Eintrag ein und halte denselben laufenden Eintrag fest; als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
24	G407-E0081	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	kshoy	K+SH+O+Y	1	1	1	Ordne den laufenden Eintrag zu und halte den laufenden Eintrag fest; als Ausführung.	Ordne den laufenden Eintrag zu und halte ihn fest; als Ausführung.	Ordne den laufenden Eintrag zu und halte den laufenden Eintrag fest; als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
25	G407-E0086	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	sckhey	S+CH+K+E+Y	1	2	2	Wähle den laufenden Eintrag, entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; auf Grad I.	Wähle den laufenden Eintrag, entnimm ihn und ordne ihn zu; auf Grad I.	Wähle den laufenden Eintrag, entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
26	G407-E0089	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	ckhey	CH+K+E+Y	1	1	1	Entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; auf Grad I.	Entnimm den laufenden Eintrag und ordne ihn zu; auf Grad I.	Entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
27	G407-E0091	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cphy	CH+P+Y	1	1	1	Entnimm den laufenden Eintrag und setze den laufenden Eintrag ein.	Entnimm den laufenden Eintrag und setze ihn ein.	Entnimm den laufenden Eintrag und setze den laufenden Eintrag ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
28	G407-E0092	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cphodaiils	CH+P+O+D_ADDR+AIIN+L+S	1	2	2	Entnimm den Kennwert, setze den Kennwert ein und wähle den Kennwert; über die Eintragsverbindung; als Ausführung; an der bezeichneten Stelle.	Entnimm den Kennwert, setze ihn ein und wähle ihn; über die Eintragsverbindung; als Ausführung; an der bezeichneten Stelle.	Entnimm den Kennwert, setze den Kennwert ein und wähle den Kennwert; über die Eintragsverbindung; als Ausführung; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
29	G407-E0093	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cthey	CH+T+E+Y	1	1	1	Entnimm den laufenden Eintrag und lege den laufenden Eintrag fest; auf Grad I.	Entnimm den laufenden Eintrag und lege ihn fest; auf Grad I.	Entnimm den laufenden Eintrag und lege den laufenden Eintrag fest; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
30	G407-E0105	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cthy	CH+T+Y	1	1	1	Entnimm den laufenden Eintrag und lege den laufenden Eintrag fest.	Entnimm den laufenden Eintrag und lege ihn fest.	Entnimm den laufenden Eintrag und lege den laufenden Eintrag fest.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
31	G407-E0108	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	shckhey	SH+CH+K+E+Y	1	2	2	Halte den laufenden Eintrag fest, entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; auf Grad I.	Halte den laufenden Eintrag fest, entnimm ihn und ordne ihn zu; auf Grad I.	Halte den laufenden Eintrag fest, entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
32	G407-E0121	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	kshy	K+SH+Y	1	1	1	Ordne den laufenden Eintrag zu und halte den laufenden Eintrag fest.	Ordne den laufenden Eintrag zu und halte ihn fest.	Ordne den laufenden Eintrag zu und halte den laufenden Eintrag fest.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
33	G407-E0129	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	tchey	T+CH+E+Y	1	1	1	Lege den laufenden Eintrag fest und entnimm den laufenden Eintrag; auf Grad I.	Lege den laufenden Eintrag fest und entnimm ihn; auf Grad I.	Lege den laufenden Eintrag fest und entnimm den laufenden Eintrag; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
34	G407-E0130	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	chekain	CH+K+AIN	1	1	1	Entnimm den Teilwert und ordne den Teilwert zu.	Entnimm den Teilwert und ordne ihn zu.	Entnimm den Teilwert und ordne den Teilwert zu.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
