anaphor_ordinal	covered_argument_mention_ordinals	repeat_group_ordinal	event_id	statement_id	physical_page	register	state_status	surface	final_context_recipe	argument_root	argument_scope	source_form_class	pronoun_card_id	mention_ordinal_for_argument	mention_count_for_argument	covered_argument_mention_count	source_start_char	source_end_char	target_start_char	target_end_char	source_argument_phrase_de	pronoun_de	guard
1	1	1	G407-E0001	G407-S001	f1r	SOURCE_SECTION_T	NONSTATE_CARD	fachys	LOCAL_CHAR_F+A_ADDR+CH+Y+S	Y	SINGLE_ARGUMENT	EXPLICIT	GDT573-P01	2	2	1	40	61	40	43	den laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
2	2	2	G407-E0007	G407-S001	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cthres	CH+T+R+E+S	Y	SINGLE_ARGUMENT	CARRIED	GDT573-P01	2	4	1	42	69	42	45	denselben laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
3	3	2	G407-E0007	G407-S001	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cthres	CH+T+R+E+S	Y	SINGLE_ARGUMENT	CARRIED	GDT573-P01	3	4	1	88	115	64	67	denselben laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
4	4	2	G407-E0007	G407-S001	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cthres	CH+T+R+E+S	Y	SINGLE_ARGUMENT	CARRIED	GDT573-P01	4	4	1	126	153	78	81	denselben laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
5	5	3	G407-E0012	G407-S001	f1r	SOURCE_SECTION_T	NONSTATE_CARD	ckhar	CH+K+AR	Y	SINGLE_ARGUMENT	CARRIED	GDT573-P01	2	2	1	46	73	46	49	denselben laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
6	6	4	G407-E0016	G407-S001	f1r	SOURCE_SECTION_T	NONSTATE_CARD	chtaiin	CH+T+AIIN	AIIN	SINGLE_ARGUMENT	EXPLICIT	GDT573-P02	2	2	1	30	42	30	33	den Kennwert	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
7	7	5	G407-E0019	G407-S001	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cthar	CH+T+AR	AIIN	SINGLE_ARGUMENT	CARRIED	GDT573-P02	2	2	1	36	54	36	39	denselben Kennwert	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
8	8	6	G407-E0020	G407-S001	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cthar	CH+T+AR	AIIN	SINGLE_ARGUMENT	CARRIED	GDT573-P02	2	2	1	36	54	36	39	denselben Kennwert	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
9	9	7	G407-E0022	G407-S001	f1r	SOURCE_SECTION_T	NONSTATE_CARD	syaiir	S+Y+IIN+R	Y	SINGLE_ARGUMENT	EXPLICIT	GDT573-P01	2	2	1	44	65	44	47	den laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
10	10	8	G407-E0023	G407-S001	f1r	SOURCE_SECTION_T	NONSTATE_CARD	sheky	SH+E+K+Y	Y	SINGLE_ARGUMENT	EXPLICIT	GDT573-P01	2	2	1	43	64	43	46	den laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
11	11	9	G407-E0027	G407-S001	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cthoary	CH+T+O+AR+Y	Y	SINGLE_ARGUMENT	EXPLICIT	GDT573-P01	2	2	1	39	60	39	42	den laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
12	12	10	G407-E0028	G407-S001	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cthes	CH+T+E+S	Y	SINGLE_ARGUMENT	CARRIED	GDT573-P01	2	3	1	42	69	42	45	denselben laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
13	13	10	G407-E0028	G407-S001	f1r	SOURCE_SECTION_T	NONSTATE_CARD	cthes	CH+T+E+S	Y	SINGLE_ARGUMENT	CARRIED	GDT573-P01	3	3	1	85	112	61	64	denselben laufenden Eintrag	ihn	LATER_MENTION_ONLY__FULL_ARGUMENT_FRAGMENT_PRESERVED_IN_EXPANSION_CHANNEL
