event_id	statement_id	record_unit_id	page	field_id	field_position	visible_surface	normalized_master_form	master_card_id	portable_value_de	normalization_rule	field_frame_mode	visible_owner	terminal_status
E001	H1-S001	H1	f10r	F001	1	dchey	dchey	MC071	Wurzel	MASTER_FORM	CH	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
E002	H1-S001	H1	f10r	F001	2	cthoor	cthoor	MC158	Vorbereitung	MASTER_FORM	CH	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
E003	H1-S001	H1	f10r	F001	3	char	char	MC055	davon	MASTER_FORM	CH	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
E004	H1-S001	H1	f10r	F001	4	chty	chety	MC086	Teil	R10_PAIRED_ALLOGRAPH	CH	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
E005	H1-S001	H1	f10r	F001	5	os	os	MC159	Aufnahmegefäß	MASTER_FORM	CH	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
E006	H1-S001	H1	f10r	F001	6	chair	chair	MC014	Zuguss	MASTER_FORM	CH	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
E007	H1-S001	H1	f10r	F001	7	otytchol	otytchol	MC069	Folgeteil	MASTER_FORM	CH	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
E008	H1-S001	H1	f10r	F001	8	oky	choky	MC026	einsetzen	R10_PAIRED_ALLOGRAPH	CH	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
E009	H1-S001	H1	f10r	F001	9	daiin	aiin	MC039	Sollmaß	R2_AIIN_MEASURE	CH	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
E010	H1-S001	H1	f10r	F001	10	etyd	etyd	MC108	kleiner Rest	MASTER_FORM	CH	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
E011	H1-S002	H1	f10r	F002	1	qokchy	chokchy	MC103	weiterbearbeiten	R1_Q_ACTIVE	MIXED	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
E012	H1-S002	H1	f10r	F002	2	qotchol	qotchol	MC163	Folgegang	MASTER_FORM	MIXED	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
E013	H1-S002	H1	f10r	F002	3	chol	cheol	MC153	weiter	R5_OL_CONTINUE	MIXED	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
E014	H1-S002	H1	f10r	F002	4	cthy	checthy	MC161	bereit	R8_CTH_STATE	MIXED	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
E015	H2-S001	H2	f10r	F003	1	ycheor	ycheor	MC075	Auszugsansatz	MASTER_FORM	MIXED	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
E016	H2-S001	H2	f10r	F003	2	cthy	checthy	MC161	bereit	R8_CTH_STATE	MIXED	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
E017	H2-S001	H2	f10r	F003	3	chor	chor	MC080	Ansatz	MASTER_FORM	MIXED	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
E018	H2-S001	H2	f10r	F003	4	cthaiin	cthaiin	MC169	Sollvorbereitung	MASTER_FORM	MIXED	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
E019	H2-S001	H2	f10r	F003	5	qoctholy	qoctholy	MC115	bereiter Folgeposten	MASTER_FORM	MIXED	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
E020	H2-S001	H2	f10r	F003	6	dy	chey	MC123	dies	R4_Y_REFERENT	MIXED	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
E021	H2-S001	H2	f10r	F003	7	chy	chey	MC123	dies	R4_Y_REFERENT	MIXED	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
E022	H2-S001	H2	f10r	F003	8	taiin	aiin	MC039	Sollmaß	R2_AIIN_MEASURE	MIXED	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
E023	H2-S001	H2	f10r	F003	9	shy	chey	MC123	dies	R4_Y_REFERENT	MIXED	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
E024	H2-S002	H2	f10r	F004	1	qotchor	otchor	MC013	Folgeansatz	R1_Q_ACTIVE	CH	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
