value_de	before_card_ids	before_count	after_card_ids	after_count	resolution
Anteil	MC086|MC105	2		0	SPLIT_BY_FUNCTION
Arbeitsstufe	MC033|MC048	2		0	SPLIT_BY_FUNCTION
Folgeposten	MC107|MC115	2		0	SPLIT_BY_FUNCTION
Klarlauf	MC119|MC141	2		0	SPLIT_BY_FUNCTION
Kurzfortsetzung	MC104|MC106	2		0	SPLIT_BY_FUNCTION
Kurzteil	MC108|MC109	2		0	SPLIT_BY_FUNCTION
Quellauszug	MC085|MC136	2		0	SPLIT_BY_FUNCTION
Waschgang; Schluss	MC038|MC084	2		0	SPLIT_BY_FUNCTION
Weitergang	MC134|MC163	2		0	SPLIT_BY_FUNCTION
Weiterverarbeitung	MC041|MC090	2		0	SPLIT_BY_FUNCTION
einführen; Schluss	MC005|MC088	2	MC005|MC088	2	INTENTIONAL_ALLOMORPHY
