statement_id	changed_card_ids	old_literal	new_literal	old_fluent	new_fluent
H1-S001	MC086|MC108	Wurzel | Vorbereitung | davon | Anteil | Aufnahmegefäß | Zuguss | Folgeteil | einsetzen | Sollmaß | Kurzteil	Wurzel | Vorbereitung | davon | Teil | Aufnahmegefäß | Zuguss | Folgeteil | einsetzen | Sollmaß | kleiner Rest	Die Wurzel der Bildpflanze nehmen, einen Anteil im Aufnahmegefäß vorbereiten, Flüssigkeit zugießen, den Folgeteil einsetzen und auf Sollmaß bringen.	Die Wurzel der Bildpflanze nehmen, einen Teil im Aufnahmegefäß vorbereiten, Flüssigkeit zugießen, den Folgeteil einsetzen, auf Sollmaß bringen und einen kleinen Rest belassen.
H1-S002	MC163	weiterbearbeiten | Weitergang | weiter | bereit	weiterbearbeiten | Folgegang | weiter | bereit	Die erste Charge weiterbearbeiten, weiterführen und als bereit halten.	Die erste Charge weiterbearbeiten, im Folgegang weiterführen und als bereit halten.
H2-S001	MC115	Auszugsansatz | bereit | Ansatz | Sollvorbereitung | Folgeposten | dies | dies | Sollmaß | dies	Auszugsansatz | bereit | Ansatz | Sollvorbereitung | bereiter Folgeposten | dies | dies | Sollmaß | dies	Aus dem bereiten Auszugsansatz die nächste Charge ansetzen, den Folgeposten wählen und diesen auf Sollmaß bringen.	Aus dem bereiten Auszugsansatz die nächste Charge ansetzen, den bereiten Folgeposten wählen und diesen auf Sollmaß bringen.
H2-S003	MC048	Zubereitungsgefäß | Ansatz | Ansatz | dies | Arbeitsstufe | dies | Zugabemaß	Zubereitungsgefäß | Ansatz | Ansatz | dies | Bearbeitungsstufe | dies | Zugabemaß	Im Zubereitungsgefäß den Ansatz in der nächsten Stufe bearbeiten und die vorgeschriebene Zugabemenge einsetzen.	Im Zubereitungsgefäß den Ansatz in der Bearbeitungsstufe bearbeiten und die vorgeschriebene Zugabemenge einsetzen.
H3-S004	MC107|MC041	Folgeposten | Weiterverarbeitung | bereit | dies	nächster Posten | weiter einsetzen | bereit | dies	Zum Folgeposten wechseln, ihn weiterverarbeiten, Bereitschaft prüfen und als aktuellen Posten halten.	Zum nächsten Posten wechseln, ihn weiter einsetzen, Bereitschaft prüfen und als aktuellen Posten halten.
H5-S001	MC090	Zugabeansatz | weitere Zutat | Zielzugabe | Sollmaß | weitere Zutat | Weiterverarbeitung | Folgeansatz | einsetzen | dorthin	Zugabeansatz | weitere Zutat | Zielzugabe | Sollmaß | weitere Zutat | weiter bearbeiten | Folgeansatz | einsetzen | dorthin	Einen Zugabeansatz herstellen, die weitere Zutat als Zielzugabe auf Sollmaß bringen, den Folgeansatz einsetzen und dorthin führen.	Einen Zugabeansatz herstellen, die weitere Zutat als Zielzugabe auf Sollmaß bringen, den Folgeansatz weiter bearbeiten, einsetzen und dorthin führen.
H5-S005	MC136	weitere Zutat | weiterbearbeiten | Quellauszug | Folgeanwendung	weitere Zutat | weiterbearbeiten | bearbeiteter Quellauszug | Folgeanwendung	Eine weitere Zutat mit dem Quellauszug bearbeiten und die Folgeanwendung ausführen.	Eine weitere Zutat mit dem bearbeiteten Quellauszug weiterbearbeiten und die Folgeanwendung ausführen.
H5-S006	MC104	das nächste | Kurzfortsetzung | Sollmaß	das nächste | kurz weiterbearbeiten | Sollmaß	Zum nächsten Posten wechseln, kurz fortfahren und auf Sollmaß bringen.	Zum nächsten Posten wechseln, kurz weiterbearbeiten und auf Sollmaß bringen.
B1-S002	MC105	bemessen | Beckenlauf | dorthin einsetzen | davon | weiter | Anteil | weiterer Anteil | dorthin | weiter | Anschluss | Zusatz | derselbe Ansatz | weiter | Kurze Zielpassage | Sollmaß | Langer Zieleinsatz | Sollmaß | durchleiten | überführen; Schluss	bemessen | Beckenlauf | dorthin einsetzen | davon | weiter | Portion | weiterer Anteil | dorthin | weiter | Anschluss | Zusatz | derselbe Ansatz | weiter | Kurze Zielpassage | Sollmaß | Langer Zieleinsatz | Sollmaß | durchleiten | überführen; Schluss	Die Charge bemessen und in den Beckenlauf einsetzen; davon erst einen, dann einen weiteren Anteil dorthin geben; über Anschluss und Zusatz mit demselben Ansatz weiterarbeiten; kurze Zielpassage und Sollmaß, langer Zieleinsatz und nochmals Sollmaß setzen, dann durchleiten und überführen; Schluss.	Eine Portion ansetzen, den Posten lang einwirken lassen und über den Fortsetzungsweg weitergeben.
B1-S014	MC134	überführen | Weitergang | Zielabführung | weiter | Folgequelle	überführen | Weiterweg | Zielabführung | weiter | Folgequelle	Überführen, im Weitergang an der Zielstelle abführen und zur Folgequelle weitergehen.	Überführen, über den Weiterweg an der Zielstelle abführen und zur Folgequelle weitergehen.
B1-S017	MC106	dorthin | Kurzfortsetzung | Transfer; Schluss	dorthin | kurz weiterführen | Transfer; Schluss	Dorthin bringen, kurz weiterführen und übertragen; Schluss.	Dorthin bringen, kurz weiterführen und übertragen; Schluss.
B2-S015	MC141	Klarlauf | lange einwirken; Schluss	Folgeklarlauf | lange einwirken; Schluss	An der lokalen Randstation den klaren Lauf länger einwirken lassen; Schluss.	An der lokalen Randstation den Folgeklarlauf länger einwirken lassen; Schluss.
B2-S019	MC084	Waschgang; Schluss	Vollwaschung; Schluss	Den Waschgang schließen.	Eine Vollwaschung ausführen; Schluss.
B3-S013	MC105	bemessen | Anteil | kurz vorbereiten | kurz einwirken; Schluss	bemessen | Portion | kurz vorbereiten | kurz einwirken; Schluss	Einen Anteil bemessen, kurz vorbereiten und kurz einwirken lassen; Schluss.	Eine Portion bemessen, kurz vorbereiten und kurz einwirken lassen; Schluss.
B3-S034	MC086	Arbeitsstufe | bereit | Anteil | Folgemaß | Zwischenziel | kurz absetzen; Schluss	Arbeitsstufe | bereit | Teil | Folgemaß | Zwischenziel | kurz absetzen; Schluss	Die Arbeitsstufe auf bereit stellen, Anteil und Folgemaß nehmen und am Zwischenziel kurz absetzen; Schluss.	Die Arbeitsstufe auf bereit stellen, einen Teil und das Folgemaß nehmen und am Zwischenziel kurz absetzen; Schluss.
B4-S015	MC105	Anteil zugeben | Klarlauf | Anteil | Zielpassage | Kurzsammlung | abführen; Schluss	Anteil zugeben | Klarlauf | Portion | Zielpassage | Kurzsammlung | abführen; Schluss	Einen Anteil zum klaren Auszug geben, den Anteil durch die Zielpassage führen, kurz auffangen und abführen; Schluss.	Eine Portion zum Klarlauf geben, die Portion durch die Zielpassage führen, kurz auffangen und abführen; Schluss.
