master_card_id	master_form	event_count	old_value_de	new_value_de	semantic_distinction
MC041	okchol	1	Weiterverarbeitung	weiter einsetzen	Separates OK+OL: aktives Material weiter in den Gang setzen.
MC048	kaiiin	1	Arbeitsstufe	Bearbeitungsstufe	Von der allgemeinen Arbeitsstufe als konkrete Prozessstufe getrennt.
MC084	rshedy	1	Waschgang; Schluss	Vollwaschung; Schluss	Eigenständige geschlossene Ganzkarte, nicht bloß zweites Etikett für Waschgang.
MC086	chety	2	Anteil	Teil	Neutrale Teilkarte; AIN-Karte MC105 trägt dagegen die portionierte Menge.
MC090	kchol	1	Weiterverarbeitung	weiter bearbeiten	L+OL führt die bestehende Bearbeitung weiter, ohne neues Einsetzen.
MC104	keol	1	Kurzfortsetzung	kurz weiterbearbeiten	Kurzer Bearbeitungsschritt; von bloßer Fortleitung getrennt.
MC105	chkain	3	Anteil	Portion	AIN-Reihe bezeichnet eine abgegrenzte Menge, nicht nur irgendeinen Teil.
MC106	teol	1	Kurzfortsetzung	kurz weiterführen	Kurze Fortleitung; von MC104s Bearbeitung unterschieden.
MC107	qotchy	1	Folgeposten	nächster Posten	OT-Reihe wählt den nächsten Posten.
MC108	etyd	1	Kurzteil	kleiner Rest	Restgröße am Ende der ersten Kräuterklausel; kein Synonym für Kurzteil.
MC115	qoctholy	1	Folgeposten	bereiter Folgeposten	CTH erweitert den Folgeposten um Bereitschaft.
MC134	qolky	1	Weitergang	Weiterweg	Lauf-/Transferweg statt unspezifischem Weitergang.
MC136	kchoar	1	Quellauszug	bearbeiteter Quellauszug	KCHOAR ist der bereits bearbeitete Auszug von der Quelle.
MC141	tshey	1	Klarlauf	Folgeklarlauf	TSH-Rahmen markiert den anschließenden Klarlauf.
MC163	qotchol	1	Weitergang	Folgegang	OT+CHOL bezeichnet den folgenden Arbeitsgang.
