parse_no	formal_parse	default_surface	support_groups	surface_counts
1	AIIN	aiin	11	aiin:6|daiin:4|saiin:1
2	AIN	ain	3	ain:2|dain:1
3	AIR	air	4	air:4
4	AIR+Y	airchy	1	airchy:1
5	AL	dal	7	cheal:1|dal:5|sal:1
6	AL+AIIN	alaiin	2	alaiin:1|aldaiin:1
7	AL+AL	saldal	1	saldal:1
8	AL+DY	aldy	1	aldy:1
9	AL+S_ADDR+AIN	salsain	1	salsain:1
10	AL+Y+S_ADDR	alys	1	alys:1
11	AM_ADDR	am	3	am:3
12	AM_ADDR+Y	amy	1	amy:1
13	AR	ar	14	ar:9|char:1|dar:2|sar:2
14	AR+AL	saral	2	saral:2
15	AR+AM_ADDR	aram	2	aram:1|daram:1
16	AR+Y	dary	1	dary:1
17	AR+Y+DY	sarydy	1	sarydy:1
18	A_ADDR	a	1	a:1
19	A_ADDR+Y	ay	2	ay:2
20	CH	ch	1	ch:1
21	CH+E+AR	chear	1	chear:1
22	CH+E+K+O+DY	chekody	1	chekody:1
23	CH+E+T+EE+S_ADDR+E+R	cheteeser	1	cheteeser:1
24	CH+E+T+O+Y	chetody	1	chetody:1
25	CH+EE+S_ADDR	chees	1	chees:1
26	CH+EE+T+EE+Y	cheeteey	1	cheeteey:1
27	CH+P+OR	chpor	1	chpor:1
28	CH+S_ADDR+Y	chsdy	1	chsdy:1
29	CH+T+EE+Y	chteey	1	chteey:1
30	CHD+AIIN	chedaiin	1	chedaiin:1
31	CHD+A_ADDR	chda	1	chda:1
32	CHD+Y	chdy	1	chdy:1
33	CHEO	cheo	1	cheo:1
34	CHEO+K+OR+Y	cheokorchey	1	cheokorchey:1
35	CHEO+R	cheor	2	cheor:2
36	CHEO+S_ADDR	cheos	1	cheos:1
37	CHEO+Y	cheody	1	cheody:1
38	CHK+CHD+AR	chkchdar	1	chkchdar:1
39	CHK+Y	chky	1	chky:1
40	CHK+Y+K+OL+Y	chkchykoly	1	chkchykoly:1
41	CPH_CLASS+EE+Y	cpheey	1	cpheey:1
42	CPH_CLASS+O+CTH+Y	cphocthy	1	cphocthy:1
43	CPH_CLASS+OL	cphol	1	cphol:1
44	D_ADDR	d	1	d:1
45	D_ADDR+AIR	dair	3	dair:3
46	D_ADDR+A_ADDR+AIIN	dadaiin	1	dadaiin:1
47	D_ADDR+A_ADDR+I_COUNT+I_COUNT+AL	daiial	1	daiial:1
48	D_ADDR+CH+E+T+A_ADDR+Y	dchetay	1	dchetay:1
49	D_ADDR+CHD+AR	dchdar	1	dchdar:1
50	D_ADDR+O+AIR	doair	1	doair:1
51	D_ADDR+O+AR	dosar	1	dosar:1
52	D_ADDR+O+IIN	doiin	1	doiin:1
53	D_ADDR+O+I_COUNT+I_COUNT+R	doiir	1	doiir:1
54	D_ADDR+OK+AN_SECTION	dokan	1	dokan:1
55	D_ADDR+OL+CH+S_ADDR+O+DY	dolchsody	1	dolchsody:1
56	D_ADDR+OL+CHD+Y	dolchedy	1	dolchedy:1
57	D_ADDR+OR	dchor	2	dchor:2
58	D_ADDR+Y	dchy	1	dchy:1
59	E+AR	qear	1	qear:1
60	E+CKHE+AR	eckhear	1	eckhear:1
61	E+S_ADDR	es	1	es:1
62	E+Y	ey	1	ey:1
63	E+Y+K+E+O+Y	eykeody	1	eykeody:1
64	E+Y+K+EE+Y	qeykeey	1	qeykeey:1
65	EE+Y+DY	eesydy	1	eesydy:1
66	G_ADDR	g	1	g:1
67	G_ADDR+IIN	giin	1	giin:1
68	HO	cho	2	cho:2
69	HO+AIIN	choaiin	1	choaiin:1
70	HO+CFH_CLASS+Y	chocfhy	2	chocfhy:2
71	HO+CTH+EEE+Y	choctheeey	1	choctheeey:1
72	HO+D_ADDR	chod	1	chod:1
73	HO+E+R	choer	1	choer:1
74	HO+EE+A_ADDR	choeea	1	choeea:1
75	HO+K+AL	chokal	1	chokal:1
76	HO+K+Y	shokchy	1	shokchy:1
77	HO+S_ADDR	chos	2	chos:2
78	HO+T+EE+Y	choteey	1	choteey:1
79	I_COUNT+OK+EE+OR	iokeeor	1	iokeeor:1
80	K+E+Y	kchey	1	kchey:1
81	K+O+Y	qkoy	1	qkoy:1
82	K+Y	kchy	1	kchy:1
83	L+K+Y	lkshy	1	lkshy:1
84	NONE	otaza	1	otaza:1
85	O	o	2	o:2
86	O+AIIN	oaiin	1	oaiin:1
87	O+AIN	odain	1	odain:1
88	O+AL	odal	1	odal:1
89	O+AR	oar	2	oar:1|osar:1
90	O+AR+AM_ADDR	oaram	1	oaram:1
91	O+CH+EE+Y	qocheey	1	qocheey:1
92	O+CKH+Y	ockhy	4	ockhy:3|qockhy:1
93	O+CPH_CLASS+Y	ocphy	1	ocphy:1
94	O+CTH+E+Y	octhey	1	octhey:1
95	O+CTH+OL+E	octhole	1	octhole:1
96	O+CTH+Y+S_ADDR	octhys	1	octhys:1
97	O+DY	ody	1	ody:1
98	O+D_ADDR+AIR	odair	1	odair:1
99	O+D_ADDR+A_ADDR+E+IIN	odaeiin	1	odaeiin:1
100	O+D_ADDR+A_ADDR+I_COUNT+IIN	odaiiin	1	odaiiin:1
101	O+D_ADDR+A_ADDR+S_ADDR	odas	1	odas:1
102	O+D_ADDR+CH+E+CTH+Y	odchecthy	1	odchecthy:1
103	O+E+AR	oear	1	oear:1
104	O+E+K+AIN	oekain	1	oekain:1
105	O+E+OL+D_ADDR+AN_SECTION	oeoldan	1	oeoldan:1
106	O+E+P+HO+D_ADDR	oepchod	1	oepchod:1
107	O+EE+O+DY	oeeody	1	oeeody:1
108	O+EE+O+S_ADDR	oeeos	1	oeeos:1
109	O+EE+Y	oeesy	1	oeesy:1
110	O+F_ADDR+AIR	qofair	1	qofair:1
111	O+F_ADDR+AR	ofar	2	ofar:2
112	O+F_ADDR+CHEO+R	ofcheor	1	ofcheor:1
113	O+F_ADDR+Y+Y	ofydy	1	ofydy:1
114	O+G_ADDR	og	1	og:1
115	O+HO+Y+K	ochoyk	1	ochoyk:1
116	O+IIN	oiin	1	oiin:1
117	O+IIN+AR	oiinar	1	oiinar:1
118	O+LS	ols	1	ols:1
119	O+OL	ochol	1	ochol:1
120	O+P+AR+Y	oparchy	1	oparchy:1
121	O+P+CH+EE+OL	opcheeol	1	opcheeol:1
122	O+P+O+OL	opodchol	1	opodchol:1
123	O+P+OL+DY	opcholdy	1	opcholdy:1
124	O+P+Y	qopchy	1	qopchy:1
125	O+S_ADDR+AIIN	osdaiin	1	osdaiin:1
126	O+Y+G_ADDR+Y	oygy	1	oygy:1
127	OK+AIN	okain	1	okain:1
128	OK+AL	okal	1	okal:1
129	OK+AR	okar	4	okar:4
130	OK+AR+Y	okardy	1	okardy:1
131	OK+A_ADDR+I_COUNT+IIN	okaiiin	1	okaiiin:1
