exception_no	domain	item_id	unit_id	page	locus	formal_parse	compact_predicted_surface	exemplar_surface	apprentice_action
1	PROSE	E008	H1	f10r	f10r.2	OK+Y	choky	oky	copy the local exemplar surface
2	PROSE	E011	H1	f10r	f10r.5	OK+Y	okchy	qokchy	copy the local exemplar surface
3	PROSE	E020	H2	f10r	f10r.6	Y	chy	dy	copy the local exemplar surface
4	PROSE	E022	H2	f10r	f10r.6	AIIN	daiin	taiin	copy the local exemplar surface
5	PROSE	E023	H2	f10r	f10r.6	Y	chey	shy	copy the local exemplar surface
6	PROSE	E024	H2	f10r	f10r.8	OT+CH+OR	otchor	qotchor	copy the local exemplar surface
7	PROSE	E028	H2	f10r	f10r.8	OL+OR	olor	cholor	copy the local exemplar surface
8	PROSE	E031	H2	f10r	f10r.8	AR	char	dar	copy the local exemplar surface
9	PROSE	E033	H2	f10r	f10r.9	OR	chor	shor	copy the local exemplar surface
10	PROSE	E037	H2	f10r	f10r.9	Y	chy	dy	copy the local exemplar surface
11	PROSE	E044	H3	f11r	f11r.1	WHOLE[cheey|shey]	cheey	shey	copy the local exemplar surface
12	PROSE	E050	H3	f11r	f11r.4	Y	chy	dy	copy the local exemplar surface
13	PROSE	E055	H3	f11r	f11r.7	Y	chey	dy	copy the local exemplar surface
14	PROSE	E057	H4	f55v	f55v.5	AIIN	daiin	chaiin	copy the local exemplar surface
15	PROSE	E068	H4	f55v	f55v.11	AIIN	daiin	aiin	copy the local exemplar surface
16	PROSE	E069	H4	f55v	f55v.11	OK+AL	qokal	okal	copy the local exemplar surface
17	PROSE	E071	H4	f55v	f55v.11	OR	chor	or	copy the local exemplar surface
18	PROSE	E072	H4	f55v	f55v.11	Y	chey	y	copy the local exemplar surface
19	PROSE	E083	H5	f56r	f56r.8	OL	dchol	schol	copy the local exemplar surface
20	PROSE	E095	H5	f56r	f56r.18	OK+Y	okchy	chokchy	copy the local exemplar surface
21	PROSE	E102	B1	f81v	f81v.2	OK+AIIN	qokaiin	okaiin	copy the local exemplar surface
22	PROSE	E104	B1	f81v	f81v.2	OK+AL	qokal	okal	copy the local exemplar surface
23	PROSE	E105	B1	f81v	f81v.2	AR	char	sar	copy the local exemplar surface
24	PROSE	E109	B1	f81v	f81v.2	AL	dal	al	copy the local exemplar surface
25	PROSE	E121	B1	f81v	f81v.7	OL	ol	qol	copy the local exemplar surface
26	PROSE	E128	B1	f81v	f81v.17	CKH+Y	chckhy	shckhy	copy the local exemplar surface
27	PROSE	E142	B1	f81v	f81v.21	OK+E+Y	okey	qokey	copy the local exemplar surface
28	PROSE	E148	B1	f81v	f81v.21	OL	ol	qol	copy the local exemplar surface
29	PROSE	E153	B1	f81v	f81v.24	OK+EE+Y	qokeey	okeey	copy the local exemplar surface
30	PROSE	E154	B1	f81v	f81v.24	OL	ol	qol	copy the local exemplar surface
31	PROSE	E155	B1	f81v	f81v.24	SHED+DY	shedy	cheedy	copy the local exemplar surface
32	PROSE	E156	B1	f81v	f81v.24	AL	dal	sal	copy the local exemplar surface
33	PROSE	E163	B1	f81v	f81v.27	SHED+DY	shedy	tedy	copy the local exemplar surface
34	PROSE	E166	B1	f81v	f81v.27	AL	dal	chal	copy the local exemplar surface
35	PROSE	E167	B2	f82r	f82r.2	CHD+DY	schedy	dchedy	copy the local exemplar surface
36	PROSE	E170	B2	f82r	f82r.2	Y	chey	dy	copy the local exemplar surface
37	PROSE	E190	B2	f82r	f82r.7	OT+AIIN	otaiin	sotaiin	copy the local exemplar surface
38	PROSE	E198	B2	f82r	f82r.19	OK+AIN	qokain	okain	copy the local exemplar surface
39	PROSE	E200	B2	f82r	f82r.19	OK+AIN	qokain	okain	copy the local exemplar surface
40	PROSE	E214	B2	f82r	f82r.26	AL	dal	cheal	copy the local exemplar surface
41	PROSE	E217	B2	f82r	f82r.26	AIIN	daiin	aiin	copy the local exemplar surface
42	PROSE	E238	B3	f83r	f83r.3	AR	char	dar	copy the local exemplar surface
43	PROSE	E242	B3	f83r	f83r.6	OL+CHD+DY	qolchedy	olchedy	copy the local exemplar surface
44	PROSE	E254	B3	f83r	f83r.11	OR	chor	sor	copy the local exemplar surface
45	PROSE	E257	B3	f83r	f83r.11	K+AIN	kain	chkain	copy the local exemplar surface
46	PROSE	E258	B3	f83r	f83r.11	CTH+E+Y	qcthey	shcthey	copy the local exemplar surface
47	PROSE	E264	B3	f83r	f83r.14	OK+CHD+DY	okchedy	qokchedy	copy the local exemplar surface
48	PROSE	E271	B3	f83r	f83r.14	CTH+Y	checthy	shcthy	copy the local exemplar surface
49	PROSE	E273	B3	f83r	f83r.14	Y	chey	sy	copy the local exemplar surface
50	PROSE	E278	B3	f83r	f83r.15	AL	dal	tal	copy the local exemplar surface
51	PROSE	E279	B3	f83r	f83r.15	CTH+Y	checthy	shcthy	copy the local exemplar surface
52	PROSE	E281	B3	f83r	f83r.15	OT+CHD+DY	otchedy	qotchedy	copy the local exemplar surface
53	PROSE	E283	B3	f83r	f83r.16	CHD+DY	schedy	tchedy	copy the local exemplar surface
54	PROSE	E291	B3	f83r	f83r.20	SOLK+EE+DY	olkeedy	solkeedy	copy the local exemplar surface
55	PROSE	E299	B3	f83r	f83r.20	AIIN	daiin	saiin	copy the local exemplar surface
56	PROSE	E309	B3	f83r	f83r.24	O+IIN	oiiin	soiiin	copy the local exemplar surface
57	PROSE	E311	B3	f83r	f83r.24	T+Y	chty	chety	copy the local exemplar surface
58	PROSE	E320	B4	f83r	f83r.25	OT+AL	qotal	otal	copy the local exemplar surface
59	PROSE	E324	B4	f83r	f83r.26	OL	ol	tol	copy the local exemplar surface
60	PROSE	E341	B4	f83r	f83r.35	OK+AIN	qokain	okain	copy the local exemplar surface
61	PROSE	E342	B4	f83r	f83r.35	CHD+Y	chedy	chdy	copy the local exemplar surface
62	PROSE	E348	B4	f83r	f83r.38	OR	chor	or	copy the local exemplar surface
63	PROSE	E353	B4	f83r	f83r.39	WHOLE[cheey|shey]	cheey	shey	copy the local exemplar surface
64	PROSE	E358	B4	f83r	f83r.41	OL+K+AIN	olkain	qolkain	copy the local exemplar surface
65	PROSE	E366	B5	f83r	f83r.48	OL	ol	cheol	copy the local exemplar surface
66	PROSE	E369	B5	f83r	f83r.48	AIIN	daiin	aiin	copy the local exemplar surface
67	PROSE	E377	B6	f83r	f83r.54	AIIN	saiin	daiin	copy the local exemplar surface
