body_no	body_surface	default_wrapper	support_events	wrapper_counts
1	aiiin	d	1	d:1
2	aiin	d	20	NONE:3|ch:1|d:11|s:4|t:1
3	ain	d	2	d:2
4	air	ch	1	ch:1
5	airydy	d	1	d:1
6	al	d	10	NONE:1|ch:1|che:1|d:5|s:1|t:1
7	alam	t	1	t:1
8	alchdy	d	1	d:1
9	aldy	d	1	d:1
10	alror	che	1	che:1
11	ar	ch	5	ch:2|d:2|s:1
12	ary	ch	1	ch:1
13	cfhy	NONE	1	NONE:1
14	chdy	d	1	d:1
15	chedair	s	1	s:1
16	chedy	s	4	d:1|s:2|t:1
17	chey	d	1	d:1
18	choal	s	1	s:1
19	chody	t	1	t:1
20	chol	d	2	d:1|s:1
21	ckhal	ch	1	ch:1
22	ckhedy	sh	3	sh:3
23	ckhy	ch	4	ch:3|sh:1
24	cphy	NONE	1	NONE:1
25	cthaiin	NONE	1	NONE:1
26	cthey	q	2	q:1|sh:1
27	cthoor	NONE	1	NONE:1
28	cthy	NONE	7	NONE:3|che:2|sh:2
29	dain	che	1	che:1
30	dal	ch	1	ch:1
31	dchy	che	1	che:1
32	dy	che	11	ch:1|che:10
33	eckhal	sh	1	sh:1
34	eckhody	che	1	che:1
35	eckhy	sh	1	sh:1
36	ecthedchy	sh	1	sh:1
37	ecthy	sh	1	sh:1
38	edal	sh	2	sh:2
39	edar	che	1	che:1
40	edy	sh	12	che:1|sh:10|t:1
41	eedy	sh	1	sh:1
42	eety	che	1	che:1
43	eey	sh	1	sh:1
44	ekey	q	1	q:1
45	eky	che	2	che:2
46	eol	t	1	t:1
47	etyd	NONE	1	NONE:1
48	ey	che	4	che:2|sh:2
49	fydaiin	sh	1	sh:1
50	h	s	1	s:1
51	kaiiin	NONE	1	NONE:1
52	kain	NONE	3	NONE:2|ch:1
53	kair	NONE	1	NONE:1
54	kar	s	1	s:1
55	kchal	NONE	1	NONE:1
56	kchey	NONE	1	NONE:1
57	kchoar	NONE	1	NONE:1
58	kchol	NONE	1	NONE:1
59	kchy	NONE	1	NONE:1
60	keedy	ch	1	ch:1
61	keey	ch	1	ch:1
62	keol	NONE	1	NONE:1
63	ky	che	3	che:3
64	l	d	2	d:2
65	lar	NONE	1	NONE:1
66	lcheckhedy	NONE	1	NONE:1
67	lcheckhy	NONE	1	NONE:1
68	lched	NONE	1	NONE:1
69	lchedal	NONE	1	NONE:1
70	lchedar	NONE	1	NONE:1
71	lchedy	NONE	8	NONE:8
72	lcheey	NONE	1	NONE:1
73	lchy	NONE	1	NONE:1
74	ldaiin	ch	1	ch:1
75	ldalor	NONE	1	NONE:1
76	ldy	NONE	2	NONE:2
77	lkedy	NONE	1	NONE:1
78	lo	NONE	1	NONE:1
79	lochedy	NONE	1	NONE:1
80	lol	NONE	1	NONE:1
81	ls	NONE	1	NONE:1
82	lshedy	NONE	2	NONE:2
83	lsho	NONE	1	NONE:1
84	ly	NONE	1	NONE:1
85	o	ch	4	ch:2|sh:2
86	oar	che	1	che:1
87	ochor	ch	1	ch:1
88	ockhey	q	1	q:1
89	octheol	NONE	1	NONE:1
90	octholy	q	1	q:1
91	odaiin	ch	1	ch:1
92	odaly	ch	1	ch:1
93	ody	NONE	1	NONE:1
94	oiiin	NONE	2	NONE:1|s:1
95	okaiin	q	9	NONE:1|q:8
96	okain	q	7	NONE:3|q:4
97	okair	NONE	1	NONE:1
98	okal	q	6	NONE:2|q:4
99	okaly	q	1	q:1
100	okar	q	1	q:1
101	okchdy	q	3	q:3
102	okchedy	NONE	2	NONE:1|q:1
103	okcheo	ch	1	ch:1
104	okchol	NONE	1	NONE:1
105	okchy	NONE	3	NONE:1|ch:1|q:1
106	okedy	q	8	q:8
107	okeedal	q	1	q:1
108	okeedy	q	10	q:10
109	okeeedy	q	1	q:1
110	okeeol	NONE	1	NONE:1
111	okeey	q	7	NONE:1|q:6
112	okey	NONE	2	NONE:1|q:1
113	okokchy	q	1	q:1
114	okol	q	1	q:1
115	okshedy	q	1	q:1
116	oky	q	10	NONE:1|ch:2|q:7
117	okylddy	q	1	q:1
118	ol	NONE	19	NONE:8|ch:3|che:1|q:3|s:3|t:1
119	olchedy	q	3	NONE:1|q:2
120	olchey	q	1	q:1
121	oldy	NONE	2	NONE:2
122	olkaiin	s	1	s:1
123	olkain	NONE	2	NONE:1|q:1
124	olkeedy	NONE	3	NONE:2|s:1
125	olkeey	s	1	s:1
126	olkey	s	1	s:1
127	olky	q	1	q:1
128	olor	NONE	2	NONE:1|ch:1
129	olsaly	NONE	1	NONE:1
130	olshedy	s	1	s:1
131	oltchy	NONE	1	NONE:1
132	or	ch	7	NONE:2|ch:3|s:1|sh:1
133	orain	NONE	1	NONE:1
134	os	NONE	1	NONE:1
135	otaiin	NONE	3	NONE:2|s:1
136	otal	q	3	NONE:1|q:2
137	otar	NONE	1	NONE:1
138	otchdy	NONE	1	NONE:1
139	otchedy	NONE	2	NONE:1|q:1
140	otchey	NONE	2	NONE:2
141	otchol	q	1	q:1
142	otchor	NONE	2	NONE:1|q:1
143	otchy	q	1	q:1
144	otedaiin	q	1	q:1
145	otedy	NONE	2	NONE:2
146	oteedy	q	2	q:2
147	oteey	NONE	2	NONE:2
148	otodan	s	1	s:1
149	otol	NONE	1	NONE:1
150	otytchol	NONE	1	NONE:1
151	oy	ch	1	ch:1
152	oykchor	NONE	1	NONE:1
153	oyty	sh	1	sh:1
154	pchedal	NONE	1	NONE:1
155	pchedy	NONE	1	NONE:1
156	ral	NONE	1	NONE:1
157	raly	NONE	1	NONE:1
158	rol	NONE	1	NONE:1
159	rsheal	NONE	1	NONE:1
160	rshedy	NONE	1	NONE:1
161	s	che	1	che:1
162	shedy	d	1	d:1
