bundle_case_id	triple_id	action_case_id	page	locus	action_ordinal	action_surface	action_gloss_de	right_clause_id	item_ordinals	item_surfaces	item_glosses_de	v78_immediate_decision	bundle_decision	decision_mode	practical_reading_de	decisive_reason_de	right_stop_ordinals	right_stop_surfaces	right_stop_glosses_de	immediate_decision_preserved	portable_default	word_delta	status
B001	T001	A002	f104v	f104v.2	2	qoteed	Auszug vollständig abkühlen und abziehen	3	3|4|5	chockhy|otaiin|ydaiin	trockene Arzneizubereitung, Gradanfang|kalter Ansatz, Grad III|davon drei Maße	CONTROL_CONFLICT	STOP	BUNDLE_STOP	Den vollständig gekühlten und abgezogenen Auszug als trockene Zubereitung am Gradanfang, kalten Ansatz III und drei Maße lesen.	Kälte passt teilweise, aber Präparat zu Ansatz und Grad III zu drei Maßen brechen Material und Zustand; Abziehen fehlt.	NONE	NONE	NONE	1	NO	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
B002	T002	A003	f104v	f104v.2	6	qokamdy	ein Maß nehmen und erhitzen	5	7|8|9	otarar|alched|otair	Unteranteil I des Anteils I des kalten Ansatzes|Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen|Anteil II des kalten Ansatzes	CONTROL_CONFLICT	STOP	BUNDLE_STOP	Den kalten Unteranteil I erhitzen; danach stehen mittelgetrocknete Rohdroge I und kalter Anteil II.	Kalter Anteil, mittelgetrocknete Rohdroge und wieder kalter Anteil schreiben kein Erhitzungsergebnis und wechseln das Material.	NONE	NONE	NONE	1	NO	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
B003	T004	A004	f105r	f105r.2	6	qodor	eine Portion des Ansatzes abmessen	3	7|8|9	ches|or|cheey	trockenes Drogenmaterial, Mittelstufe|Drogenportion|trocken am Ende des Grades	OPEN_PARTIAL	STOP	BUNDLE_STOP	Trockenes Drogenmaterial der Mittelstufe als Drogenportion am Gradende abmessen.	Portion passt, doch Ansatz zu Drogenmaterial und Mittelstufe zu Gradende brechen den Pfad.	NONE	NONE	NONE	1	NO	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
B004	T006	A006	f105r	f105r.31	5	aiijy	in drei Bündel abfüllen und schließen	3	6|7|8	cpheesy|okal|lkedy	vollständig bereitetes und abgeschlossenes Arzneikompositum|Rohstoffklasse I im heißen Ansatz, Gradanfang|bis zur mittleren Heizstufe erhitztes Holz	HOLD_NEW	STOP	BUNDLE_STOP	Das Arzneikompositum ist vollständig bereitet und geschlossen; anschließend folgen heißer Rohstoff I und bis zur Mitte erhitztes Holz.	Das erste Item ist schon ein plausibles abgeschlossenes Ergebnis; Rohstoff und Holz eröffnen danach neue Register.	NONE	NONE	NONE	1	NO	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
B005	T012	A009	f105v	f105v.14	3	qokaiir	nimm den heißen Drogenanteil III	3	4|5|6	olpchedy|olord|aiiin	fertiges Holzextraktpulver|abgezogene Portion Holzauszug|Menge IV	RETAIN_PRIOR_HOLD	STOP	BUNDLE_STOP	Den heißen Drogenanteil III nehmen; rechts folgen fertiges Holzextraktpulver, eine abgezogene Holzauszugportion und Menge IV.	Heißer Drogenanteil wechselt zu Holzextrakt und Holzauszug; Nehmen produziert weder Holzpulver noch Menge IV.	NONE	NONE	NONE	1	NO	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
B006	T014	A012	f106r	f106r.23	2	qckhedy	das Arzneikompositum bis zur Mittelstufe aufbereiten	3	3|4|5	dair|al|qokedy	abgemessener Anteil II|Rohstoffklasse I|heiße Mittelstufe erreicht	OPEN_PARTIAL	HOLD	BUNDLE_HOLD	Den abgemessenen Anteil II aus Rohstoff I als aufbereiteten Stoff auf heißer Mittelstufe lesen.	Mittelstufe ist konkret, doch Kompositum zu Anteil und Rohstoff sowie nicht geschriebene Hitze bleiben offen.	NONE	NONE	NONE	1	NO	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
B007	T020	A014	f107r	f107r.2	2	qoteos	eine bis zur Mittelstufe gekühlte Ansatzcharge nehmen	3	3|4|5	aiin|shedy|oteed	Menge III|mittlere Feuchtstufe erreicht|vollständig abgekühlter und abgezogener Auszug	OPEN_PARTIAL	HOLD	BUNDLE_HOLD	Menge III der gekühlten Charge ist auf mittlerer Feuchtstufe vollständig abgekühlt und abgezogen.	Menge, mittlere Stufe und vollständige Kühlung können einen Objektblock bilden; Feuchte und Abziehen folgen aber nicht aus Nehmen.	NONE	NONE	NONE	1	NO	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
B008	T021	A015	f107r	f107r.2	6	qor	nimm eine Drogenportion	5	7|8|9	aiin|cheockhy|olkeey	Menge III|trocken angesetztes Arzneikompositum am Gradanfang|Holzansatz vollständig erhitzt	OPEN_PARTIAL	STOP	BUNDLE_STOP	Die genommene Drogenportion steht als Menge III vor einem trocken angesetzten Kompositum und einem vollständig erhitzten Holzansatz.	Drogenportion zu Kompositum zu Holzansatz ist ein harter Materialwechsel; vollständiges Erhitzen folgt nicht aus Nehmen.	NONE	NONE	NONE	1	NO	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
B009	T024	A017	f10r	f10r.2	1	dchey	Eine abgemessene Portion bis zur Mittelstufe trocknen	2	2|3|4	cthoor|char|chty	eine Portion Krautansatz|trockener Drogenanteil I|trocken-kalt am Gradanfang	OPEN_PARTIAL	STOP	BUNDLE_STOP	Die Krautansatzportion wird zum trockenen Drogenanteil I, endet jedoch trocken-kalt am Gradanfang.	Portion und Trockenheit passen, aber trocken-kalter Gradanfang widerspricht ausdrücklich der Mittelstufe.	NONE	NONE	NONE	1	NO	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
B010	T031	A019	f114r	f114r.26	1	ycheeodaiin	hiervon drei Dosen des zweiten Trockenansatzes abmessen	2	2|3|4	olkaiir|qokaiin|chodaiin	Anteil III des heißen Holzansatzes|heiß, Grad III|Trockenansatz, Dosis III	CONTROL_CONFLICT	STOP	BUNDLE_STOP	Drei Dosen des zweiten Trockenansatzes abmessen; rechts stehen heißer Holzanteil III, Hitzegrad III und Trockenansatz-Dosis III.	Trockenansatz II und drei Dosen wechseln zu heißem Holzanteil III; nur das letzte Dosismotiv kehrt zurück.	NONE	NONE	NONE	1	NO	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
B011	T038	A021	f114v	f114v.36	7	qopaiin	drei Teile Pulverzubereitung nehmen	4	8|9|10	qotar|al|kal	kalter Drogenanteil I|Rohstoffklasse I|Rohstoffklasse I, heiß am Gradanfang	CONTROL_CONFLICT	STOP	BUNDLE_STOP	Die drei genommenen Pulverteile werden rechts als kalter Drogenanteil I und Rohstoff I am heißen Gradanfang geführt.	Pulverzubereitung und drei Teile verschwinden; kalt zu heiß wird ohne Operation eingeführt.	NONE	NONE	NONE	1	NO	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
B012	T040	A024	f115r	f115r.1	3	qochedain	zwei Dosen bis zur Mittelstufe getrocknetes Gut abmessen	4	4|5|6	otedy|cheop|ol	kalter Ansatz, Mittelstufe erreicht|bis zur Mittelstufe getrocknet|Pulverstoff	RETAIN_PRIOR_HOLD	HOLD	BUNDLE_HOLD	Zwei Dosen eines bis zur Mitte getrockneten Pulverstoffs aus dem kalten Mittelstufenansatz abmessen.	Mittelstufe und Trockengut oder Pulver sind kompatibel; Kälte sowie die ausgeschriebene Zweidosen-Messung bleiben ungebunden.	NONE	NONE	NONE	1	NO	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
B013	T046	A027	f115r	f115r.23	5	qokcho	erhitze, trockne und setze an	6	6|7|8	s|checthy|qokeeey	Samenposten|trockenes Kraut|stark erhitzt, Endstufe III	CONTROL_CONFLICT	STOP	BUNDLE_STOP	Den Samenposten erhitzen und trocknen; rechts stehen trockenes Kraut und eine stark erhitzte Endstufe III.	Trocknen und Erhitzen spiegeln sich, aber Samen zu Kraut ist ein ungebundener Materialwechsel und Ansetzen fehlt.	NONE	NONE	NONE	1	NO	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
