triple_id	action_case_id	page	locus	action_ordinal	action_surface	action_gloss_de	right_clause_id	semantic_start_rank	item_ordinals	item_surfaces	item_glosses_de	action_adjacent	search_role	word_delta	status
T001	A002	f104v	f104v.2	2	qoteed	Auszug vollständig abkühlen und abziehen	3	1	3|4|5	chockhy|otaiin|ydaiin	trockene Arzneizubereitung, Gradanfang|kalter Ansatz, Grad III|davon drei Maße	1	LEADING_ACTION_RESULT_BUNDLE	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
T002	A003	f104v	f104v.2	6	qokamdy	ein Maß nehmen und erhitzen	5	1	7|8|9	otarar|alched|otair	Unteranteil I des Anteils I des kalten Ansatzes|Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen|Anteil II des kalten Ansatzes	1	LEADING_ACTION_RESULT_BUNDLE	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
T003	A003	f104v	f104v.2	6	qokamdy	ein Maß nehmen und erhitzen	5	2	8|9|10	alched|otair|oram	Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen|Anteil II des kalten Ansatzes|eine Maßportion Ansatz	0	LATER_STARTING_TRIPLE_CONTROL	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
T004	A004	f105r	f105r.2	6	qodor	eine Portion des Ansatzes abmessen	3	1	7|8|9	ches|or|cheey	trockenes Drogenmaterial, Mittelstufe|Drogenportion|trocken am Ende des Grades	1	LEADING_ACTION_RESULT_BUNDLE	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
T005	A004	f105r	f105r.2	6	qodor	eine Portion des Ansatzes abmessen	3	2	8|9|10	or|cheey|okees	Drogenportion|trocken am Ende des Grades|Charge vollständig erhitzten Ansatzes	0	LATER_STARTING_TRIPLE_CONTROL	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
T006	A006	f105r	f105r.31	5	aiijy	in drei Bündel abfüllen und schließen	3	1	6|7|8	cpheesy|okal|lkedy	vollständig bereitetes und abgeschlossenes Arzneikompositum|Rohstoffklasse I im heißen Ansatz, Gradanfang|bis zur mittleren Heizstufe erhitztes Holz	1	LEADING_ACTION_RESULT_BUNDLE	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
T007	A006	f105r	f105r.31	5	aiijy	in drei Bündel abfüllen und schließen	3	2	7|8|9	okal|lkedy|lkar	Rohstoffklasse I im heißen Ansatz, Gradanfang|bis zur mittleren Heizstufe erhitztes Holz|Anteil I der erhitzten Holzdroge	0	LATER_STARTING_TRIPLE_CONTROL	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
T008	A006	f105r	f105r.31	5	aiijy	in drei Bündel abfüllen und schließen	3	3	8|9|10	lkedy|lkar|chedy	bis zur mittleren Heizstufe erhitztes Holz|Anteil I der erhitzten Holzdroge|mittlere Trockenstufe erreicht	0	LATER_STARTING_TRIPLE_CONTROL	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
T009	A006	f105r	f105r.31	5	aiijy	in drei Bündel abfüllen und schließen	3	4	9|10|11	lkar|chedy|qokaiin	Anteil I der erhitzten Holzdroge|mittlere Trockenstufe erreicht|heiß, Grad III	0	LATER_STARTING_TRIPLE_CONTROL	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
T010	A006	f105r	f105r.31	5	aiijy	in drei Bündel abfüllen und schließen	3	5	10|11|12	chedy|qokaiin|or	mittlere Trockenstufe erreicht|heiß, Grad III|Drogenportion	0	LATER_STARTING_TRIPLE_CONTROL	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
