surface_occurrence_id	surface	page	locus	token_ordinal	token_gloss_de	a083_role	portability_role	note_de	portable_default	word_delta	status
S001	chey	f107r	f107r.2	11	trocken in der Mitte des Grades	NONE	INACCESSIBLE_LATER_CHEY	A015 stoppt bereits am zweiten Item #8 cheockhy; dieses spätere chey ist kein alternatives dchey-Ergebnis.	NO	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
S002	chey	f107r	f107r.40	2	trocken in der Mitte des Grades	NONE	UNBOUND_NOMINAL_CHEY	Kein lokaler dchey-Aktionspfad bindet dieses chey als Ergebnis.	NO	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
S003	chol	f27r	f27r.9	4	trocken	NONE	DCHEY_CONTROL_CHOL	A036 bleibt wegen Auszug-zu-Mazerat-Wechsel ein Stopp.	NO	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
S004	chol	f30r	f30r.9	3	trocken	NONE	OPEN_PARTIAL_CHOL	GDT705 hält chol als unmittelbaren Zustandswert offen; GDT706 stoppt erst das folgende #4 keeaiin als widersprüchlichen Heizzustand.	NO	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
S005	chol	f86v3	f86v3.19	5	trocken	NONE	A070_FIRST_CHOL	Breiter Trockenwert vor dem früher plausiblen heiß-trockenen Anfang, kein Endpunktstandard.	NO	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
S006	chol	f86v3	f86v3.19	7	trocken	NONE	A070_LATER_CHOL	Wiederholter Trockenwert nach einem früher plausiblen Zustand, kein zweites Ergebnis.	NO	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
S007	chol	f86v6	f86v6.5	3	trocken	NONE	UNBOUND_NOMINAL_CHOL	Trockenwert außerhalb C020 ohne portable Ergebnisbindung.	NO	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
S008	ckhol	f8r	f8r.15	2	Drogenstoff aus Arzneikompositum	RESULT_MATERIAL_CARRIER:C020	UNIQUE_CKHOL	ckhol kommt im 479-Token-Bestand nur hier vor; Einzelfall verhindert Export.	NO	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
S009	chol	f8r	f8r.15	3	trocken	RESULT_DRY_QUALITY:C020	LOCAL_C020_QUALITY	chol trägt hier den breiten Trockenstatus innerhalb C020.	NO	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
S010	chey	f8r	f8r.15	4	trocken in der Mitte des Grades	WRITTEN_MIDDLE_DRY_RESULT:C020	LOCAL_C020_TARGET	chey ist hier nur der lokale Endpunkt des vollständig sichtbaren Dreierbündels.	NO	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
