statement_order	statement_id	record_unit_id	page	constituent_fields	physical_loci	line_crossing	event_count	event_serials	visible_surface_sequence	card_near_workshop_reading_de	concrete_source_expansion_de	record_program_de	sentence_boundary_rule	status
14	H5-S001	H5	f56r	F014|F015	f56r.5|f56r.7	YES__CONTINUE_ACROSS_PHYSICAL_LINE	9	74|75|76|77|78|79|80|81|82	chochor cho chodaly daiin sho kchol otchor choky dal	Bereite einen Zutatenansatz, gib die Zutat dorthin nach Sollmaß, bearbeite die nächste Zutat weiter, beginne den Folgeansatz und setze den Posten dort an.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.	Frisches Kraut mit Wasser als kurze Waschung oder gebundene Anwendung ansetzen. Den übrigen Pflanzenstoff in Auszugsflüssigkeit ausziehen, durch Tuch trennen, mit Bindestoff binden und eine örtliche Portion als dosiertes Mittel verwenden.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
21	B1-S002	B1	f81v	F022|F023	f81v.2|f81v.7	YES__CONTINUE_ACROSS_PHYSICAL_LINE	19	102|103|104|105|106|107|108|109|110|111|112|113|114|115|116|117|118|119|120	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
22	B1-S003	B1	f81v	F024|F025	f81v.7|f81v.17	YES__CONTINUE_ACROSS_PHYSICAL_LINE	2	121|122	qol sshkchdy	Führe weiter, schwenke den Posten und schließe	Im gemeinsamen zweireihigen Figurenbecken: Führe weiter, schwenke den Posten und schließe	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
37	B1-S018	B1	f81v	F040|F041	f81v.24|f81v.27	YES__CONTINUE_ACROSS_PHYSICAL_LINE	4	159|160|161|162	ly dsheol oiiin olkeedy	Stelle das Gefäß bereit, lass den Posten kurz weiter ruhen, bringe ihn auf Sollstufe, sammle länger und schließe.	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Gefäß bereit, lass den Posten kurz weiter ruhen, bringe ihn auf Sollstufe, sammle länger und schließe.	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
44	B2-S004	B2	f82r	F048|F049	f82r.2|f82r.3	YES__CONTINUE_ACROSS_PHYSICAL_LINE	5	172|173|174|175|176	qokal lcheckhy lched qokeey lcheckhedy	Setze dort an, leite durch den Ausgang, führe ab, setze länger an, seih ab und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Setze dort an, leite durch den Ausgang, führe ab, setze länger an, seih ab und schließe	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
45	B2-S005	B2	f82r	F050|F051	f82r.3|f82r.4	YES__CONTINUE_ACROSS_PHYSICAL_LINE	8	177|178|179|180|181|182|183|184	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	Setze diesen Posten dort an, sammle bis zum Sollmaß, leite durch, stelle das Sollmaß ein, führe bereit weiter, wärme länger, ziehe ab und schließe.	An der jeweils neu gesetzten lokalen Beckenstation: Setze diesen Posten dort an, sammle bis zum Sollmaß, leite durch, stelle das Sollmaß ein, führe bereit weiter, wärme länger, ziehe ab und schließe.	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
52	B2-S012	B2	f82r	F058|F059	f82r.19|f82r.23	YES__CONTINUE_ACROSS_PHYSICAL_LINE	8	202|203|204|205|206|207|208|209	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	Ziehe den Posten ab, nimm den Klarlauf, halte ihn kurz bereit, setze ihn länger an, führe den Klarlauf ab, stelle das Sollmaß ein, führe den Posten vollständig aus und schließe.	An der jeweils neu gesetzten lokalen Beckenstation: Ziehe den Posten ab, nimm den Klarlauf, halte ihn kurz bereit, setze ihn länger an, führe den Klarlauf ab, stelle das Sollmaß ein, führe den Posten vollständig aus und schließe.	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
56	B2-S016	B2	f82r	F063|F064	f82r.26|f82r.27	YES__CONTINUE_ACROSS_PHYSICAL_LINE	8	214|215|216|217|218|219|220|221	cheal lchedar ches aiin oteey qokaiin okey pchedy	Führe ihn dorthin und von dort ab, teile gleich, stelle das Sollmaß ein, nimm den langen Folgeposten, setze kurz an, führe ein und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Führe ihn dorthin und von dort ab, teile gleich, stelle das Sollmaß ein, nimm den langen Folgeposten, setze kurz an, führe ein und schließe	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
78	B3-S016	B3	f83r	F086|F087	f83r.11|f83r.14	YES__CONTINUE_ACROSS_PHYSICAL_LINE	2	263|264	lo qokchedy	Führe ab, setze den Posten um und schließe.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe ab, setze den Posten um und schließe.	Die drei Randbecken zuerst einzeln mit Badwasser füllen, waschen, absetzen und ins Auffangbecken abführen. Danach das sichtbar gekoppelte Hauptpaar mit Badwärme, Tuch, Seihgang und örtlichem Ablauf bedienen; die unverbundene Lücke nicht als Wasserlauf lesen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
83	B3-S021	B3	f83r	F092|F093	f83r.14|f83r.15	YES__CONTINUE_ACROSS_PHYSICAL_LINE	11	270|271|272|273|274|275|276|277|278|279|280	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	Stelle das Sollmaß ein, halte bereit, führe dorthin, lass dort absetzen, halte den Posten kurz bereit, führe ihn erneut dorthin, setze um und schließe.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, halte bereit, führe dorthin, lass dort absetzen, halte den Posten kurz bereit, führe ihn erneut dorthin, setze um und schließe.	Die drei Randbecken zuerst einzeln mit Badwasser füllen, waschen, absetzen und ins Auffangbecken abführen. Danach das sichtbar gekoppelte Hauptpaar mit Badwärme, Tuch, Seihgang und örtlichem Ablauf bedienen; die unverbundene Lücke nicht als Wasserlauf lesen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
