event_serial	statement_id	record_unit_id	page	local_address	visible_identity	short_form_reading	statement_translation_de	line_crossing_statement
1	H1-S001	H1	f10r	H1-S001	dchey	Setze die gelernte Fachkarte: Wurzel als aktueller Posten.	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.	NO
2	H1-S001	H1	f10r	H1-S001	cthoor	Führe es aus dem Vorrat oder am Ansatz aus: Ansatz bereit.	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.	NO
3	H1-S001	H1	f10r	H1-S001	char	Nenne Quelle, Lauf, Auszug oder Ansatz: aus dem Ansatz.	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.	NO
4	H1-S001	H1	f10r	H1-S001	chty	Führe es in der angegebenen Portion oder Stufe aus: Teil abtrennen.	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.	NO
5	H1-S001	H1	f10r	H1-S001	os	Setze die gelernte Fachkarte: Mischgefäß.	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.	NO
6	H1-S001	H1	f10r	H1-S001	chair	Nenne Quelle, Lauf, Auszug oder Ansatz: Wasserzulauf.	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.	NO
7	H1-S001	H1	f10r	H1-S001	otytchol	Danach oder in demselben Gang: naechsten Teilposten weiterfuehren.	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.	NO
8	H1-S001	H1	f10r	H1-S001	oky	Führe es mit diesem laufenden Posten aus: aktuellen Posten ansetzen.	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.	NO
9	H1-S001	H1	f10r	H1-S001	daiin	Setze Maß, Portion oder Stufe: Sollmaß.	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.	NO
10	H1-S001	H1	f10r	H1-S001	etyd	Setze Maß, Portion oder Stufe: kleiner Restteil.	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.	NO
11	H1-S002	H1	f10r	H1-S002	qokchy	Führe es mit diesem laufenden Posten aus: Posten zur Weiterbearbeitung ansetzen.	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.	NO
