statement_order	statement_id	record_unit_id	page	constituent_fields	physical_loci	line_crossing	event_count	event_serials	visible_surface_sequence	card_near_workshop_reading_de	concrete_source_expansion_de	record_program_de	sentence_boundary_rule	status
1	H1-S001	H1	f10r	F001	f10r.2	NO	10	1|2|3|4|5|6|7|8|9|10	dchey cthoor char chty os chair otytchol oky daiin etyd	Nimm die Wurzel, bereite den Ansatz, trenne daraus einen Teil ab, gib ihn in das Gefäß, gib den Wasserzulauf zu, führe den nächsten Teilposten weiter, setze ihn nach Sollmaß an und behalte einen kleinen Restteil.	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als dosiertes Mittel verwenden; den Restteil verwahren.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
2	H1-S002	H1	f10r	F002	f10r.5	NO	4	11|12|13|14	qokchy qotchol chol cthy	Setze den Posten an, führe ihn danach weiter und halte ihn bereit.	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als dosiertes Mittel verwenden; den Restteil verwahren.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
3	H2-S001	H2	f10r	F003	f10r.6	NO	9	15|16|17|18|19|20|21|22|23	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Nimm den bereiten Auszugsansatz, bringe den Ansatz auf Fertigmaß, führe den bereiten Posten weiter und stelle sein Sollmaß ein.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Trägerstoff im Gefäß zu einem streichfähigen Mittel ansetzen. Eine örtliche Portion als gebundene Anwendung verwenden.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
4	H2-S002	H2	f10r	F004	f10r.8	NO	8	24|25|26|27|28|29|30|31	qotchor chor otol chol cholor chol daiin dar	Führe den bemessenen Pflanzenansatz als Folgeansatz samt seinem Fortsetzungsposten weiter und nimm daraus das Sollmaß	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Trägerstoff im Gefäß zu einem streichfähigen Mittel ansetzen. Eine örtliche Portion als gebundene Anwendung verwenden.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
5	H2-S003	H2	f10r	F005	f10r.9	NO	7	32|33|34|35|36|37|38	oykchor shor chor chy kaiiin dy chodaiin	Gib den weitergeführten Folgeansatz in das Gefäß, bearbeite diesen Posten bis zur Weichstufe und stelle das Zutatenmaß ein.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Trägerstoff im Gefäß zu einem streichfähigen Mittel ansetzen. Eine örtliche Portion als gebundene Anwendung verwenden.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
6	H3-S001	H3	f11r	F006	f11r.1	NO	7	39|40|41|42|43|44|45	tshol schoal cfhy shfydaiin cphy shey tchody	Entnimm eine Zutat, gib sie dorthin, wringe aus, lass bis zum Standmaß stehen, seih nach, nimm den Klarlauf und stelle ihn kalt.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.	Blüte und Blatt in Auszugsflüssigkeit ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als dosiertes Mittel verwenden; den übrigen Auszug mit Trägerstoff als äußerliche Anwendung ansetzen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
7	H3-S002	H3	f11r	F007	f11r.1	NO	1	46	shoyty	Lege einen Zutatenteil zurück.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Behalte einen Teil des frischen Pflanzenstoffs als zweiten Vorrat zurück.	Blüte und Blatt in Auszugsflüssigkeit ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als dosiertes Mittel verwenden; den übrigen Auszug mit Trägerstoff als äußerliche Anwendung ansetzen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
8	H3-S003	H3	f11r	F008	f11r.4	NO	5	47|48|49|50|51	dchol chy kchy dy daiin	Nimm den Vorposten, bearbeite diesen Posten und stelle sein Sollmaß ein.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.	Blüte und Blatt in Auszugsflüssigkeit ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als dosiertes Mittel verwenden; den übrigen Auszug mit Trägerstoff als äußerliche Anwendung ansetzen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
9	H3-S004	H3	f11r	F009	f11r.7	NO	4	52|53|54|55	qotchy okchol cthy dy	Nimm die restliche Blütenreserve als Folgeposten, setze die Fortsetzung an und halte sie bereit	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.	Blüte und Blatt in Auszugsflüssigkeit ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als dosiertes Mittel verwenden; den übrigen Auszug mit Trägerstoff als äußerliche Anwendung ansetzen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
10	H4-S001	H4	f55v	F010	f55v.5	NO	5	56|57|58|59|60	qokaiin chaiin ykain ykan ody	Stelle das Sollmaß ein, nimm eine Postenportion und kühle diesen Anteil ab	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, bemiss den Posten und setze ihn in Auszugsflüssigkeit im Gefäß an.	Blatt in Auszugsflüssigkeit im Gefäß ansetzen, durch Tuch auswringen und den Auszug als Waschung sammeln. Den Pflanzenrest mit Bindestoff binden und als gebundene Anwendung verwenden.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END	COMPLETE_WORKING_TRANSLATION
