condition_handle	page	locus	event_index	opaque_local_id	surface	component_parse	relative_reading_de	short_condition_de	copy_rule
C1@f67r2.1	f67r2	f67r2.1	1	A1:G001	ykshy	Y+K+Y	DIESER_EINTRAG · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	BEIM MARKIERTEN RECHTEN PHASENPLATZ	COPY_COMPLETE_LOCAL_LOCUS
C1@f67r2.1	f67r2	f67r2.1	2	A1:G002	s	S_LABEL	LOKALE_BEDINGUNGSKARTE	BEIM MARKIERTEN RECHTEN PHASENPLATZ	COPY_COMPLETE_LOCAL_LOCUS
C1@f67r2.1	f67r2	f67r2.1	3	A1:G003	aram	AR+AM_ADDR	VON · LOKALER_BEDINGUNGSKERN	BEIM MARKIERTEN RECHTEN PHASENPLATZ	COPY_COMPLETE_LOCAL_LOCUS
C2@f67r2.15	f67r2	f67r2.15	1	A1:G036	dolchsody	D_ADDR+OL+CH+S_ADDR+O+DY	WEITER · LOKAL_SCHLIESSEN · LOKALER_BEDINGUNGSKERN	BEIM MARKIERTEN LINKEN STERN-/ASPEKTPLATZ	COPY_COMPLETE_LOCAL_LOCUS
C3@f68r1.9	f68r1	f68r1.9	1	A2:G033	odchecthy	O+D_ADDR+CH+E+CTH+Y	KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	AM DIREKT BEZEICHNETEN STERNORT	COPY_COMPLETE_LOCAL_LOCUS
C4@f69v.12	f69v	f69v.12	1	A3:G118	otody	OT+O+DY	FOLGEND · LOKAL_SCHLIESSEN · LOKALER_BEDINGUNGSKERN	AM MARKIERTEN LINKEN 28ER-PLATZ	COPY_COMPLETE_LOCAL_LOCUS
C5@f69v.2	f69v	f69v.2	1	A3:G041	yka	Y+K+A_ADDR	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	BEI DER MARKIERTEN FEUCHTE-/WETTERLAGE	COPY_COMPLETE_LOCAL_LOCUS
C5@f69v.2	f69v	f69v.2	2	A3:G042	chol	OL	WEITER	BEI DER MARKIERTEN FEUCHTE-/WETTERLAGE	COPY_COMPLETE_LOCAL_LOCUS
C5@f69v.2	f69v	f69v.2	3	A3:G043	ykar	Y+K+AR	DIESER_EINTRAG · VON · LOKALER_BEDINGUNGSKERN	BEI DER MARKIERTEN FEUCHTE-/WETTERLAGE	COPY_COMPLETE_LOCAL_LOCUS
C5@f69v.2	f69v	f69v.2	4	A3:G044	dal	AL	AN	BEI DER MARKIERTEN FEUCHTE-/WETTERLAGE	COPY_COMPLETE_LOCAL_LOCUS
