biological_record	condition_handle	application_demand	condition_features	matched_features	fit_score	maximum_score	was_current_link	selected
B1	C1@f67r2.1	WATER:3,MOISTURE:2,HOLD:1	COLLECT,PHASE,START_END	NONE	0	6	NO	NO
B1	C2@f67r2.15	WATER:3,MOISTURE:2,HOLD:1	ASPECT,COMPLEX_SEQUENCE,WORK	NONE	0	6	NO	NO
B1	C3@f68r1.9	WATER:3,MOISTURE:2,HOLD:1	DIRECT_PLACE,TARGET	NONE	0	6	NO	NO
B1	C4@f69v.12	WATER:3,MOISTURE:2,HOLD:1	COUNTED_PLACE,MEASURE,PASSAGE	NONE	0	6	NO	NO
B1	C5@f69v.2	WATER:3,MOISTURE:2,HOLD:1	HOLD,MOISTURE,WATER	WATER,MOISTURE,HOLD	6	6	YES	YES
B1	C6@f69v.3	WATER:3,MOISTURE:2,HOLD:1	BODY,HEAT,LIGHT,TARGET	NONE	0	6	NO	NO
B2	C1@f67r2.1	PASSAGE:3,MEASURE:2,COUNTED_PLACE:1	COLLECT,PHASE,START_END	NONE	0	6	NO	NO
B2	C2@f67r2.15	PASSAGE:3,MEASURE:2,COUNTED_PLACE:1	ASPECT,COMPLEX_SEQUENCE,WORK	NONE	0	6	NO	NO
B2	C3@f68r1.9	PASSAGE:3,MEASURE:2,COUNTED_PLACE:1	DIRECT_PLACE,TARGET	NONE	0	6	NO	NO
B2	C4@f69v.12	PASSAGE:3,MEASURE:2,COUNTED_PLACE:1	COUNTED_PLACE,MEASURE,PASSAGE	PASSAGE,MEASURE,COUNTED_PLACE	6	6	YES	YES
B2	C5@f69v.2	PASSAGE:3,MEASURE:2,COUNTED_PLACE:1	HOLD,MOISTURE,WATER	NONE	0	6	NO	NO
B2	C6@f69v.3	PASSAGE:3,MEASURE:2,COUNTED_PLACE:1	BODY,HEAT,LIGHT,TARGET	NONE	0	6	NO	NO
B3	C1@f67r2.1	WORK:3,COMPLEX_SEQUENCE:2,ASPECT:1	COLLECT,PHASE,START_END	NONE	0	6	NO	NO
B3	C2@f67r2.15	WORK:3,COMPLEX_SEQUENCE:2,ASPECT:1	ASPECT,COMPLEX_SEQUENCE,WORK	WORK,COMPLEX_SEQUENCE,ASPECT	6	6	YES	YES
B3	C3@f68r1.9	WORK:3,COMPLEX_SEQUENCE:2,ASPECT:1	DIRECT_PLACE,TARGET	NONE	0	6	NO	NO
B3	C4@f69v.12	WORK:3,COMPLEX_SEQUENCE:2,ASPECT:1	COUNTED_PLACE,MEASURE,PASSAGE	NONE	0	6	NO	NO
B3	C5@f69v.2	WORK:3,COMPLEX_SEQUENCE:2,ASPECT:1	HOLD,MOISTURE,WATER	NONE	0	6	NO	NO
B3	C6@f69v.3	WORK:3,COMPLEX_SEQUENCE:2,ASPECT:1	BODY,HEAT,LIGHT,TARGET	NONE	0	6	NO	NO
B4	C1@f67r2.1	HEAT:3,LIGHT:2,BODY:1	COLLECT,PHASE,START_END	NONE	0	6	NO	NO
B4	C2@f67r2.15	HEAT:3,LIGHT:2,BODY:1	ASPECT,COMPLEX_SEQUENCE,WORK	NONE	0	6	NO	NO
B4	C3@f68r1.9	HEAT:3,LIGHT:2,BODY:1	DIRECT_PLACE,TARGET	NONE	0	6	NO	NO
B4	C4@f69v.12	HEAT:3,LIGHT:2,BODY:1	COUNTED_PLACE,MEASURE,PASSAGE	NONE	0	6	NO	NO
B4	C5@f69v.2	HEAT:3,LIGHT:2,BODY:1	HOLD,MOISTURE,WATER	NONE	0	6	NO	NO
B4	C6@f69v.3	HEAT:3,LIGHT:2,BODY:1	BODY,HEAT,LIGHT,TARGET	HEAT,LIGHT,BODY	6	6	YES	YES
B5	C1@f67r2.1	TARGET:3,DIRECT_PLACE:2	COLLECT,PHASE,START_END	NONE	0	5	NO	NO
B5	C2@f67r2.15	TARGET:3,DIRECT_PLACE:2	ASPECT,COMPLEX_SEQUENCE,WORK	NONE	0	5	NO	NO
B5	C3@f68r1.9	TARGET:3,DIRECT_PLACE:2	DIRECT_PLACE,TARGET	TARGET,DIRECT_PLACE	5	5	YES	YES
B5	C4@f69v.12	TARGET:3,DIRECT_PLACE:2	COUNTED_PLACE,MEASURE,PASSAGE	NONE	0	5	NO	NO
B5	C5@f69v.2	TARGET:3,DIRECT_PLACE:2	HOLD,MOISTURE,WATER	NONE	0	5	NO	NO
B5	C6@f69v.3	TARGET:3,DIRECT_PLACE:2	BODY,HEAT,LIGHT,TARGET	TARGET	3	5	NO	NO
B6	C1@f67r2.1	COLLECT:3,PHASE:2,START_END:1	COLLECT,PHASE,START_END	COLLECT,PHASE,START_END	6	6	YES	YES
B6	C2@f67r2.15	COLLECT:3,PHASE:2,START_END:1	ASPECT,COMPLEX_SEQUENCE,WORK	NONE	0	6	NO	NO
B6	C3@f68r1.9	COLLECT:3,PHASE:2,START_END:1	DIRECT_PLACE,TARGET	NONE	0	6	NO	NO
B6	C4@f69v.12	COLLECT:3,PHASE:2,START_END:1	COUNTED_PLACE,MEASURE,PASSAGE	NONE	0	6	NO	NO
B6	C5@f69v.2	COLLECT:3,PHASE:2,START_END:1	HOLD,MOISTURE,WATER	NONE	0	6	NO	NO
B6	C6@f69v.3	COLLECT:3,PHASE:2,START_END:1	BODY,HEAT,LIGHT,TARGET	NONE	0	6	NO	NO
