bank_id	physical_page	owner_de	event_count	mutated_event_count	stop_count	isolated_global_exact_count	isolated_global_all_exact
G455-K001	f10r	zweiknolliges blauköpfiges Heilkraut	92	4	4	92	YES
G455-K002	f11r	blühender dreikroniger Sodenstock	59	4	2	59	YES
G455-K003	f13r	große Wurzelkrone mit Blatt und Blütenstand	77	10	4	77	YES
G455-K004	f17r	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	78	14	6	78	YES
G455-K005	f18r	große abgebildete Blütenpflanze	84	8	8	84	YES
G455-K006	f1r	F1R_TEXT_BLOCK_A	46	2	2	46	YES
G455-K007	f1r	F1R_TEXT_BLOCK_B	25	4	2	25	YES
G455-K008	f1r	F1R_TEXT_BLOCK_C	88	2	2	88	YES
G455-K009	f1r	F1R_TEXT_BLOCK_D	55	4	2	55	YES
G455-K010	f24v	F24V_WHOLE_PLANT	86	6	6	86	YES
G455-K011	f55v	große aromatische Doldenpflanze	106	10	6	106	YES
G455-K012	f56r	stachelköpfiges Kraut in mehreren Reifestufen	105	6	4	105	YES
G455-K013	f67r2	zwei getrennte Himmelsräder und Tabelle	126	20	6	126	YES
G455-K014	f68r1	mehrteilige Sternstellentafel	31	6	3	31	YES
G455-K015	f71v	dritte lokale Ringgruppe	11	2	1	11	YES
G455-K016	f71v	erste lokale Figuren-/Sternringgruppe	37	4	1	37	YES
G455-K017	f71v	zweite lokale Figuren-/Sternringgruppe	30	4	2	30	YES
G455-K018	f72r	Tierkreis-Ringgruppe A	42	8	3	42	YES
G455-K019	f72r	Tierkreis-Ringgruppe B	27	4	1	27	YES
G455-K020	f72r	Tierkreis-Ringgruppe C	13	2	2	13	YES
G455-K021	f72r	Tierkreis-Ringgruppe D	41	2	2	41	YES
G455-K022	f72r	Tierkreis-Ringgruppe E	26	6	3	26	YES
G455-K023	f72r	Tierkreis-Ringgruppe F	15	2	2	15	YES
G455-K024	f72r	Tierkreis-Ringgruppe G	47	6	3	47	YES
G455-K025	f72r	Tierkreis-Ringgruppe H	41	4	1	41	YES
G455-K026	f72r	Tierkreis-Ringgruppe I	27	6	4	27	YES
G455-K027	f72r	Tierkreis-Ringgruppe J	9	2	1	9	YES
G455-K028	f75r	großes Bad-/Stationsblatt mit dreieckiger Insel	408	136	34	408	YES
G455-K029	f76r	unbebilderter Textabschnitt A0	37	10	4	37	YES
G455-K030	f76r	unbebilderter Textabschnitt A1	26	10	4	26	YES
G455-K031	f76r	unbebilderter Textabschnitt A2	28	8	2	28	YES
G455-K032	f76r	unbebilderter Textabschnitt A3	39	12	4	39	YES
G455-K033	f76r	unbebilderter Textabschnitt A4	36	8	3	36	YES
G455-K034	f76r	unbebilderter Textabschnitt A5	35	12	2	35	YES
G455-K035	f76r	unbebilderter Textabschnitt A6	53	14	3	53	YES
G455-K036	f76r	unbebilderter Textabschnitt A7	39	6	1	39	YES
G455-K037	f76r	unbebilderter Textabschnitt A8	69	18	5	69	YES
G455-K038	f76r	unbebilderter Textabschnitt A9	6	2	0	6	YES
G455-K039	f76r	unbebilderter Textabschnitt B	58	20	5	58	YES
G455-K040	f76r	unbebilderter Textabschnitt C	76	22	6	76	YES
G455-K041	f76r	unbebilderter Textabschnitt D	58	22	2	58	YES
G455-K042	f77r	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	321	108	14	321	YES
G455-K043	f81r	F81R_LOWER_POOL	116	42	10	116	YES
G455-K044	f81r	F81R_UPPER_POOL	94	26	3	94	YES
G455-K045	f81v	gemeinsames zweireihiges Badfeld	253	78	21	253	YES
G455-K046	f82r	mehrere getrennte Bad- und Leitungsstationen	278	82	24	278	YES
G455-K047	f83r	Variantenatlas lokaler Becken und Anwendungen	341	126	43	341	YES
G455-K048	f88r	sechzehn Drogenposten und drei Gefäßansätze	134	10	6	134	YES
G455-K049	f88v	erste Gefaess-/Zutatengruppe	39	4	2	39	YES
G455-K050	f88v	zweite Gefaess-/Zutatengruppe	92	16	7	92	YES
G455-K051	f89r	Gefäß-/Pflanzenteilgruppe A	47	6	3	47	YES
G455-K052	f89r	Gefäß-/Pflanzenteilgruppe B	35	6	1	35	YES
G455-K053	f89r	Gefäß-/Pflanzenteilgruppe C	44	2	1	44	YES
G455-K054	f89r	Gefäß-/Pflanzenteilgruppe D	44	6	2	44	YES
G455-K055	f89r	Gefäß-/Pflanzenteilgruppe E	62	6	4	62	YES
G455-K056	f89r	Gefäß-/Pflanzenteilgruppe F	106	10	3	106	YES
G455-K057	f95v	F95V_WHOLE_PLANT	178	46	20	178	YES
