burst_id	statement_id	first_event_id	second_event_id	second_stream_ordinal	neutral_stop_score	pair_index_within_statement	state_bank_id	first_decision	second_decision	burst_class	first_stop_safe	second_stop_safe	first_same_bank_unmutated_recovery_event	unmutated_card_distance	recovery_before_next_fault	post_bank_boundary_event_id	post_bank_boundary_id	post_bank_boundary_is_distinct
G455-B0001	G404-S001	G407-E0019	G407-E0020	20	2	19	f1r::F1R_TEXT_BLOCK_A	STOP	STOP	FIRST_STOP__SECOND_STOP	YES	YES	G407-E0022	2	STATE_PARITY_BEFORE_NEXT_FAULT	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE
G455-B0002	G404-S002	G407-E0048	G407-E0049	49	1	2	f1r::F1R_TEXT_BLOCK_B	READ	STOP	FIRST_READABLE__SECOND_STOP	YES	YES	G407-E0051	2	STATE_PARITY_BEFORE_NEXT_FAULT	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE
G455-B0003	G404-S003	G407-E0057	G407-E0058	58	1	1	f1r::F1R_TEXT_BLOCK_B	STOP	READ	FIRST_STOP__SECOND_READABLE	YES	YES	G407-E0059	1	STATE_PARITY_BEFORE_NEXT_FAULT	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE
G455-B0004	G404-S005	G407-E0077	G407-E0078	78	2	6	f1r::F1R_TEXT_BLOCK_C	STOP	STOP	FIRST_STOP__SECOND_STOP	YES	YES	G407-E0081	3	STATE_PARITY_BEFORE_NEXT_FAULT	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE
G455-B0005	G404-S006	G407-E0160	G407-E0161	161	1	1	f1r::F1R_TEXT_BLOCK_D	STOP	READ	FIRST_STOP__SECOND_READABLE	YES	YES	G407-E0162	1	STATE_PARITY_BEFORE_NEXT_FAULT	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE
G455-B0006	G404-S007	G407-E0201	G407-E0202	202	1	1	f1r::F1R_TEXT_BLOCK_D	READ	STOP	FIRST_READABLE__SECOND_STOP	YES	YES	G407-E0203	1	STATE_PARITY_BEFORE_NEXT_FAULT	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE
G455-B0007	P1009-S001	G407-E0219	G407-E0220	220	2	5	f10r::zweiknolliges blauköpfiges Heilkraut	STOP	STOP	FIRST_STOP__SECOND_STOP	YES	YES	G407-E0221	1	STATE_PARITY_BEFORE_NEXT_FAULT	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE
G455-B0008	P1009-S002	G407-E0261	G407-E0262	262	2	8	f10r::zweiknolliges blauköpfiges Heilkraut	STOP	STOP	FIRST_STOP__SECOND_STOP	YES	YES	G407-E0265	3	STATE_PARITY_BEFORE_NEXT_FAULT	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE
G455-B0009	P1009-S003	G407-E0307	G407-E0308	308	1	1	f11r::blühender dreikroniger Sodenstock	STOP	READ	FIRST_STOP__SECOND_READABLE	YES	YES	G407-E0309	1	STATE_PARITY_BEFORE_NEXT_FAULT	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE
G455-B0010	P1009-S004	G407-E0314	G407-E0315	315	1	1	f11r::blühender dreikroniger Sodenstock	READ	STOP	FIRST_READABLE__SECOND_STOP	YES	YES	G407-E0316	1	STATE_PARITY_BEFORE_NEXT_FAULT	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE
G455-B0011	P1009-S005	G407-E0371	G407-E0372	372	1	6	f13r::große Wurzelkrone mit Blatt und Blütenstand	READ	STOP	FIRST_READABLE__SECOND_STOP	YES	YES	G407-E0373	1	STATE_PARITY_BEFORE_NEXT_FAULT	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE
G455-B0012	P1009-S006	G407-E0408	G407-E0409	409	1	1	f13r::große Wurzelkrone mit Blatt und Blütenstand	STOP	READ	FIRST_STOP__SECOND_READABLE	YES	YES	G407-E0410	1	STATE_PARITY_BEFORE_NEXT_FAULT	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE
G455-B0013	P1009-S007	G407-E0424	G407-E0425	425	1	1	f13r::große Wurzelkrone mit Blatt und Blütenstand	STOP	READ	FIRST_STOP__SECOND_READABLE	YES	YES	G407-E0427	2	STATE_PARITY_BEFORE_NEXT_FAULT	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE
G455-B0014	P1009-S008	G407-E0438	G407-E0439	439	2	5	f13r::große Wurzelkrone mit Blatt und Blütenstand	STOP	READ	FIRST_STOP__SECOND_READABLE	YES	YES	G407-E0440	0	NEXT_FAULT_BEFORE_PARITY	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE
G455-B0015	P1009-S009	G407-E0440	G407-E0441	441	0	1	f13r::große Wurzelkrone mit Blatt und Blütenstand	READ	READ	FIRST_READABLE__SECOND_READABLE	YES	YES	G407-E0442	1	STATE_PARITY_BEFORE_NEXT_FAULT	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE
G455-B0016	P1009-S011	G407-E0446	G407-E0447	447	1	3	f17r::abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	READ	READ	FIRST_READABLE__SECOND_READABLE	YES	YES	G407-E0448	1	STATE_PARITY_BEFORE_NEXT_FAULT	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE
G455-B0017	P1009-S012	G407-E0450	G407-E0451	451	1	3	f17r::abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	READ	READ	FIRST_READABLE__SECOND_READABLE	YES	YES	G407-E0452	0	NEXT_FAULT_BEFORE_PARITY	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE
G455-B0018	P1009-S013	G407-E0452	G407-E0453	453	1	1	f17r::abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	STOP	READ	FIRST_STOP__SECOND_READABLE	YES	YES	G407-E0454	1	STATE_PARITY_BEFORE_NEXT_FAULT	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE
G455-B0019	P1009-S014	G407-E0468	G407-E0469	469	2	11	f17r::abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	STOP	STOP	FIRST_STOP__SECOND_STOP	YES	YES	G407-E0470	1	STATE_PARITY_BEFORE_NEXT_FAULT	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE
G455-B0020	P1009-S015	G407-E0485	G407-E0486	486	2	2	f17r::abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	STOP	READ	FIRST_STOP__SECOND_READABLE	YES	YES	G407-E0487	0	NEXT_FAULT_BEFORE_PARITY	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE
G455-B0021	P1009-S016	G407-E0487	G407-E0488	488	1	1	f17r::abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	STOP	READ	FIRST_STOP__SECOND_READABLE	YES	YES	G407-E0493	5	STATE_PARITY_BEFORE_NEXT_FAULT	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE
G455-B0022	P1009-S017	G407-E0502	G407-E0503	503	1	5	f17r::abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	READ	STOP	FIRST_READABLE__SECOND_STOP	YES	YES	G407-E0504	1	STATE_PARITY_BEFORE_NEXT_FAULT	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE
G455-B0023	P1009-S019	G407-E0527	G407-E0528	528	2	6	f18r::große abgebildete Blütenpflanze	STOP	STOP	FIRST_STOP__SECOND_STOP	YES	YES	G407-E0532	4	STATE_PARITY_BEFORE_NEXT_FAULT	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE
G455-B0024	P1009-S020	G407-E0553	G407-E0554	554	2	3	f18r::große abgebildete Blütenpflanze	STOP	STOP	FIRST_STOP__SECOND_STOP	YES	YES	G407-E0558	4	STATE_PARITY_BEFORE_NEXT_FAULT	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE
G455-B0025	P1009-S021	G407-E0571	G407-E0572	572	2	2	f18r::große abgebildete Blütenpflanze	STOP	STOP	FIRST_STOP__SECOND_STOP	YES	YES	G407-E0575	3	STATE_PARITY_BEFORE_NEXT_FAULT	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE
