burst_id	burst_position	event_id	stream_ordinal	statement_id	physical_page	owner_de	source_recipe	replacement_recipe	neighbor_id	mutation_family	neutral_selection_class	schedule_rule
G455-B0001	1	G407-E0019	19	G404-S001	f1r	F1R_TEXT_BLOCK_A	CH+T+AR	CH+CHD+AR	G447-N06749	SAME_CLASS_SUBSTITUTION	NEUTRAL_STOP	ONE_MAXIMUM_NEUTRAL_STOP_PAIR_PER_MULTI_CARD_STATEMENT__EARLIEST_TIE
G455-B0001	2	G407-E0020	20	G404-S001	f1r	F1R_TEXT_BLOCK_A	CH+T+AR	CH+CHD+AR	G447-N06749	SAME_CLASS_SUBSTITUTION	NEUTRAL_STOP	ONE_MAXIMUM_NEUTRAL_STOP_PAIR_PER_MULTI_CARD_STATEMENT__EARLIEST_TIE
G455-B0002	1	G407-E0048	48	G404-S002	f1r	F1R_TEXT_BLOCK_B	SH+OL	OL	G447-N26813	ATOM_DELETION	NEUTRAL_READABLE	ONE_MAXIMUM_NEUTRAL_STOP_PAIR_PER_MULTI_CARD_STATEMENT__EARLIEST_TIE
G455-B0002	2	G407-E0049	49	G404-S002	f1r	F1R_TEXT_BLOCK_B	CH+P+O+Y	CH+CHD+O+Y	G447-N06446	SAME_CLASS_SUBSTITUTION	NEUTRAL_STOP	ONE_MAXIMUM_NEUTRAL_STOP_PAIR_PER_MULTI_CARD_STATEMENT__EARLIEST_TIE
G455-B0003	1	G407-E0057	57	G404-S003	f1r	F1R_TEXT_BLOCK_B	OK+CH+O+Y	CHD+CH+O+Y	G447-N15662	SAME_CLASS_SUBSTITUTION	NEUTRAL_STOP	ONE_MAXIMUM_NEUTRAL_STOP_PAIR_PER_MULTI_CARD_STATEMENT__EARLIEST_TIE
G455-B0003	2	G407-E0058	58	G404-S003	f1r	F1R_TEXT_BLOCK_B	OT+CH+OL	CH+OL	G447-N19005	ATOM_DELETION	NEUTRAL_READABLE	ONE_MAXIMUM_NEUTRAL_STOP_PAIR_PER_MULTI_CARD_STATEMENT__EARLIEST_TIE
G455-B0004	1	G407-E0077	77	G404-S005	f1r	F1R_TEXT_BLOCK_C	SH+O+SH+Y	SH+SH+Y	G447-N26511	ATOM_DELETION	NEUTRAL_STOP	ONE_MAXIMUM_NEUTRAL_STOP_PAIR_PER_MULTI_CARD_STATEMENT__EARLIEST_TIE
G455-B0004	2	G407-E0078	78	G404-S005	f1r	F1R_TEXT_BLOCK_C	CH+P+O+D_ADDR+AL	CH+CHD+O+D_ADDR+AL	G447-N06420	SAME_CLASS_SUBSTITUTION	NEUTRAL_STOP	ONE_MAXIMUM_NEUTRAL_STOP_PAIR_PER_MULTI_CARD_STATEMENT__EARLIEST_TIE
G455-B0005	1	G407-E0160	160	G404-S006	f1r	F1R_TEXT_BLOCK_D	CH+P+O	CH+CHD+O	G447-N06352	SAME_CLASS_SUBSTITUTION	NEUTRAL_STOP	ONE_MAXIMUM_NEUTRAL_STOP_PAIR_PER_MULTI_CARD_STATEMENT__EARLIEST_TIE
G455-B0005	2	G407-E0161	161	G404-S006	f1r	F1R_TEXT_BLOCK_D	SH+AIIN	AIIN	G447-N23668	ATOM_DELETION	NEUTRAL_READABLE	ONE_MAXIMUM_NEUTRAL_STOP_PAIR_PER_MULTI_CARD_STATEMENT__EARLIEST_TIE
G455-B0006	1	G407-E0201	201	G404-S007	f1r	F1R_TEXT_BLOCK_D	K+O+SH+E+Y	K+O+E+Y	G447-N10780	ATOM_DELETION	NEUTRAL_READABLE	ONE_MAXIMUM_NEUTRAL_STOP_PAIR_PER_MULTI_CARD_STATEMENT__EARLIEST_TIE
G455-B0006	2	G407-E0202	202	G404-S007	f1r	F1R_TEXT_BLOCK_D	CH+T+Y	CH+CHD+Y	G447-N07359	SAME_CLASS_SUBSTITUTION	NEUTRAL_STOP	ONE_MAXIMUM_NEUTRAL_STOP_PAIR_PER_MULTI_CARD_STATEMENT__EARLIEST_TIE
G455-B0007	1	G407-E0219	219	P1009-S001	f10r	zweiknolliges blauköpfiges Heilkraut	P+CH+O+D_ADDR+OL	CHD+CH+O+D_ADDR+OL	G447-N20118	SAME_CLASS_SUBSTITUTION	NEUTRAL_STOP	ONE_MAXIMUM_NEUTRAL_STOP_PAIR_PER_MULTI_CARD_STATEMENT__EARLIEST_TIE
G455-B0007	2	G407-E0220	220	P1009-S001	f10r	zweiknolliges blauköpfiges Heilkraut	CH+O+P+CH+AL	CH+O+CHD+CH+AL	G447-N05312	SAME_CLASS_SUBSTITUTION	NEUTRAL_STOP	ONE_MAXIMUM_NEUTRAL_STOP_PAIR_PER_MULTI_CARD_STATEMENT__EARLIEST_TIE
G455-B0008	1	G407-E0261	261	P1009-S002	f10r	zweiknolliges blauköpfiges Heilkraut	CH+T+AIIN	CH+CHD+AIIN	G447-N06653	SAME_CLASS_SUBSTITUTION	NEUTRAL_STOP	ONE_MAXIMUM_NEUTRAL_STOP_PAIR_PER_MULTI_CARD_STATEMENT__EARLIEST_TIE
G455-B0008	2	G407-E0262	262	P1009-S002	f10r	zweiknolliges blauköpfiges Heilkraut	CARRIER_Q+O+CH+T+OL+Y	CARRIER_Q+O+CH+CHD+OL+Y	G447-N01460	SAME_CLASS_SUBSTITUTION	NEUTRAL_STOP	ONE_MAXIMUM_NEUTRAL_STOP_PAIR_PER_MULTI_CARD_STATEMENT__EARLIEST_TIE
G455-B0009	1	G407-E0307	307	P1009-S003	f11r	blühender dreikroniger Sodenstock	T+SH+OL	CH+SH+OL	G447-N28113	SAME_CLASS_SUBSTITUTION	NEUTRAL_STOP	ONE_MAXIMUM_NEUTRAL_STOP_PAIR_PER_MULTI_CARD_STATEMENT__EARLIEST_TIE
G455-B0009	2	G407-E0308	308	P1009-S003	f11r	blühender dreikroniger Sodenstock	SH+O+AL	O+AL	G447-N26236	ATOM_DELETION	NEUTRAL_READABLE	ONE_MAXIMUM_NEUTRAL_STOP_PAIR_PER_MULTI_CARD_STATEMENT__EARLIEST_TIE
