edition	locus	at	word	left	left_kind	right	right_kind	after_operation	motivating_locus	same_line_materials	same_line_values
ZL3b	f105r.30	ZL3b|f105r.30|G006	teey	y	UNKNOWN	tair	UNKNOWN	False	False		
ZL3b	f111r.13	ZL3b|f111r.13|G013	teey	chey	UNKNOWN	cheodaiin	UNKNOWN	False	False		dain
ZL3b	f111r.18	ZL3b|f111r.18|G007	teey	chey	UNKNOWN	qokeedy	UNKNOWN	False	False		daiin
ZL3b	f111r.21	ZL3b|f111r.21|G004	teey	ain	UNKNOWN	oteey	UNKNOWN	False	False		daiin dain
ZL3b	f29r.5	ZL3b|f29r.5|G005	teey	sheey	ACTION	d[a:y]	UNKNOWN	True	False		
ZL3b	f49r.5	ZL3b|f49r.5|G004	teey	chey	UNKNOWN	qotan	UNKNOWN	False	False	chor	
ZL3b	f79r.4	ZL3b|f79r.4|G001	teey		UNKNOWN	dar	UNKNOWN	False	False		
ZL3b	f79v.15	ZL3b|f79v.15|G007	teey	dy	UNKNOWN	qokain	UNKNOWN	False	False		
ZL3b	f79v.18	ZL3b|f79v.18|G004	teey	qokeey	UNKNOWN	oteey	UNKNOWN	False	False		
ZL3b	f79v.33	ZL3b|f79v.33|G005	teey	yteey	UNKNOWN	okar	UNKNOWN	False	False		
ZL3b	f85r2.8	ZL3b|f85r2.8|G002	chotey	otchedy	UNKNOWN	qocthey	UNKNOWN	False	False		
ZL3b	f93r.24	ZL3b|f93r.24|G002	chotey	ychocthy	MIX	teey	UNKNOWN	True	True		
ZL3b	f93r.24	ZL3b|f93r.24|G003	teey	chotey	UNKNOWN	s	CONNECTOR	False	True		
IT2a	f111r.13	IT2a|f111r.13|G013	teey	chey	UNKNOWN	cheo	UNKNOWN	False	False		dain daiin
IT2a	f111r.18	IT2a|f111r.18|G007	teey	chey	UNKNOWN	qokeedy	UNKNOWN	False	False		daiin
IT2a	f111r.21	IT2a|f111r.21|G004	teey	ain	UNKNOWN	oteey	UNKNOWN	False	False		daiin dain
IT2a	f111r.9	IT2a|f111r.9|G010	teey	chedy	UNKNOWN	dal	UNKNOWN	False	False		
IT2a	f29r.5	IT2a|f29r.5|G005	teey	sheey	ACTION	do	UNKNOWN	True	False		
IT2a	f49r.5	IT2a|f49r.5|G004	teey	chey	UNKNOWN	qotan	UNKNOWN	False	False	chor	
IT2a	f79r.4	IT2a|f79r.4|G001	teey		UNKNOWN	dar	UNKNOWN	False	False		
IT2a	f79v.15	IT2a|f79v.15|G007	teey	dy	UNKNOWN	qokain	UNKNOWN	False	False		
IT2a	f79v.18	IT2a|f79v.18|G004	teey	qokeey	UNKNOWN	oteey	UNKNOWN	False	False		
IT2a	f79v.33	IT2a|f79v.33|G005	teey	yteey	UNKNOWN	otar	UNKNOWN	False	False		
IT2a	f85r2.8	IT2a|f85r2.8|G002	chotey	otchedy	UNKNOWN	qocthey	UNKNOWN	False	False		
IT2a	f93r.24	IT2a|f93r.24|G002	chotey	ychocthy	MIX	teeys	UNKNOWN	True	True		
IT2a	f93r.24	IT2a|f93r.24|G003	teeys	chotey	UNKNOWN		UNKNOWN	False	True		
RF1b	f105r.30	RF1b|f105r.30|G008	teey	y	UNKNOWN	tair	UNKNOWN	False	False		
RF1b	f111r.13	RF1b|f111r.13|G013	teey	chey	UNKNOWN	cheodaiin	UNKNOWN	False	False		dain
RF1b	f111r.18	RF1b|f111r.18|G007	teey	chey	UNKNOWN	qokeedy	UNKNOWN	False	False		
RF1b	f111r.21	RF1b|f111r.21|G004	teey	ain	UNKNOWN	oteey	UNKNOWN	False	False		daiin
RF1b	f111r.44	RF1b|f111r.44|G008	teey	shal	UNKNOWN	lteeal	UNKNOWN	False	False		
RF1b	f111r.9	RF1b|f111r.9|G011	teey	chedy	UNKNOWN	dal	UNKNOWN	False	False		
RF1b	f29r.5	RF1b|f29r.5|G005	teey	sheey	ACTION	@152;@221;e	UNKNOWN	True	False		
RF1b	f49r.5	RF1b|f49r.5|G004	teey	chey	UNKNOWN	qotan	UNKNOWN	False	False	chor	
RF1b	f79r.4	RF1b|f79r.4|G001	teey		UNKNOWN	dar	UNKNOWN	False	False		
RF1b	f79v.15	RF1b|f79v.15|G007	teey	dy	UNKNOWN	qokain	UNKNOWN	False	False		
RF1b	f79v.18	RF1b|f79v.18|G004	teey	qokeey	UNKNOWN	oteey	UNKNOWN	False	False		
RF1b	f79v.33	RF1b|f79v.33|G005	teey	yteey	UNKNOWN	okar	UNKNOWN	False	False		
RF1b	f85r2.8	RF1b|f85r2.8|G002	chotey	otche@152;y	UNKNOWN	qocthey	UNKNOWN	False	False		
RF1b	f93r.24	RF1b|f93r.24|G002	chotey	ychocthy	MIX	teeys	UNKNOWN	True	True		
RF1b	f93r.24	RF1b|f93r.24|G003	teeys	chotey	UNKNOWN		UNKNOWN	False	True		
ZL3b	f112r.45	ZL3b|f112r.45|G005	teey	keeey	UNKNOWN	shkar	UNKNOWN	False	False		
ZL3b	f114v.30	ZL3b|f114v.30|G010	teey	oteeo	UNKNOWN	rain	UNKNOWN	False	False	qoteey	
ZL3b	f116r.43	ZL3b|f116r.43|G005	teey	shear	UNKNOWN	chcphy	UNKNOWN	False	False		
ZL3b	f20r.4	ZL3b|f20r.4|G003	teey	ol	ADDITIVE	ot[o:a]lchey	UNKNOWN	False	False		
ZL3b	f38v.4	ZL3b|f38v.4|G005	chotey	qokeey	UNKNOWN	tody	UNKNOWN	False	False		
ZL3b	f76v.36	ZL3b|f76v.36|G003	teey	cheol	UNKNOWN	lshety	UNKNOWN	False	False		daiin
IT2a	f112r.17	IT2a|f112r.17|G010	teey	qokey	UNKNOWN	am	UNKNOWN	False	False		
IT2a	f112r.45	IT2a|f112r.45|G004	teey	okeeey	UNKNOWN	shkar	UNKNOWN	False	False		
IT2a	f114v.30	IT2a|f114v.30|G009	teey	oteeo	UNKNOWN	rain	UNKNOWN	False	False	qoteey	
IT2a	f116r.43	IT2a|f116r.43|G006	teey	shear	UNKNOWN	chcphy	UNKNOWN	False	False		
IT2a	f20r.4	IT2a|f20r.4|G003	teey	ol	ADDITIVE	otolchey	UNKNOWN	False	False		
IT2a	f38v.4	IT2a|f38v.4|G004	chotey	qokeey	UNKNOWN	tody	UNKNOWN	False	False		daiin
IT2a	f76v.36	IT2a|f76v.36|G003	teey	cheol	UNKNOWN	lshety	UNKNOWN	False	False		daiin
RF1b	f112r.17	RF1b|f112r.17|G010	teey	qokey	UNKNOWN	am	UNKNOWN	False	False		
