boundary_ordinal	boundary_type	structure_id	physical_page	source_selector	endpoint_occurrence_id	locus	line_number	token_index	token_count	surface	physical_line_final	paired_target	paired_stem	terminal	coincident_record_panel_endpoint	capacity_class	semantic_export_credit
1	PANEL	F77_LOWER_VESSEL	f77r	f77r	G407-E2713	f77r.48	48	2	2	oloky	1	0	NA	NA	1	NO_PAIRED_TARGET	ZERO__CAPACITY_ONLY
2	PANEL	F77_MIDDLE_BODY	f77r	f77r	G407-E2626	f77r.37	37	7	7	lchedy	1	0	NA	NA	1	NO_PAIRED_TARGET	ZERO__CAPACITY_ONLY
3	PANEL	F77_TOP_ARCH	f77r	f77r	G407-E2534	f77r.24	24	7	7	qolchy	1	0	NA	NA	1	NO_PAIRED_TARGET	ZERO__CAPACITY_ONLY
4	RECORD	F77_P1	f77r	f77r	G407-E2534	f77r.24	24	7	7	qolchy	1	0	NA	NA	1	NO_PAIRED_TARGET	ZERO__CAPACITY_ONLY
5	RECORD	F77_P2	f77r	f77r	G407-E2626	f77r.37	37	7	7	lchedy	1	0	NA	NA	1	NO_PAIRED_TARGET	ZERO__CAPACITY_ONLY
6	RECORD	F77_P3	f77r	f77r	G407-E2713	f77r.48	48	2	2	oloky	1	0	NA	NA	1	NO_PAIRED_TARGET	ZERO__CAPACITY_ONLY
7	PANEL	F82_BOTTOM_COMMUNAL	f82r	f82r	G407-E3454	f82r.33	33	6	6	chey	1	0	NA	NA	1	NO_PAIRED_TARGET	ZERO__CAPACITY_ONLY
8	PANEL	F82_MIDDLE_TRANSFER	f82r	f82r	G407-E3328	f82r.19	19	5	5	lchy	1	0	NA	NA	1	NO_PAIRED_TARGET	ZERO__CAPACITY_ONLY
9	PANEL	F82_TOP_COUPLED	f82r	f82r	G407-E3248	f82r.9	9	6	6	qokaiin	1	0	NA	NA	1	NO_PAIRED_TARGET	ZERO__CAPACITY_ONLY
10	RECORD	F82_P1	f82r	f82r	G407-E3248	f82r.9	9	6	6	qokaiin	1	0	NA	NA	1	NO_PAIRED_TARGET	ZERO__CAPACITY_ONLY
11	RECORD	F82_P2	f82r	f82r	G407-E3328	f82r.19	19	5	5	lchy	1	0	NA	NA	1	NO_PAIRED_TARGET	ZERO__CAPACITY_ONLY
12	RECORD	F82_P3	f82r	f82r	G407-E3454	f82r.33	33	6	6	chey	1	0	NA	NA	1	NO_PAIRED_TARGET	ZERO__CAPACITY_ONLY
13	PANEL	F83_LOWER_COUPLED	f83r	f83r	G407-E3795	f83r.55	55	3	3	cthal	1	1	ctha	l	1	PAIRED_TARGET	ZERO__CAPACITY_ONLY
14	PANEL	F83_LOWER_DRIP	f83r	f83r	G407-E3673	f83r.24	24	6	6	shedy	1	0	NA	NA	1	NO_PAIRED_TARGET	ZERO__CAPACITY_ONLY
15	PANEL	F83_MIDDLE_LOOP	f83r	f83r	G407-E3610	f83r.17	17	6	6	schety	1	0	NA	NA	1	NO_PAIRED_TARGET	ZERO__CAPACITY_ONLY
16	PANEL	F83_UPPER_SPRAY	f83r	f83r	G407-E3526	f83r.8	8	6	6	chary	1	0	NA	NA	1	NO_PAIRED_TARGET	ZERO__CAPACITY_ONLY
17	RECORD	F83_P1	f83r	f83r	G407-E3526	f83r.8	8	6	6	chary	1	0	NA	NA	1	NO_PAIRED_TARGET	ZERO__CAPACITY_ONLY
18	RECORD	F83_P2	f83r	f83r	G407-E3610	f83r.17	17	6	6	schety	1	0	NA	NA	1	NO_PAIRED_TARGET	ZERO__CAPACITY_ONLY
19	RECORD	F83_P3	f83r	f83r	G407-E3673	f83r.24	24	6	6	shedy	1	0	NA	NA	1	NO_PAIRED_TARGET	ZERO__CAPACITY_ONLY
20	RECORD	F83_P4	f83r	f83r	G407-E3706	f83r.30	30	5	5	saii	1	0	NA	NA	0	NO_PAIRED_TARGET	ZERO__CAPACITY_ONLY
21	RECORD	F83_P5	f83r	f83r	G407-E3768	f83r.44	44	2	2	shedy	1	0	NA	NA	0	NO_PAIRED_TARGET	ZERO__CAPACITY_ONLY
22	RECORD	F83_Q1	f83r	f83r	G407-E3779	f83r.49	49	3	3	chedy	1	0	NA	NA	0	NO_PAIRED_TARGET	ZERO__CAPACITY_ONLY
23	RECORD	F83_Q2	f83r	f83r	G407-E3795	f83r.55	55	3	3	cthal	1	1	ctha	l	1	PAIRED_TARGET	ZERO__CAPACITY_ONLY
