join_ordinal	gdt800_occurrence_id	gdt791_occurrence_ordinal	gdt791_occurrence_id	source_selector	physical_page	locus	token_index	token_count	surface	stem	terminal	section	language	hand	distance_from_end	position_class	any_line_final	multi_line_final	single_token_line	occurrence_kind	line_kind	paragraph_start	paragraph_end_line	paragraph_role	paragraph_close	legacy_statement_id	statement_close	record_id	record_close	panel_id	panel_close	topology_family	register	context_scope	structurally_internal	semantic_export_credit
1	GDT800-O0765	286	G407-E0222	f10r	f10r	f10r.1	8	8	kom	ko	m	H	A	1	0	FINAL	1	1	0	RUNNING_EVENT	RUNNING_PROSE	1	0	START	0	G407-S008	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	0	ZERO__STRUCTURAL_BOUNDARY_ONLY
2	GDT800-O0766	303	G407-E0239	f10r	f10r	f10r.3	7	11	chol	cho	l	H	A	1	4	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S008	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
3	GDT800-O0767	320	G407-E0256	f10r	f10r	f10r.5	3	4	chol	cho	l	H	A	1	1	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	1	END	0	G407-S009	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	0	ZERO__STRUCTURAL_BOUNDARY_ONLY
4	GDT800-O0768	340	G407-E0276	f10r	f10r	f10r.7	10	10	am	a	m	H	A	1	0	FINAL	1	1	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S009	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
5	GDT800-O0769	344	G407-E0280	f10r	f10r	f10r.8	4	8	chol	cho	l	H	A	1	4	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S009	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
6	GDT800-O0770	346	G407-E0282	f10r	f10r	f10r.8	6	8	chol	cho	l	H	A	1	2	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S009	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
7	GDT800-O1328	386	G407-E0322	f11r	f11r	f11r.2	8	9	kchol	kcho	l	H	A	1	1	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S011	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
8	GDT800-O1329	389	G407-E0325	f11r	f11r	f11r.3	2	10	chol	cho	l	H	A	1	8	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S011	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
9	GDT800-O1330	398	G407-E0334	f11r	f11r	f11r.4	1	5	dchol	dcho	l	H	A	1	4	FIRST	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	1	END	0	G407-S011	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	0	ZERO__STRUCTURAL_BOUNDARY_ONLY
10	GDT800-O1331	427	G407-E0363	f11r	f11r	f11r.7	2	4	okchol	okcho	l	H	A	1	2	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	1	END	0	G407-S011	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	0	ZERO__STRUCTURAL_BOUNDARY_ONLY
11	GDT800-O1335	432	G407-E0368	f13r	f13r	f13r.1	3	9	shol	sho	l	H	A	1	6	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	1	0	START	0	G407-S012	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	0	ZERO__STRUCTURAL_BOUNDARY_ONLY
12	GDT800-O1336	435	G407-E0371	f13r	f13r	f13r.1	6	9	shol	sho	l	H	A	1	3	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	1	0	START	0	G407-S012	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	0	ZERO__STRUCTURAL_BOUNDARY_ONLY
13	GDT800-O1337	439	G407-E0375	f13r	f13r	f13r.2	1	11	dchol	dcho	l	H	A	1	10	FIRST	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S012	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
14	GDT800-O1338	440	G407-E0376	f13r	f13r	f13r.2	2	11	chol	cho	l	H	A	1	9	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S012	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
15	GDT800-O1339	441	G407-E0377	f13r	f13r	f13r.2	3	11	dol	do	l	H	A	1	8	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S012	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
16	GDT800-O1340	443	G407-E0379	f13r	f13r	f13r.2	5	11	ydal	yda	l	H	A	1	6	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S012	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
17	GDT800-O1341	467	G407-E0403	f13r	f13r	f13r.5	4	8	kchol	kcho	l	H	A	1	4	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	1	0	START	0	G407-S012	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	0	ZERO__STRUCTURAL_BOUNDARY_ONLY
18	GDT800-O1342	470	G407-E0406	f13r	f13r	f13r.5	7	8	otchol	otcho	l	H	A	1	1	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	1	0	START	0	G407-S012	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	0	ZERO__STRUCTURAL_BOUNDARY_ONLY
19	GDT800-O1343	483	G407-E0419	f13r	f13r	f13r.7	3	9	chol	cho	l	H	A	1	6	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S013	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
20	GDT800-O1344	499	G407-E0435	f13r	f13r	f13r.9	3	7	chol	cho	l	H	A	1	4	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S015	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
21	GDT800-O1399	508	G407-E0444	f17r	f17r	f17r.1	2	10	daram	dara	m	H	A	1	8	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	1	0	START	0	G407-S018	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	0	ZERO__STRUCTURAL_BOUNDARY_ONLY
22	GDT800-O1400	577	G407-E0513	f17r	f17r	f17r.11	1	5	otchol	otcho	l	H	A	1	4	FIRST	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S024	0	NONE	0	NONE	0	WHOLE_PLANT_ARTICLE	HERBAL	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
