projection_ordinal	in_exact_542_join	gdt800_occurrence_id	gdt791_occurrence_ordinal	gdt791_occurrence_id	source_selector	physical_page	locus	token_index	token_count	surface	stem	terminal	distance_from_end	position_class	any_line_final	multi_line_final	single_token_line	occurrence_kind	line_kind	paragraph_start	paragraph_end_line	paragraph_role	paragraph_close	legacy_statement_id	statement_close	record_id	record_close	panel_id	panel_close	topology_family	register	context_scope	structurally_internal	semantic_export_credit
1	0	NONE	2	G407-E0002	f1r	f1r	f1r.1	2	10	ykal	yka	l	8	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	1	0	START	0	G407-S001	0	NONE	0	NONE	0	TEXT_BLOCK	SOURCE_SECTION_T	DIRECT_PAGE_CONTEXT_ONLY	0	ZERO__STRUCTURAL_BOUNDARY_ONLY
2	0	NONE	5	G407-E0005	f1r	f1r	f1r.1	5	10	shol	sho	l	5	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	1	0	START	0	G407-S001	0	NONE	0	NONE	0	TEXT_BLOCK	SOURCE_SECTION_T	DIRECT_PAGE_CONTEXT_ONLY	0	ZERO__STRUCTURAL_BOUNDARY_ONLY
3	0	NONE	48	G407-E0048	f1r	f1r	f1r.7	2	8	shol	sho	l	6	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	1	0	START	0	G407-S002	0	NONE	0	NONE	0	TEXT_BLOCK	SOURCE_SECTION_T	DIRECT_PAGE_CONTEXT_ONLY	0	ZERO__STRUCTURAL_BOUNDARY_ONLY
4	0	NONE	58	G407-E0058	f1r	f1r	f1r.8	4	10	otchol	otcho	l	6	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S003	0	NONE	0	NONE	0	TEXT_BLOCK	SOURCE_SECTION_T	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
5	0	NONE	83	G407-E0083	f1r	f1r	f1r.12	4	8	oteol	oteo	l	4	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S005	0	NONE	0	NONE	0	TEXT_BLOCK	SOURCE_SECTION_T	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
6	0	NONE	99	G407-E0099	f1r	f1r	f1r.14	3	10	chol	cho	l	7	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S005	0	NONE	0	NONE	0	TEXT_BLOCK	SOURCE_SECTION_T	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
7	0	NONE	113	G407-E0113	f1r	f1r	f1r.15	7	11	kol	ko	l	4	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S005	0	NONE	0	NONE	0	TEXT_BLOCK	SOURCE_SECTION_T	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
8	0	NONE	114	G407-E0114	f1r	f1r	f1r.15	8	11	chol	cho	l	3	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S005	0	NONE	0	NONE	0	TEXT_BLOCK	SOURCE_SECTION_T	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
9	0	NONE	115	G407-E0115	f1r	f1r	f1r.15	9	11	chol	cho	l	2	INTERNAL	0	0	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S005	0	NONE	0	NONE	0	TEXT_BLOCK	SOURCE_SECTION_T	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
10	0	NONE	117	G407-E0117	f1r	f1r	f1r.15	11	11	chal	cha	l	0	FINAL	1	1	0	RUNNING_EVENT	RUNNING_PROSE	0	0	MIDDLE	0	G407-S005	0	NONE	0	NONE	0	TEXT_BLOCK	SOURCE_SECTION_T	DIRECT_PAGE_CONTEXT_ONLY	1	ZERO__STRUCTURAL_BOUNDARY_ONLY
