deep_ordinal	gdt800_occurrence_id	gdt791_occurrence_id	physical_page	source_selector	locus	surface	stem	terminal	record_id	panel_id	record_line_rank	record_line_count	record_line_progress	record_lines_after	record_events_after	panel_line_rank	panel_line_count	panel_line_progress	panel_lines_after	panel_events_after	record_close	panel_close	semantic_export_credit
1	GDT800-O2830	G407-E2411	f77r	f77r	f77r.10	sal	sa	l	F77_P1	F77_TOP_ARCH	2	16	0.0666666666667	14	123	2	16	0.0666666666667	14	123	0	0	ZERO__PROGRESS_DIAGNOSTIC
2	GDT800-O2832	G407-E2420	f77r	f77r	f77r.11	cham	cha	m	F77_P1	F77_TOP_ARCH	3	16	0.133333333333	13	114	3	16	0.133333333333	13	114	0	0	ZERO__PROGRESS_DIAGNOSTIC
3	GDT800-O2835	G407-E2456	f77r	f77r	f77r.15	lol	lo	l	F77_P1	F77_TOP_ARCH	7	16	0.4	9	78	7	16	0.4	9	78	0	0	ZERO__PROGRESS_DIAGNOSTIC
4	GDT800-O2836	G407-E2464	f77r	f77r	f77r.16	lol	lo	l	F77_P1	F77_TOP_ARCH	8	16	0.466666666667	8	70	8	16	0.466666666667	8	70	0	0	ZERO__PROGRESS_DIAGNOSTIC
5	GDT800-O2837	G407-E2473	f77r	f77r	f77r.17	lol	lo	l	F77_P1	F77_TOP_ARCH	9	16	0.533333333333	7	61	9	16	0.533333333333	7	61	0	0	ZERO__PROGRESS_DIAGNOSTIC
6	GDT800-O2840	G407-E2527	f77r	f77r	f77r.23	qokal	qoka	l	F77_P1	F77_TOP_ARCH	15	16	0.933333333333	1	7	15	16	0.933333333333	1	7	0	0	ZERO__PROGRESS_DIAGNOSTIC
7	GDT800-O2844	G407-E2560	f77r	f77r	f77r.28	lom	lo	m	F77_P2	F77_MIDDLE_BODY	4	13	0.25	9	66	4	13	0.25	9	66	0	0	ZERO__PROGRESS_DIAGNOSTIC
8	GDT800-O2845	G407-E2565	f77r	f77r	f77r.29	qotal	qota	l	F77_P2	F77_MIDDLE_BODY	5	13	0.333333333333	8	61	5	13	0.333333333333	8	61	0	0	ZERO__PROGRESS_DIAGNOSTIC
9	GDT800-O2846	G407-E2572	f77r	f77r	f77r.30	lol	lo	l	F77_P2	F77_MIDDLE_BODY	6	13	0.416666666667	7	54	6	13	0.416666666667	7	54	0	0	ZERO__PROGRESS_DIAGNOSTIC
10	GDT800-O2853	G407-E2660	f77r	f77r	f77r.41	arol	aro	l	F77_P3	F77_LOWER_VESSEL	4	11	0.3	7	53	4	11	0.3	7	53	0	0	ZERO__PROGRESS_DIAGNOSTIC
