page	physical_folio	quire	visual_state	exact_source_phrase	provenance	annotation_source	postexposure_status	group_count	locus_count	mean_symbols_per_group	label_group_rate	alternative_group_rate	pages_on_physical_folio	currier	hand
f2r	f2	q01	FLOWER_SIDE	α: flower(s) seen from the side	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q01/index.html#f2r	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST	82	11	3.463414634146	0.000000000000	0.000000000000	2	A	1
f2v	f2	q01	FLOWER_SIDE	α: flower(s) seen from the side	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q01/index.html#f2v	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST	51	7	3.627450980392	0.000000000000	0.000000000000	2	A	1
f3r	f3	q01	NO_FRUIT_OR_FLOWER	α: no fruits or flowers	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q01/index.html#f3r	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST	102	18	4.098039215686	0.000000000000	0.000000000000	1	A	1
f4r	f4	q01	BERRY_NO_CIRCLES	α: berries that have no added circles	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q01/index.html#f4r	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST	52	11	3.557692307692	0.000000000000	0.057692307692	2	A	1
f4v	f4	q01	FLOWER_SIDE	α: flower(s) seen from the side	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q01/index.html#f4v	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST	56	10	3.946428571429	0.000000000000	0.107142857143	2	A	1
f7r	f7	q01	NO_FRUIT_OR_FLOWER	α: no fruits or flowers	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q01/index.html#f7r	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST	59	9	3.813559322034	0.000000000000	0.000000000000	1	A	1
f8r	f8	q01	NO_FRUIT_OR_FLOWER	α: no fruits or flowers	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q01/index.html#f8r	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST	81	12	3.765432098765	0.000000000000	0.111111111111	2	A	1
f8v	f8	q01	FLOWER_SIDE	α: flower(s) seen from the side	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q01/index.html#f8v	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST	91	14	3.626373626374	0.000000000000	0.000000000000	2	A	1
f10v	f10	q02	FLOWER_SIDE	α: flower(s) seen from the side	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q02/index.html#f10v	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST	47	6	3.510638297872	0.000000000000	0.000000000000	1	A	1
f11v	f11	q02	FLOWER_SIDE	α: flower(s) seen from the side	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q02/index.html#f11v	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST	32	4	3.281250000000	0.000000000000	0.000000000000	1	A	1
f17r	f17	q03	FLOWER_SIDE	α: flower(s) seen from the side	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q03/index.html#f17r	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST	47	8	3.829787234043	0.000000000000	0.106382978723	2	A	1
f17v	f17	q03	BERRY_NO_CIRCLES	α: berries that have no added circles	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q03/index.html#f17v	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST	112	19	3.741071428571	0.000000000000	0.098214285714	2	A	1
f19r	f19	q03	FLOWER_SIDE	α: flower(s) seen from the side	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q03/index.html#f19r	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST	65	12	3.630769230769	0.000000000000	0.000000000000	1	A	1
