page	physical_folio	quire	visual_state	exact_source_phrase	provenance	annotation_source	postexposure_status
f2r	f2	q01	FLOWER_SIDE	α: flower(s) seen from the side	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q01/index.html#f2r	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST
f2v	f2	q01	FLOWER_SIDE	α: flower(s) seen from the side	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q01/index.html#f2v	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST
f3r	f3	q01	NO_FRUIT_OR_FLOWER	α: no fruits or flowers	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q01/index.html#f3r	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST
f4r	f4	q01	BERRY_NO_CIRCLES	α: berries that have no added circles	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q01/index.html#f4r	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST
f4v	f4	q01	FLOWER_SIDE	α: flower(s) seen from the side	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q01/index.html#f4v	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST
f7r	f7	q01	NO_FRUIT_OR_FLOWER	α: no fruits or flowers	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q01/index.html#f7r	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST
f8r	f8	q01	NO_FRUIT_OR_FLOWER	α: no fruits or flowers	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q01/index.html#f8r	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST
f8v	f8	q01	FLOWER_SIDE	α: flower(s) seen from the side	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q01/index.html#f8v	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST
f10v	f10	q02	FLOWER_SIDE	α: flower(s) seen from the side	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q02/index.html#f10v	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST
f11v	f11	q02	FLOWER_SIDE	α: flower(s) seen from the side	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q02/index.html#f11v	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST
f17r	f17	q03	FLOWER_SIDE	α: flower(s) seen from the side	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q03/index.html#f17r	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST
f17v	f17	q03	BERRY_NO_CIRCLES	α: berries that have no added circles	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q03/index.html#f17v	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST
f19r	f19	q03	FLOWER_SIDE	α: flower(s) seen from the side	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q03/index.html#f19r	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST
f22r	f22	q03	BERRY_NO_CIRCLES	α: berries that have no added circles	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q03/index.html#f22r	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST
f24v	f24	q03	FLOWER_SIDE	α: flower(s) seen from the side	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q03/index.html#f24v	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST
f25v	f25	q04	NO_FRUIT_OR_FLOWER	α: no fruits or flowers	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q04/index.html#f25v	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST
f27r	f27	q04	FLOWER_SIDE	α: flower(s) seen from the side	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q04/index.html#f27r	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST
f29v	f29	q04	FLOWER_SIDE	α: flower(s) seen from the side	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q04/index.html#f29v	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST
f30v	f30	q04	BERRY_NO_CIRCLES	α: berries that have no added circles	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q04/index.html#f30v	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST
f32r	f32	q04	FLOWER_SIDE	α: flower(s) seen from the side	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q04/index.html#f32r	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST
f32v	f32	q04	FLOWER_SIDE	α: flower(s) seen from the side	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q04/index.html#f32v	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST
f35v	f35	q05	BERRY_NO_CIRCLES	α: berries that have no added circles	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q05/index.html#f35v	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST
f37r	f37	q05	BERRY_NO_CIRCLES	α: berries that have no added circles	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q05/index.html#f37r	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST
f38r	f38	q05	FLOWER_SIDE	α: flower(s) seen from the side	EXISTING_HUMAN_ANNOTATION	https://www.voynich.nu/q05/index.html#f38r	PREVIOUS_BINARY_FORMAL_TARGETS_EXIST
