event_serial	statement_id	record_unit_id	page	visible_surface	master_card_id	whole_plant_owner	owner_status	apprentice_layer	portable_or_local_value_de	spoken_token_de	scope_guard	picture_supplies
1	H1-S001	H1	f10r	dchey	MC071	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	LOKALKARTE	Grundteil	Grundteil	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
2	H1-S001	H1	f10r	cthoor	MC158	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	LOKALKARTE	bereitstellen · Bereitung	bereitstellen Bereitung	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
3	H1-S001	H1	f10r	char	MC055	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	LEHRWORT	davon	davon	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
4	H1-S001	H1	f10r	chty	MC086	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	LEHRWORT	Anteil	Anteil	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
5	H1-S001	H1	f10r	os	MC159	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	LOKALKARTE	Aufnahme	Aufnahme	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
6	H1-S001	H1	f10r	chair	MC014	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	LOKALKARTE	Lauf	Lauf	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
7	H1-S001	H1	f10r	otytchol	MC069	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	LOKALKARTE	danach · Teil · weiter	danach Teil weiter	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
8	H1-S001	H1	f10r	oky	MC026	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	LEHRWORT	einsetzen	einsetzen	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
9	H1-S001	H1	f10r	daiin	MC039	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	LEHRWORT	Sollmaß	Sollmaß	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
10	H1-S001	H1	f10r	etyd	MC108	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	LOKALKARTE	kurz · Teil	kurz Teil	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
11	H1-S002	H1	f10r	qokchy	MC103	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	LEHRWORT	weiterbearbeiten	weiterbearbeiten	CROSS_RECORD	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
12	H1-S002	H1	f10r	qotchol	MC163	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	LOKALKARTE	danach · weiter	danach weiter	COPY_LOCAL_WHOLE	WHOLE_PLANT_OWNER_ONLY__NOT_SPECIES_PART_MEDIUM_DISEASE_OR_USE
