statement_id	record_unit_id	page	whole_plant_owner	card_layer_trace	shared_card_count	local_card_count	terse_apprentice_recitation_de	forbidden_automatic_expansion
H1-S001	H1	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	L L G G L L L G G L	4	6	Bei der Bildpflanze »WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB«: Grundteil — bereitstellen Bereitung — davon — Anteil — Aufnahme — Lauf — danach Teil weiter — einsetzen — Sollmaß — kurz Teil.	species|root|leaf|flower|water|wine|oil|disease|body part|dose unit
H1-S002	H1	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	G L G G	3	1	Bei der Bildpflanze »WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB«: weiterbearbeiten — danach weiter — weiter — bereit.	species|root|leaf|flower|water|wine|oil|disease|body part|dose unit
H2-S001	H2	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	L G G L L G G G G	6	3	Bei der Bildpflanze »WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB«: Posten Auszug Bereitung — bereit — Ansatz — bereitstellen Sollmaß — bereitstellen weiter Posten — dies — dies — Sollmaß — dies.	species|root|leaf|flower|water|wine|oil|disease|body part|dose unit
H2-S002	H2	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	G G L G G G G G	7	1	Bei der Bildpflanze »WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB«: Folgeansatz — Ansatz — danach weiter — weiter — derselbe Ansatz — weiter — Sollmaß — davon.	species|root|leaf|flower|water|wine|oil|disease|body part|dose unit
H2-S003	H2	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	L G G G L G L	4	3	Bei der Bildpflanze »WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB«: Posten bearbeiten Bereitung — Ansatz — Ansatz — dies — Arbeitsstufe — dies — Zugabe Sollmaß.	species|root|leaf|flower|water|wine|oil|disease|body part|dose unit
H3-S001	H3	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	L L L L L G L	1	6	Bei der Bildpflanze »WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT«: Zugabe abführen — Zugabe Ziel — auswringen Posten — halten Sollmaß — nachseihen Posten — Klarauszug — Zugabe; Schritt schließen.	species|root|leaf|flower|water|wine|oil|disease|body part|dose unit
H3-S002	H3	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	L	0	1	Bei der Bildpflanze »WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT«: Zugabe Posten Teil.	species|root|leaf|flower|water|wine|oil|disease|body part|dose unit
H3-S003	H3	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	G G L G G	4	1	Bei der Bildpflanze »WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT«: vom vorigen — dies — bearbeiten Posten — dies — Sollmaß.	species|root|leaf|flower|water|wine|oil|disease|body part|dose unit
H3-S004	H3	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	L L G G	2	2	Bei der Bildpflanze »WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT«: danach Posten — einsetzen weiter — bereit — dies.	species|root|leaf|flower|water|wine|oil|disease|body part|dose unit
H4-S001	H4	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	G G L L L	2	3	Bei der Bildpflanze »WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT«: bemessen — Sollmaß — Posten Anteil — Posten Anteil — kühlen.	species|root|leaf|flower|water|wine|oil|disease|body part|dose unit
H4-S002	H4	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	G G L	2	1	Bei der Bildpflanze »WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT«: Sollmaß — überführen — Ziel verwahren.	species|root|leaf|flower|water|wine|oil|disease|body part|dose unit
H4-S003	H4	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	L L G G	2	2	Bei der Bildpflanze »WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT«: Posten Sollmaß — Auszug Quelle — länger bearbeiten — fertig.	species|root|leaf|flower|water|wine|oil|disease|body part|dose unit
H4-S004	H4	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	G G L G G L	4	2	Bei der Bildpflanze »WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT«: Sollmaß — dorthin einsetzen — weiter bereitstellen Posten — Ansatz — dies — Bereitung Anteil.	species|root|leaf|flower|water|wine|oil|disease|body part|dose unit
H5-S001	H5	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	L G L G G L G G G	6	3	Bei der Bildpflanze »WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB«: Zugabe Bereitung — weitere Zutat — Zugabe Ziel Posten — Sollmaß — weitere Zutat — bearbeiten weiter — Folgeansatz — einsetzen — dorthin.	species|root|leaf|flower|water|wine|oil|disease|body part|dose unit
H5-S002	H5	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	G L G L	2	2	Bei der Bildpflanze »WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB«: vom vorigen — Zugabe Posten — einsetzen — Langpassage; Schluss.	species|root|leaf|flower|water|wine|oil|disease|body part|dose unit
H5-S003	H5	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	L G L L	1	3	Bei der Bildpflanze »WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB«: halten — weitere Zutat — bearbeiten kurz Posten — einsetzen einsetzen Posten.	species|root|leaf|flower|water|wine|oil|disease|body part|dose unit
H5-S004	H5	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	G L L	1	2	Bei der Bildpflanze »WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB«: weiterbearbeiten — einsetzen Auszug — bearbeiten Ziel.	species|root|leaf|flower|water|wine|oil|disease|body part|dose unit
