event_id	register	record_unit_id	page	locus	field_id	statement_id	surface	joint_tuple_id	owner_zone	component_parse	small_value_de	lexicon_class	statement_position	previous_value_de	next_value_de	selection_layer	selection_reason	predicted_joint_tuple_id	exact_card_recovered
E001	HERBAL	H1	f10r	f10r.2	F001	H1-S001	dchey	65f320e75510b2f38182	F10R_PICTURED_PLANT	CH+E+Y	dies kurz abziehen	PRODUCTIVE_COMPOSITION	1	STATEMENT_START	Ansatz bereit	UNIQUE_VALUE	only card with value	65f320e75510b2f38182	YES
E002	HERBAL	H1	f10r	f10r.2	F001	H1-S001	cthoor	dedc383b600397a301ee	F10R_PICTURED_PLANT	CTH+O+OR	Ansatz bereit	PRODUCTIVE_COMPOSITION	2	dies kurz abziehen	von dort	UNIQUE_VALUE	only card with value	dedc383b600397a301ee	YES
E003	HERBAL	H1	f10r	f10r.2	F001	H1-S001	char	4d4559019a961b834aa1	F10R_PICTURED_PLANT	AR	von dort	PRODUCTIVE_COMPOSITION	3	Ansatz bereit	dies fuellen	UNIQUE_VALUE	only card with value	4d4559019a961b834aa1	YES
E004	HERBAL	H1	f10r	f10r.2	F001	H1-S001	chty	80ebbbbf238eee9f0aef	F10R_PICTURED_PLANT	T+Y	dies fuellen	PRODUCTIVE_COMPOSITION	4	von dort	Gefäß	UNIQUE_VALUE	only card with value	80ebbbbf238eee9f0aef	YES
E005	HERBAL	H1	f10r	f10r.2	F001	H1-S001	os	df1098831679a8ad1b39	F10R_PICTURED_PLANT	OS	Gefäß	MEMORIZED_WHOLE_CARD	5	dies fuellen	Wasser abziehen	UNIQUE_VALUE	only card with value	df1098831679a8ad1b39	YES
E006	HERBAL	H1	f10r	f10r.2	F001	H1-S001	chair	12efe866f335461823a6	F10R_PICTURED_PLANT	CH+AIR	Wasser abziehen	PRODUCTIVE_COMPOSITION	6	Gefäß	danach dies fuellen und weiter abziehen	UNIQUE_VALUE	only card with value	12efe866f335461823a6	YES
E007	HERBAL	H1	f10r	f10r.2	F001	H1-S001	otytchol	62ff059766b21c7de083	F10R_PICTURED_PLANT	OT+Y+T+CH+OL	danach dies fuellen und weiter abziehen	PRODUCTIVE_COMPOSITION	7	Wasser abziehen	verwende dies	UNIQUE_VALUE	only card with value	62ff059766b21c7de083	YES
E008	HERBAL	H1	f10r	f10r.2	F001	H1-S001	oky	276a7c2d74d1143446f4	F10R_PICTURED_PLANT	OK+Y	verwende dies	PRODUCTIVE_COMPOSITION	8	danach dies fuellen und weiter abziehen	Mass	UNIQUE_VALUE	only card with value	276a7c2d74d1143446f4	YES
E009	HERBAL	H1	f10r	f10r.2	F001	H1-S001	daiin	2f1c5e56e8f0ff459065	F10R_PICTURED_PLANT	AIIN	Mass	PRODUCTIVE_COMPOSITION	9	verwende dies	dies kurz fuellen	UNIQUE_VALUE	only card with value	2f1c5e56e8f0ff459065	YES
E010	HERBAL	H1	f10r	f10r.2	F001	H1-S001	etyd	a6939862e33ece5a0483	F10R_PICTURED_PLANT	E+T+Y	dies kurz fuellen	PRODUCTIVE_COMPOSITION	10	Mass	STATEMENT_END	RECORD_RENDERER	H1/B1 atom order	a6939862e33ece5a0483	YES
E011	HERBAL	H1	f10r	f10r.5	F002	H1-S002	qokchy	9ad66e67803a12e745de	F10R_PICTURED_PLANT	OK+Y	dies ansetzen	PRODUCTIVE_COMPOSITION	1	STATEMENT_START	danach weiter abziehen	UNIQUE_VALUE	only card with value	9ad66e67803a12e745de	YES
E012	HERBAL	H1	f10r	f10r.5	F002	H1-S002	qotchol	e8a6105b5c3a6220b440	F10R_PICTURED_PLANT	OT+CH+OL	danach weiter abziehen	PRODUCTIVE_COMPOSITION	2	dies ansetzen	fortsetzen	UNIQUE_VALUE	only card with value	e8a6105b5c3a6220b440	YES
E013	HERBAL	H1	f10r	f10r.5	F002	H1-S002	chol	dcda95c81a5460feb191	F10R_PICTURED_PLANT	OL	fortsetzen	PRODUCTIVE_COMPOSITION	3	danach weiter abziehen	bereit	STATEMENT_POSITION	entry resumption	dcda95c81a5460feb191	YES
E014	HERBAL	H1	f10r	f10r.5	F002	H1-S002	cthy	e0b630cb1b5df5e7105b	F10R_PICTURED_PLANT	CTH+Y	bereit	PRODUCTIVE_COMPOSITION	4	fortsetzen	STATEMENT_END	UNIQUE_VALUE	only card with value	e0b630cb1b5df5e7105b	YES
E015	HERBAL	H2	f10r	f10r.6	F003	H2-S001	ycheor	7249edc4df3419c26999	F10R_PICTURED_PLANT	Y+CH+E+OR	diesen Ansatz kurz abziehen	PRODUCTIVE_COMPOSITION	1	STATEMENT_START	bereit	UNIQUE_VALUE	only card with value	7249edc4df3419c26999	YES
E016	HERBAL	H2	f10r	f10r.6	F003	H2-S001	cthy	e0b630cb1b5df5e7105b	F10R_PICTURED_PLANT	CTH+Y	bereit	PRODUCTIVE_COMPOSITION	2	diesen Ansatz kurz abziehen	Ansatz	UNIQUE_VALUE	only card with value	e0b630cb1b5df5e7105b	YES
E017	HERBAL	H2	f10r	f10r.6	F003	H2-S001	chor	7a4bb8136330ee4e6e56	F10R_PICTURED_PLANT	OR	Ansatz	PRODUCTIVE_COMPOSITION	3	bereit	auf Maß bereitstellen	UNIQUE_VALUE	only card with value	7a4bb8136330ee4e6e56	YES
E018	HERBAL	H2	f10r	f10r.6	F003	H2-S001	cthaiin	f3c23f42baf625639e1e	F10R_PICTURED_PLANT	CTH+AIIN	auf Maß bereitstellen	PRODUCTIVE_COMPOSITION	4	Ansatz	dies bereit weiterführen	UNIQUE_VALUE	only card with value	f3c23f42baf625639e1e	YES
E019	HERBAL	H2	f10r	f10r.6	F003	H2-S001	qoctholy	af816c04e65874a0f2fa	F10R_PICTURED_PLANT	O+CTH+OL+Y	dies bereit weiterführen	PRODUCTIVE_COMPOSITION	5	auf Maß bereitstellen	dies	UNIQUE_VALUE	only card with value	af816c04e65874a0f2fa	YES
E020	HERBAL	H2	f10r	f10r.6	F003	H2-S001	dy	b921a237be883a820352	F10R_PICTURED_PLANT	Y	dies	PRODUCTIVE_COMPOSITION	6	dies bereit weiterführen	dies	UNIQUE_VALUE	only card with value	b921a237be883a820352	YES
E021	HERBAL	H2	f10r	f10r.6	F003	H2-S001	chy	b921a237be883a820352	F10R_PICTURED_PLANT	Y	dies	PRODUCTIVE_COMPOSITION	7	dies	Mass	UNIQUE_VALUE	only card with value	b921a237be883a820352	YES
E022	HERBAL	H2	f10r	f10r.6	F003	H2-S001	taiin	2f1c5e56e8f0ff459065	F10R_PICTURED_PLANT	AIIN	Mass	PRODUCTIVE_COMPOSITION	8	dies	dies	UNIQUE_VALUE	only card with value	2f1c5e56e8f0ff459065	YES
E023	HERBAL	H2	f10r	f10r.6	F003	H2-S001	shy	b921a237be883a820352	F10R_PICTURED_PLANT	Y	dies	PRODUCTIVE_COMPOSITION	9	Mass	STATEMENT_END	UNIQUE_VALUE	only card with value	b921a237be883a820352	YES
