section_id	record_unit_id	title_de	statements	statement_ids	events	event_ids	owner_zones	hard_scene_transition_events	current_continuous_prose_de
BP01	B1	Ansatz und erste Umsetzung	4	B1-S001|B1-S002|B1-S003|B1-S004	25	E101|E102|E103|E104|E105|E106|E107|E108|E109|E110|E111|E112|E113|E114|E115|E116|E117|E118|E119|E120|E121|E122|E123|E124|E125	B1_SHARED_POOL_WORKSTATION	NONE	[B1-S001] Kurz ansetzen und den Schritt schließen. [B1-S002] Bemessen, Wasser zufuehren und an die Stelle setzen; von dort mit einer und einer weiteren Portion fortsetzen; an der Stelle weiter abkuehlen, weiterfuehren und einen weiteren Ansatz fortsetzen; kurz an der Durchlassstelle halten, auf Mass bringen, laenger an der Stelle halten, nochmals bemessen, durchfuehren, umsetzen und schliessen. [B1-S003] Fortsetzen, gebuendelt umsetzen und schliessen. [B1-S004] Dies umsetzen, fortsetzen, absetzen und schließen.
BP02	B1	Weiterfuehrung und Abkuehlung	4	B1-S005|B1-S006|B1-S007|B1-S008	11	E126|E127|E128|E129|E130|E131|E132|E133|E134|E135|E136	B1_SHARED_POOL_WORKSTATION	NONE	[B1-S005] Den vorigen Gang weiterführen, überführen und schließen. [B1-S006] Eine Portion zugeben, durchfuehren, weiterfuehren und an der Stelle abkuehlen. [B1-S007] Den Ansatz umsetzen; Schluss. [B1-S008] Dies fortsetzen, kurz wärmen, weiterführen, absetzen und schließen.
BP03	B1	Kurze Ansaetze und Waschgang	5	B1-S009|B1-S010|B1-S011|B1-S012|B1-S013	8	E137|E138|E139|E140|E141|E142|E143|E144	B1_SHARED_POOL_WORKSTATION	NONE	[B1-S009] Kurz ansetzen; Schluss. [B1-S010] Kurz ansetzen; Schluss. [B1-S011] Durch den Durchlass führen und dies verwenden. [B1-S012] Den Waschgang kurz ansetzen und schliessen. [B1-S013] Den Waschgang schliessen.
BP04	B1	Auffangen Fuellen und Zielarbeit	5	B1-S014|B1-S015|B1-S016|B1-S017|B1-S018	18	E145|E146|E147|E148|E149|E150|E151|E152|E153|E154|E155|E156|E157|E158|E159|E160|E161|E162	B1_SHARED_POOL_WORKSTATION	NONE	[B1-S014] Dies umsetzen, auffangen, zum Auslass fuehren, fortsetzen und danach von dort weitergehen. [B1-S015] Dies kurz fuellen, den Ansatz umsetzen und schliessen. [B1-S016] An die Stelle setzen, länger ansetzen, fortsetzen, absetzen und schließen. [B1-S017] An der Stelle kurz fortsetzen, umsetzen und schliessen. [B1-S018] Dies fuehren, kurz halten, auf Sollstand bringen, laenger auffangen und schliessen.
BP05	B1	Absetzen Waermen Seihen	3	B1-S019|B1-S020|B1-S021	4	E163|E164|E165|E166	B1_SHARED_POOL_WORKSTATION	NONE	[B1-S019] Absetzen und schließen. [B1-S020] Kurz wärmen, seihen und schließen. [B1-S021] An der bezeichneten Stelle fortsetzen.
BP06	B2	Obere Stationen	6	B2-S001|B2-S002|B2-S003|B2-S004|B2-S005|B2-S006	22	E167|E168|E169|E170|E171|E172|E173|E174|E175|E176|E177|E178|E179|E180|E181|E182|E183|E184|E185|E186|E187|E188	B2_ZONE_A_UPPER_STATIONS	NONE	[B2-S001] Umsetzen und schliessen. [B2-S002] Weiterführen und schließen. [B2-S003] Eine Portion zugeben, dies nehmen, länger ansetzen und schließen. [B2-S004] An die Stelle setzen, dies zum Durchlass führen, hinausführen, länger ansetzen, hinaus seihen und schließen. [B2-S005] Dies an die Stelle setzen, das Auffangmass einstellen, durchfuehren, zweimal bemessen, kurz bereit fortsetzen, dies laenger waermen, abfuehren und schliessen. [B2-S006] Dies kurz im Durchlass halten.
BP07	B2	Seitliches Becken	4	B2-S007|B2-S008|B2-S009|B2-S010	9	E189|E190|E191|E192|E193|E194|E195|E196|E197	B2_ZONE_B_SIDE_POOL	E189	[B2-S007] Kurz halten und schliessen. [B2-S008] Das nächste Maß nehmen, von dort einsetzen, absetzen und schließen. [B2-S009] Mit dem Vorigen kurz absetzen und schließen. [B2-S010] Laenger ansetzen, dies verwenden, abfuehren und den Klarauszug nehmen.
BP08	B2	Zentralgefaess	1	B2-S011	4	E198|E199|E200|E201	B2_ZONE_C_CENTRAL_VESSEL	E198	[B2-S011] Eine Portion zugeben, von dort noch eine Portion zugeben, länger ansetzen und schließen.
BP09	B2	Zentralgefaess zum unteren Lauf	3	B2-S012|B2-S013|B2-S014	10	E202|E203|E204|E205|E206|E207|E208|E209|E210|E211	B2_ZONE_C_CENTRAL_VESSEL|B2_ZONE_D_LOWER_STATIONS	E203	[B2-S012] Dies abziehen, den Klarauszug kurz bereithalten, länger ansetzen, dies länger abziehen, auf Maß bringen, dies vollständig ansetzen und schließen. [B2-S013] Hinausführen und schließen. [B2-S014] Von dort abführen.
BP10	B2	Untere Abschlussreihe	8	B2-S015|B2-S016|B2-S017|B2-S018|B2-S019|B2-S020|B2-S021|B2-S022	17	E212|E213|E214|E215|E216|E217|E218|E219|E220|E221|E222|E223|E224|E225|E226|E227|E228	B2_ZONE_E_TERMINAL_CELL_ROW	E212	[B2-S015] Dies kurz halten, laenger ansetzen und schliessen. [B2-S016] Von der Stelle hinausfuehren, teilen, auf Mass bringen, den naechsten Posten laenger halten, bemessen, kurz ansetzen, hineinfuehren und schliessen. [B2-S017] An der Stelle kurz abkuehlen und dort schliessen. [B2-S018] Länger ansetzen und schließen. [B2-S019] Abkuehlen, absetzen und schliessen. [B2-S020] Den nächsten Schritt länger halten und schließen. [B2-S021] Länger ansetzen und schließen. [B2-S022] Weiter hinausfuehren und schliessen.
