section_order	section_id	register	record_unit_id	page	title_de	statements	events	event_ids	owner_zones	continuous_prose_de
1	HA1	HERBAL	H1	f10r	Abgebildete Pflanze	2	14	E001|E002|E003|E004|E005|E006|E007|E008|E009|E010|E011|E012|E013|E014	F10R_PICTURED_PLANT	Von der abgebildeten Pflanze kurz abziehen; der Ansatz ist bereit. Von dort in das Gefäß füllen. Wasser abziehen, danach diesen Posten füllen und weiter abziehen. Dies nach Maß verwenden und kurz füllen. Diesen Posten ansetzen, danach weiter abziehen und fortfahren, bis er bereit ist.
2	HA2	HERBAL	H2	f10r	Abgebildete Pflanze	3	24	E015|E016|E017|E018|E019|E020|E021|E022|E023|E024|E025|E026|E027|E028|E029|E030|E031|E032|E033|E034|E035|E036|E037|E038	F10R_PICTURED_PLANT	Diesen Ansatz kurz abziehen; der Ansatz ist bereit. Ihn auf Maß bereitstellen und als bereiten Posten weiterführen; dieser Posten bleibt am Maß. Danach vom Ansatz abziehen und damit fortfahren. Den weiteren Ansatz nach Maß fortführen und von dort weiterarbeiten. Diesen Posten dem Ansatz zuführen; der Ansatz bleibt aktiv. Dies bis zur Sollstufe zuführen und auf Maß abziehen.
3	HA3	HERBAL	H3	f11r	Abgebildete Pflanze	4	17	E039|E040|E041|E042|E043|E044|E045|E046|E047|E048|E049|E050|E051|E052|E053|E054|E055	F11R_PICTURED_PLANT	Den gefüllten Posten weiter an der Stelle halten, auswringen, bis zum Maß halten und hineinführen. Den Klarauszug nehmen; füllen und abziehen; Schluss. Diesen Posten halten und füllen. Fortfahren; diesen Posten zuführen und ihn nach Maß weiterführen. Den nächsten Posten weiter ansetzen; sobald er bereit ist, gilt dieser Posten.
4	HA4	HERBAL	H4	f55v	Abgebildete Pflanze	4	18	E056|E057|E058|E059|E060|E061|E062|E063|E064|E065|E066|E067|E068|E069|E070|E071|E072|E073	F55V_PICTURED_PLANT	Bemessen: nach Maß eine Portion davon zuführen, dann noch eine Portion; den Arbeitsgang abschließen. Nach Maß diesen Posten umsetzen und verwahren. Diesen Posten auf Maß zuführen, den Auszug aus der Quelle nehmen, dies länger wärmen und nach dem Fortsetzen schließen. Nach Maß an die Stelle setzen und dies weiter füllen. Mit dem Ansatz weiterarbeiten und davon eine Ansatzportion verwenden.
5	HA5	HERBAL	H5	f56r	Abgebildete Pflanze	6	27	E074|E075|E076|E077|E078|E079|E080|E081|E082|E083|E084|E085|E086|E087|E088|E089|E090|E091|E092|E093|E094|E095|E096|E097|E098|E099|E100	F56R_PICTURED_PLANT	Die Zutat aus dem Ansatz abziehen und diese Zutat nach Maß an die Stelle bringen. Weitere Zutat zuführen, danach vom Ansatz abziehen und dies an der Stelle verwenden. Fortfahren, diese Zutat verwenden und sie länger durch den Durchlass führen; Schluss. Die Zutat halten, kurz zuführen und erneut ansetzen. Diesen Posten ansetzen, den Auszug ansetzen und an die Stelle zuführen. Diese Zutat ansetzen, Zutat aus dem Vorrat zuführen, danach eine Portion. Den nächsten Posten kurz weiter zuführen, nach Maß.
6	BP01	BIOLOGICAL	B1	f81v	Ansatz und erste Umsetzung	4	25	E101|E102|E103|E104|E105|E106|E107|E108|E109|E110|E111|E112|E113|E114|E115|E116|E117|E118|E119|E120|E121|E122|E123|E124|E125	B1_SHARED_POOL_WORKSTATION	[B1-S001] Kurz ansetzen und den Schritt schließen. [B1-S002] Bemessen, Wasser zufuehren und an die Stelle setzen; von dort mit einer und einer weiteren Portion fortsetzen; an der Stelle weiter abkuehlen, weiterfuehren und einen weiteren Ansatz fortsetzen; kurz an der Durchlassstelle halten, auf Mass bringen, laenger an der Stelle halten, nochmals bemessen, durchfuehren, umsetzen und schliessen. [B1-S003] Fortsetzen, gebuendelt umsetzen und schliessen. [B1-S004] Dies umsetzen, fortsetzen, absetzen und schließen.
7	BP02	BIOLOGICAL	B1	f81v	Weiterfuehrung und Abkuehlung	4	11	E126|E127|E128|E129|E130|E131|E132|E133|E134|E135|E136	B1_SHARED_POOL_WORKSTATION	[B1-S005] Den vorigen Gang weiterführen, überführen und schließen. [B1-S006] Eine Portion zugeben, durchfuehren, weiterfuehren und an der Stelle abkuehlen. [B1-S007] Den Ansatz umsetzen; Schluss. [B1-S008] Dies fortsetzen, kurz wärmen, weiterführen, absetzen und schließen.
8	BP03	BIOLOGICAL	B1	f81v	Kurze Ansaetze und Waschgang	5	8	E137|E138|E139|E140|E141|E142|E143|E144	B1_SHARED_POOL_WORKSTATION	[B1-S009] Kurz ansetzen; Schluss. [B1-S010] Kurz ansetzen; Schluss. [B1-S011] Durch den Durchlass führen und dies verwenden. [B1-S012] Den Waschgang kurz ansetzen und schliessen. [B1-S013] Den Waschgang schliessen.
9	BP04	BIOLOGICAL	B1	f81v	Auffangen Fuellen und Zielarbeit	5	18	E145|E146|E147|E148|E149|E150|E151|E152|E153|E154|E155|E156|E157|E158|E159|E160|E161|E162	B1_SHARED_POOL_WORKSTATION	[B1-S014] Dies umsetzen, auffangen, zum Auslass fuehren, fortsetzen und danach von dort weitergehen. [B1-S015] Dies kurz fuellen, den Ansatz umsetzen und schliessen. [B1-S016] An die Stelle setzen, länger ansetzen, fortsetzen, absetzen und schließen. [B1-S017] An der Stelle kurz fortsetzen, umsetzen und schliessen. [B1-S018] Dies fuehren, kurz halten, auf Sollstand bringen, laenger auffangen und schliessen.
10	BP05	BIOLOGICAL	B1	f81v	Absetzen Waermen Seihen	3	4	E163|E164|E165|E166	B1_SHARED_POOL_WORKSTATION	[B1-S019] Absetzen und schließen. [B1-S020] Kurz wärmen, seihen und schließen. [B1-S021] An der bezeichneten Stelle fortsetzen.
11	BP06	BIOLOGICAL	B2	f82r	Obere Stationen	6	22	E167|E168|E169|E170|E171|E172|E173|E174|E175|E176|E177|E178|E179|E180|E181|E182|E183|E184|E185|E186|E187|E188	B2_ZONE_A_UPPER_STATIONS	[B2-S001] Umsetzen und schliessen. [B2-S002] Weiterführen und schließen. [B2-S003] Eine Portion zugeben, dies nehmen, länger ansetzen und schließen. [B2-S004] An die Stelle setzen, dies zum Durchlass führen, hinausführen, länger ansetzen, hinaus seihen und schließen. [B2-S005] Dies an die Stelle setzen, das Auffangmass einstellen, durchfuehren, zweimal bemessen, kurz bereit fortsetzen, dies laenger waermen, abfuehren und schliessen. [B2-S006] Dies kurz im Durchlass halten.
12	BP07	BIOLOGICAL	B2	f82r	Seitliches Becken	4	9	E189|E190|E191|E192|E193|E194|E195|E196|E197	B2_ZONE_B_SIDE_POOL	[B2-S007] Kurz halten und schliessen. [B2-S008] Das nächste Maß nehmen, von dort einsetzen, absetzen und schließen. [B2-S009] Mit dem Vorigen kurz absetzen und schließen. [B2-S010] Laenger ansetzen, dies verwenden, abfuehren und den Klarauszug nehmen.
13	BP08	BIOLOGICAL	B2	f82r	Zentralgefaess	1	4	E198|E199|E200|E201	B2_ZONE_C_CENTRAL_VESSEL	[B2-S011] Eine Portion zugeben, von dort noch eine Portion zugeben, länger ansetzen und schließen.
14	BP09	BIOLOGICAL	B2	f82r	Zentralgefaess zum unteren Lauf	3	10	E202|E203|E204|E205|E206|E207|E208|E209|E210|E211	B2_ZONE_C_CENTRAL_VESSEL|B2_ZONE_D_LOWER_STATIONS	[B2-S012] Dies abziehen, den Klarauszug kurz bereithalten, länger ansetzen, dies länger abziehen, auf Maß bringen, dies vollständig ansetzen und schließen. [B2-S013] Hinausführen und schließen. [B2-S014] Von dort abführen.
15	BP10	BIOLOGICAL	B2	f82r	Untere Abschlussreihe	8	17	E212|E213|E214|E215|E216|E217|E218|E219|E220|E221|E222|E223|E224|E225|E226|E227|E228	B2_ZONE_E_TERMINAL_CELL_ROW	[B2-S015] Dies kurz halten, laenger ansetzen und schliessen. [B2-S016] Von der Stelle hinausfuehren, teilen, auf Mass bringen, den naechsten Posten laenger halten, bemessen, kurz ansetzen, hineinfuehren und schliessen. [B2-S017] An der Stelle kurz abkuehlen und dort schliessen. [B2-S018] Länger ansetzen und schließen. [B2-S019] Abkuehlen, absetzen und schliessen. [B2-S020] Den nächsten Schritt länger halten und schließen. [B2-S021] Länger ansetzen und schließen. [B2-S022] Weiter hinausfuehren und schliessen.
16	BP11	BIOLOGICAL	B3	f83r	Obere Paarstation erster Gang	5	11	E229|E230|E231|E232|E233|E234|E235|E236|E237|E238|E239	B3_ZONE_A_UPPER_PAIRED_STATION	[B3-S001] Länger auffangen und schließen. [B3-S002] An der Folgestelle länger wärmen und schließen. [B3-S003] Diesen Posten nach Maß hinausführen und schließen. [B3-S004] Bemessen, zur Folgestelle gehen und von dort weiterarbeiten. [B3-S005] Umsetzen und schliessen.
17	BP12	BIOLOGICAL	B3	f83r	Obere Paarstation Zielgang	5	10	E240|E241|E242|E243|E244|E245|E246|E247|E248|E249	B3_ZONE_A_UPPER_PAIRED_STATION	[B3-S006] Dies umsetzen, an die Stelle setzen, weiterfuehren und schliessen. [B3-S007] Bemessen, dies umsetzen, länger ansetzen und schließen. [B3-S008] Hinausführen und schließen. [B3-S009] Dies verwenden. [B3-S010] An der Stelle hineinführen, den kurzen Folgeschritt ausführen und schließen.
18	BP13	BIOLOGICAL	B3	f83r	Bereitgang zum Mittelteil	6	15	E250|E251|E252|E253|E254|E255|E256|E257|E258|E259|E260|E261|E262|E263|E264	B3_ZONE_A_UPPER_PAIRED_STATION|B3_ZONE_B_MIDDLE_STATION	[B3-S011] Dies kurz bereit umsetzen, verwenden, nochmals umsetzen und dies aus der Quelle nehmen. [B3-S012] Den Ansatz absetzen und schließen. [B3-S013] Bemessen, eine Portion nehmen, dies kurz bereithalten, kurz ansetzen und schließen. [B3-S014] Wasser in Gang setzen, laenger absetzen und schliessen. [B3-S015] Hinausführen und schließen. [B3-S016] Hinausfuehren, den Ansatz umsetzen und schliessen.
19	BP14	BIOLOGICAL	B3	f83r	Mittlere Station	5	16	E265|E266|E267|E268|E269|E270|E271|E272|E273|E274|E275|E276|E277|E278|E279|E280	B3_ZONE_B_MIDDLE_STATION	[B3-S017] Länger ansetzen und schließen. [B3-S018] Absetzen und schließen. [B3-S019] Kurz absetzen und schließen. [B3-S020] An der Stelle hinausführen und schließen. [B3-S021] Bemessen und bereitstellen; an der Stelle absetzen, dies kurz bereit halten und an der Stelle ueberfuehren und schliessen.
