statement_id	register	record_unit_id	page	owner_zones	events	event_ids	field_ids	literal_card_chain_de	current_fluent_reading_de	pass460_override	physical_line_is_sentence_boundary
H1-S001	HERBAL	H1	f10r	F10R_PICTURED_PLANT	10	E001|E002|E003|E004|E005|E006|E007|E008|E009|E010	F001	dies kurz abziehen; Ansatz bereit; von dort; dies fuellen; Gefäß; Wasser abziehen; danach dies fuellen und weiter abziehen; verwende dies; Mass; dies kurz fuellen.	Von der abgebildeten Pflanze kurz abziehen; der Ansatz ist bereit. Von dort in das Gefäß füllen. Wasser abziehen, danach diesen Posten füllen und weiter abziehen. Dies nach Maß verwenden und kurz füllen.	YES	NO
H1-S002	HERBAL	H1	f10r	F10R_PICTURED_PLANT	4	E011|E012|E013|E014	F002	dies ansetzen; danach weiter abziehen; fortsetzen; bereit.	Diesen Posten ansetzen, danach weiter abziehen und fortfahren, bis er bereit ist.	NO	NO
H2-S001	HERBAL	H2	f10r	F10R_PICTURED_PLANT	9	E015|E016|E017|E018|E019|E020|E021|E022|E023	F003	diesen Ansatz kurz abziehen; bereit; Ansatz; auf Maß bereitstellen; dies bereit weiterführen; dies; dies; Mass; dies.	Diesen Ansatz kurz abziehen; der Ansatz ist bereit. Ihn auf Maß bereitstellen und als bereiten Posten weiterführen; dieser Posten bleibt am Maß.	NO	NO
H2-S002	HERBAL	H2	f10r	F10R_PICTURED_PLANT	8	E024|E025|E026|E027|E028|E029|E030|E031	F004	danach Ansatz abziehen; Ansatz; danach fortsetzen; fortsetzen; weiterer Ansatz; fortsetzen; Mass; von dort.	Danach vom Ansatz abziehen und damit fortfahren. Den weiteren Ansatz nach Maß fortführen und von dort weiterarbeiten.	YES	NO
H2-S003	HERBAL	H2	f10r	F10R_PICTURED_PLANT	7	E032|E033|E034|E035|E036|E037|E038	F005	dies dem Ansatz zuführen; Ansatz; Ansatz; dies; bis zur Sollstufe zuführen; dies; auf Maß abziehen.	Diesen Posten dem Ansatz zuführen; der Ansatz bleibt aktiv. Dies bis zur Sollstufe zuführen und auf Maß abziehen.	NO	NO
H3-S001	HERBAL	H3	f11r	F11R_PICTURED_PLANT	7	E039|E040|E041|E042|E043|E044|E045	F006	weiter gefuellt halten; an der Stelle halten; auswringen; dies bis zum Maß halten; dies hineinführen; Klarauszug; fuellen und abziehen; Schluss.	Den gefüllten Posten weiter an der Stelle halten, auswringen, bis zum Maß halten und hineinführen. Den Klarauszug nehmen; füllen und abziehen; Schluss.	NO	NO
H3-S002	HERBAL	H3	f11r	F11R_PICTURED_PLANT	1	E046	F007	dies halten und fuellen.	Diesen Posten halten und füllen.	NO	NO
H3-S003	HERBAL	H3	f11r	F11R_PICTURED_PLANT	5	E047|E048|E049|E050|E051	F008	fortsetzen; dies; dies zuführen; dies; Mass.	Fortfahren; diesen Posten zuführen und ihn nach Maß weiterführen.	NO	NO
H3-S004	HERBAL	H3	f11r	F11R_PICTURED_PLANT	4	E052|E053|E054|E055	F009	nächster Posten; weiter ansetzen; bereit; dies.	Den nächsten Posten weiter ansetzen; sobald er bereit ist, gilt dieser Posten.	NO	NO
H4-S001	HERBAL	H4	f55v	F55V_PICTURED_PLANT	5	E056|E057|E058|E059|E060	F010	bemessen; Mass; eine Portion davon zuführen; eine Portion davon zuführen; Arbeitsgang abschließen.	Bemessen: nach Maß eine Portion davon zuführen, dann noch eine Portion; den Arbeitsgang abschließen.	NO	NO
H4-S002	HERBAL	H4	f55v	F55V_PICTURED_PLANT	3	E061|E062|E063	F011	Mass; dies umsetzen; verwahren.	Nach Maß diesen Posten umsetzen und verwahren.	NO	NO
H4-S003	HERBAL	H4	f55v	F55V_PICTURED_PLANT	4	E064|E065|E066|E067	F012	dies auf Maß zuführen; Auszug aus der Quelle; dies länger wärmen; fortsetzen; Schluss.	Diesen Posten auf Maß zuführen, den Auszug aus der Quelle nehmen, dies länger wärmen und nach dem Fortsetzen schließen.	NO	NO
H4-S004	HERBAL	H4	f55v	F55V_PICTURED_PLANT	6	E068|E069|E070|E071|E072|E073	F013	Mass; an die Stelle setzen; dies weiter fuellen; Ansatz; dies; Ansatzportion.	Nach Maß an die Stelle setzen und dies weiter füllen. Mit dem Ansatz weiterarbeiten und davon eine Ansatzportion verwenden.	NO	NO
H5-S001	HERBAL	H5	f56r	F56R_PICTURED_PLANT	9	E074|E075|E076|E077|E078|E079|E080|E081|E082	F014|F015	Zutat aus dem Ansatz abziehen; Zutat; diese Zutat an die Stelle; Mass; Zutat; weiter zuführen; danach Ansatz abziehen; verwende dies; Stelle.	Die Zutat aus dem Ansatz abziehen und diese Zutat nach Maß an die Stelle bringen. Weitere Zutat zuführen, danach vom Ansatz abziehen und dies an der Stelle verwenden.	NO	NO
H5-S002	HERBAL	H5	f56r	F56R_PICTURED_PLANT	4	E083|E084|E085|E086	F016	fortsetzen; diese Zutat; verwende dies; länger durch den Durchlass; Schluss.	Fortfahren, diese Zutat verwenden und sie länger durch den Durchlass führen; Schluss.	NO	NO
H5-S003	HERBAL	H5	f56r	F56R_PICTURED_PLANT	4	E087|E088|E089|E090	F017	halten; Zutat; dies kurz zuführen; dies erneut ansetzen.	Die Zutat halten, kurz zuführen und erneut ansetzen.	NO	NO
H5-S004	HERBAL	H5	f56r	F56R_PICTURED_PLANT	3	E091|E092|E093	F018	dies ansetzen; Auszug ansetzen; an die Stelle zuführen.	Diesen Posten ansetzen, den Auszug ansetzen und an die Stelle zuführen.	NO	NO
H5-S005	HERBAL	H5	f56r	F56R_PICTURED_PLANT	4	E094|E095|E096|E097	F019	Zutat; dies ansetzen; Zutat aus dem Vorrat zuführen; danach eine Portion.	Diese Zutat ansetzen, Zutat aus dem Vorrat zuführen, danach eine Portion.	NO	NO
H5-S006	HERBAL	H5	f56r	F56R_PICTURED_PLANT	3	E098|E099|E100	F020	nächster Posten; kurz weiter zuführen; Mass.	Den nächsten Posten kurz weiter zuführen, nach Maß.	NO	NO
