statement_id	page	record	register	error_class	missing_occurrences	extra_occurrences	missing_y_count	card_count_delta	predicted_recipe_sequence	observed_recipe_sequence	next_rule_de
H1-S001	f10r	H1	HERBAL	SEMANTIC_SET_GAP	CH+OS+T+Y+Y+Y	NONE	3	0	CH+E+Y | CTH+O+OR | AR | UNPACKED(T) | CH+AIR | OT+Y | OL | OK+AIIN | UNPACKED(E) | UNPACKED(T)	CH+E+Y | CTH+O+OR | AR | T+Y | OS | CH+AIR | OT+Y+T+CH+OL | OK+Y | AIIN | E+T+Y	fehlenden redaktionellen Inhalt nicht durch Packregel erfinden
H1-S002	f10r	H1	HERBAL	Y_COPY_ONLY	Y	NONE	1	0	OK+Y | OT+CH+OL | OL | UNPACKED(CTH)	OK+Y | OT+CH+OL | OL | CTH+Y	aktiven Y-Posten in jede Y-valente Deckkarte kopieren
H2-S001	f10r	H2	HERBAL	SEMANTIC_SET_GAP	AIIN+CTH+CTH+O+Y+Y+Y+Y	NONE	4	-4	Y+CH+E+OR | UNPACKED(CTH) | OR | AIIN | OL+Y	Y+CH+E+OR | CTH+Y | OR | CTH+AIIN | O+CTH+OL+Y | Y | Y | AIIN | Y	fehlenden redaktionellen Inhalt nicht durch Packregel erfinden
H2-S002	f10r	H2	HERBAL	NON_Y_COPY	OL+OL+OR+OT	NONE	0	-3	OT+CH+OR | OL+OR | AIIN | AR | OL	OT+CH+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	wiederholte Adresse/Operation explizit in mehrere Karten verteilen
H2-S003	f10r	H2	HERBAL	Y_PLUS_OTHER_COPY	OR+Y+Y	NONE	2	0	UNPACKED(O) | OR | UNPACKED(K) | OR | Y | K+IIN | CH+O+AIIN	O+Y+K+OR | OR | OR | Y | K+IIN | Y | CH+O+AIIN	Y kopieren; danach weitere wiederholte Adresse/Operation behandeln
H3-S001	f11r	H3	HERBAL	SEMANTIC_SET_GAP	O+O+SH+T+T+Y+Y+Y+Y	NONE	4	4	AL | OL | SH | UNPACKED(CFH) | AIIN | SH | UNPACKED(P) | UNPACKED(EE) | SH | UNPACKED(CH) | UNPACKED(DY)	T+SH+OL | SH+O+AL | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | T+CH+O+DY	fehlenden redaktionellen Inhalt nicht durch Packregel erfinden
H3-S002	f11r	H3	HERBAL	Y_COPY_ONLY	Y	NONE	1	3	Y | UNPACKED(O) | SH | UNPACKED(T)	SH+O+Y+T+Y	aktiven Y-Posten in jede Y-valente Deckkarte kopieren
H3-S003	f11r	H3	HERBAL	Y_COPY_ONLY	Y+Y	NONE	2	-3	RESUME_CARD | Y+K+AIIN	RESUME_CARD | Y | K+Y | Y | AIIN	aktiven Y-Posten in jede Y-valente Deckkarte kopieren
H3-S004	f11r	H3	HERBAL	Y_COPY_ONLY	Y+Y	NONE	2	-1	OT+Y | OK+OL | UNPACKED(CTH)	OT+Y | OK+OL | CTH+Y | Y	aktiven Y-Posten in jede Y-valente Deckkarte kopieren
H4-S001	f55v	H4	HERBAL	Y_PLUS_OTHER_COPY	AIIN+K+Y	NONE	1	1	AIIN | OK+Y | AIN | UNPACKED(AN) | UNPACKED(K) | O+DY	OK+AIIN | AIIN | Y+K+AIN | Y+K+AN | O+DY	Y kopieren; danach weitere wiederholte Adresse/Operation behandeln
