component	missing_occurrences	extra_occurrences	net_missing	priority
Y	60	0	60	P1_ACTIVE_REFERENT_COPY
OL	6	1	5	P2_OTHER_REPETITION
AL	5	0	5	P2_OTHER_REPETITION
AIIN	4	0	4	P2_OTHER_REPETITION
OK	4	0	4	P2_OTHER_REPETITION
HO	3	0	3	P2_OTHER_REPETITION
K	3	0	3	P2_OTHER_REPETITION
O	3	0	3	P2_OTHER_REPETITION
OR	3	0	3	P2_OTHER_REPETITION
T	3	0	3	P2_OTHER_REPETITION
CTH	2	0	2	P2_OTHER_REPETITION
OT	2	0	2	P2_OTHER_REPETITION
CH	1	0	1	P2_OTHER_REPETITION
CHD	1	0	1	P2_OTHER_REPETITION
E	1	0	1	P2_OTHER_REPETITION
L	1	0	1	P2_OTHER_REPETITION
OS	1	0	1	P2_OTHER_REPETITION
SH	1	0	1	P2_OTHER_REPETITION
