triple_id	page	locus	section	hand	head_ordinal	head_surface	head_id	head_record_role	head_body_role_de	x_surface	x_roles	x_candidate_de	daiin_value	exact_span_eva	written_line_eva	component_export_credit
G765-HD01	f105r	f105r.24	S	3	10	pcheey	H1	PARAGRAPH_OR_RECORD_OPENER	trockene Form II	dal	AMOUNT_VALUE|CONTENT_PREPARATION	Rohstoff-/Mengenfeld I	III	pcheey dal daiin	pcheor ain ckheey okeeey paiin ar aiiin chpaiikey sheo pcheey dal daiin dam	0
G765-HD02	f105v	f105v.5	S	3	1	pchedal	H1	PARAGRAPH_OR_RECORD_OPENER	abgemessenes Trockenmaterial, Stufe I/Form I	qopchdy	KNOWN_OTHER	KNOWN_WHOLE_ROLE__RETIRED_LITERAL_MATERIAL_SUPPRESSED	III	pchedal qopchdy daiin	pchedal qopchdy daiin chedy daiin okaildy opchedaiin opcheo olkeedy sairom	0
G765-HD03	f10v	f10v.1	H	1	4	pcheey	H1	PARAGRAPH_OR_RECORD_OPENER	trockene Form II	qoty	QUALITY_STAGE	kalt am Anfang des Grades	III	pcheey qoty daiin	paiin daiin sheo pcheey qoty daiin cthor otydy sain	0
G765-HD04	f111r	f111r.41	S	3	7	lchedy	H4	INTERNAL_BOUND_FIELD_OPERATOR	getrocknetes Ergebnis, Form I	qokeeal	QUALITY_STAGE|CONTENT_PREPARATION	Rohstoffklasse I, heiß am Gradende	III	lchedy qokeeal daiin	ycheey raiin cheody qokechy qokeey okedy lchedy qokeeal daiin otaral	0
G765-HD05	f22r	f22r.4	H	1	1	pchaiin	H1	PARAGRAPH_OR_RECORD_OPENER	Trockenindex oder -grad III	ofchy	OPEN	[ofchy:?]	III	pchaiin ofchy daiin	pchaiin ofchy daiin cfhy doroiin ypchol sy schor daiin	0
G765-HD06	f22r	f22r.4	H	1	7	sy	H2	LINE_ITEM_OR_SUBENTRY_MARKER	unmarkierte Grund- oder Schlussform	schor	H2_RECORD_FORM	[schor:?]	III	sy schor daiin	pchaiin ofchy daiin cfhy doroiin ypchol sy schor daiin	0
G765-HD07	f30v	f30v.11	H	1	1	sol	H2	LINE_ITEM_OR_SUBENTRY_MARKER	Stoff- oder Materialträger	chokcheey	OPEN	[chokcheey:?]	III	sol chokcheey daiin	sol chokcheey daiin kchydy	0
G765-HD08	f32v	f32v.9	H	1	3	skey	H2	LINE_ITEM_OR_SUBENTRY_MARKER	erhitzte Form I	chocthy	OPEN	trockene CTH-Drogenzubereitung; im Herbal trockene Blatt-/Krautzubereitung	III	skey chocthy daiin	qotchy cfhy skey chocthy daiin cthaiin daiin	0
G765-HD09	f37v	f37v.15	H	1	1	soiiin	H2	LINE_ITEM_OR_SUBENTRY_MARKER	Zubereitungsform: Index IV	cheoky	QUALITY_STAGE|CONTENT_PREPARATION	trocken angesetzte heiße Zubereitung am Gradanfang	III	soiiin cheoky daiin	soiiin cheoky daiin dain	0
G765-HD10	f66r	f66r.68	T	5	1	sair	H2	LINE_ITEM_OR_SUBENTRY_MARKER	Teil- oder Fraktionsstufe II	ol	KNOWN_OTHER	Ansatz-/Trägerfeld; genaue Stoffart offen	III	sair ol daiin	sair ol daiin daiin dal dol cheody dair aly dairal dolarshy dor	0
G765-HD11	f78v	f78v.16	B	2	7	lchedy	H4	INTERNAL_BOUND_FIELD_OPERATOR	getrocknetes Ergebnis, Form I	qokdy	QUALITY_STAGE|CLOSE	heiß am Anfang des Grades, abgeschlossen	III	lchedy qokdy daiin	lshey r shedy d qokedy okey lchedy qokdy daiin oly	0
G765-HD12	f99r	f99r.15	P	1	1	pcheody	H1	PARAGRAPH_OR_RECORD_OPENER	trocken aufbereitetes Ergebnis, Form I	oteody	KNOWN_OTHER	abgekühlter, fertiger Ansatz	III	pcheody oteody daiin	pcheody oteody daiin cpheey tshol dal cfheol olaiin sar	0
