family_occurrence_id	family	surface	page	locus	section	hand	ordinal	line_token_count	line_position	paragraph_start_line	paragraph_end_line	left_surface	left_roles	left_candidate_de	right_surface	right_roles	right_candidate_de	written_line_eva	family_analogy_only	component_export_credit
G765-OF001	OFCH_PREFIX	ofchey	f107r	f107r.38	S	3	3	9	MIDDLE	1	0	orar	OPEN	[orar:?]	qoteedy	QUALITY_STAGE|CLOSE	kalt am Ende des Grades, abgeschlossen	poaral orar ofchey qoteedy qotaiin opchedy qokchey otlchdain aly	1	0
G765-OF002	OFCH_PREFIX	ofchdy	f108r	f108r.2	S	3	10	11	MIDDLE	0	0	qokechy	OPEN	[qokechy:?]	qody	KNOWN_OTHER	fertige Zubereitung	qokeedy chokedy chockhed qokeor shedy otal otaiin otedy qokechy ofchdy qody	1	0
G765-OF003	OFCH_PREFIX	ofchr	f113v	f113v.33	S	3	10	10	LAST	1	0	lkch	OPEN	[lkch:?]	LINE_EDGE	OPEN	NONE	polsairy oteo qokeedy qokaiin okal qofcheol qokaiin opalor lkch ofchr	1	0
G765-OF004	OFCH_PREFIX	ofchedy	f114r	f114r.11	S	3	7	11	MIDDLE	1	0	qokchdy	KNOWN_OTHER	heiß-trockene Anfangsstufe erreicht	tolpchy	OPEN	[tolpchy:?]	dalchy kolky qoedaiin dolor shedy qokchdy ofchedy tolpchy doiiin chocfhdy opailo	1	0
G765-OF005	OFCH_PREFIX	ofcheds	f114v	f114v.14	S	3	9	9	LAST	1	0	qotaiin	KNOWN_OTHER	kalt; Wert III	LINE_EDGE	OPEN	NONE	tsheodar cheo ckhor qopchedy qopchedy qokchedy shody qotaiin ofcheds	1	0
G765-OF006	OFCH_PREFIX	ofchy	f22r	f22r.4	H	1	2	9	MIDDLE	1	0	pchaiin	H1_RECORD_FORM	[pchaiin:?]	daiin	SCALAR_VALUE	Wert III	pchaiin ofchy daiin cfhy doroiin ypchol sy schor daiin	1	0
G765-OF007	OFCH_PREFIX	ofchar	f22v	f22v.1	H	1	2	8	MIDDLE	1	0	pysaiinor	OPEN	[pysaiinor:?]	oky	KNOWN_OTHER	erste Wärmestufe	pysaiinor ofchar oky tchy otdy sor shy qod	1	0
G765-OF008	OFCH_PREFIX	ofchol	f23r	f23r.4	H	1	6	10	MIDDLE	1	0	qokeey	QUALITY_STAGE	heiß am Ende des Grades	dain	OPEN	Qualitätsgrad II	qokoldy okaiir ykaiil g qokeey ofchol dain yfchor olfchor otchald	1	0
G765-OF009	OFCH_PREFIX	ofchdy	f26v	f26v.3	H	2	5	12	MIDDLE	0	0	cheeol	QUALITY_STAGE|CONTENT_PREPARATION	vollständig getrockneter Drogenstoff	otedy	OPEN	NONEXACT_UNSCORED	pchdar opar dar cheeol ofchdy otedy dy odar chedy ytedy okchdy g	1	0
G765-OF010	OFCH_PREFIX	ofchy	f26v	f26v.5	H	2	8	10	MIDDLE	0	0	opchedy	OPEN	QUARANTINED_SOURCE_COMPOSITION	chs	KNOWN_OTHER	trockene Grundform	deeol cheody qoteedy qokody qotedy qotedy opchedy ofchy chs ar	1	0
G765-OF011	OFCH_PREFIX	ofchor	f37r	f37r.1	H	1	4	9	MIDDLE	1	0	qotor	QUALITY_STAGE|AMOUNT_VALUE|CONTENT_PREPARATION	kalte Drogenportion	oty	KNOWN_OTHER	kalte Zubereitung, Anfangsstufe	tocphol shaiin qotor ofchor oty chory daiin otod or	1	0
G765-OF012	OFCH_PREFIX	ofcheefar	f39r	f39r.15	H	2	11	11	LAST	0	0	aiin	KNOWN_OTHER	Menge III	LINE_EDGE	OPEN	NONE	qolkain ol cheol daiin dar ol dld ar ador aiin ofcheefar	1	0
G765-OF013	OFCH_PREFIX	ofchy	f39v	f39v.1	H	2	7	12	MIDDLE	1	0	sheykaiiin	OPEN	[sheykaiiin:?]	kar	QUALITY_STAGE|AMOUNT_VALUE|CONTENT_PREPARATION	heiße Drogenfraktion I	pdair chdy fdykain or air sheykaiiin ofchy kar or aiin dolky oshdy	1	0
G765-OF014	OFCH_PREFIX	ofchdy	f41v	f41v.2	H	5	3	9	MIDDLE	1	0	qofcheepy	OPEN	[qofcheepy:?]	cfhekchdy	OPEN	[cfhekchdy:?]	pcheody qofcheepy ofchdy cfhekchdy ypchedy chepchefy shdchdy qotal dar	1	0
G765-OF015	OFCH_PREFIX	ofchtar	f43r	f43r.1	H	2	4	11	MIDDLE	1	0	eeody	OPEN	NONEXACT_UNSCORED	chcphedy	OPEN	NONEXACT_UNSCORED	tarodaiin ytedy eeody ofchtar chcphedy ypar shol folor aiin cphey dar	1	0
G765-OF016	OFCH_PREFIX	ofchey	f44r	f44r.8	H	1	4	7	MIDDLE	1	0	qopchy	KNOWN_OTHER	KNOWN_WHOLE_ROLE__RETIRED_LITERAL_MATERIAL_SUPPRESSED	roiry	OPEN	NONEXACT_UNSCORED	pshy opchey qopchy ofchey roiry sholos ykchy	1	0
G765-OF017	OFCH_PREFIX	ofchar	f45r	f45r.1	H	1	9	9	LAST	1	0	ypchor	OPEN	NONEXACT_UNSCORED	LINE_EDGE	OPEN	NONE	pykydal shay oty shey qop char opchal ypchor ofchar	1	0
G765-OF018	OFCH_PREFIX	ofchedy	f78r	f78r.28	B	2	8	9	MIDDLE	1	0	yfchey	OPEN	[yfchey:?]	taly	OPEN	[taly:?]	orain ol qokeedy kchol tchal olkee yfchey ofchedy taly	1	0
G765-OF019	OFCH_PREFIX	ofchedy	f78v	f78v.1	B	2	8	9	MIDDLE	1	0	dor	AMOUNT_VALUE|CONTENT_PREPARATION	miss eine Portion Droge ab	qokedy	KNOWN_OTHER	heiße Mittelstufe erreicht	ykedy olfchedy qokedy spchy chedy rol dor ofchedy qokedy	1	0
G765-OF020	OFCH_PREFIX	ofchedy	f79v	f79v.28	B	2	4	8	MIDDLE	1	0	qokain	KNOWN_OTHER	heiß, Grad II	otalshdy	OPEN	[otalshdy:?]	pchey ksheol qokain ofchedy otalshdy olkair otaiin okeedy	1	0
G765-OF021	OFCH_PREFIX	ofchedy	f86v6	f86v6.25	T	2	8	10	MIDDLE	0	0	okeeeey	OPEN	NONEXACT_UNSCORED	qokaiin	OPEN	NONEXACT_UNSCORED	yteedy qokar olkar qodar ykaiin or okeeeey ofchedy qokaiin araram	1	0
G765-OF022	OFCH_PREFIX	ofcheol	f89v1	f89v1.5	P	1	4	9	MIDDLE	1	0	cfhey	OPEN	NONEXACT_UNSCORED	opolsy	OPEN	[opolsy:?]	koldal sfal cfhey ofcheol opolsy daiin qopol oldaiin octhody	1	0
G765-OF023	OFCH_PREFIX	ofchey	f8r	f8r.9	H	1	5	8	MIDDLE	1	0	pchey	H1_RECORD_FORM	H1-Ganzform im Feld „trockene Form I“; genaue Bedeutung offen	dsheey	QUALITY_STAGE|CONTENT_PREPARATION	abgemessene, vollständig angefeuchtete Droge	tchoep sho pcheey pchey ofchey dsheey sholdaiin shor	1	0
G765-OF024	OFCH_PREFIX	ofchoshy	f93r	f93r.2	H	1	10	11	MIDDLE	0	0	s	KNOWN_OTHER	je	cthoshol	OPEN	[cthoshol:?]	ycham s chol chotom cthodar sheo s oteodal s ofchoshy cthoshol	1	0
G765-OF025	OFCH_PREFIX	ofchdy	f95v2	f95v2.1	H	3	5	9	MIDDLE	1	0	qofaiin	OPEN	[qofaiin:?]	otedy	KNOWN_OTHER	kalter Ansatz, Mittelstufe erreicht	tchody podar shody qofaiin ofchdy otedy qotedaiin shor olsain	1	0
