pair_id	head_surface	value_surface	page	locus	section	hand	head_ordinal	line_position	exact_span_eva	value_roles	value_candidate_de	written_line_eva	head_family_value_contact	component_export_credit
G765-CV001	or	aiin	f104v	f104v.38	S	3	7	MIDDLE	or aiin	AMOUNT_VALUE	Menge III	okechey chedy chchy qotain qokain chey or aiin cheo or aiin chedain okam	1	0
G765-CV002	or	aiin	f105v	f105v.26	S	3	6	MIDDLE	or aiin	AMOUNT_VALUE	Menge III	lkl sheeodees otaiin otar otal or aiin chedor alkaiin chs alkaiin ry	1	0
G765-CV003	chor	aiin	f105v	f105v.35	S	3	6	MIDDLE	chor aiin	KNOWN_OTHER	Menge III	doee okcheeo l taiin otcheedy chor aiin odaiin chedy otaiin al kaishd	1	0
G765-CV004	or	aiin	f10r	f10r.4	H	1	6	MIDDLE	or aiin	AMOUNT_VALUE	Menge III	sor chaiin chcthy ctho ckhy or aiin chtchor doiir ody	1	0
G765-CV005	or	dain	f111r	f111r.13	S	3	8	MIDDLE	or dain	OPEN	Menge/Portion II	qosheo lchdy lshedy olkeeedy lr al chr or dain shey arain chey teey cheodaiin	1	0
G765-CV006	or	aiin	f111r	f111r.46	S	3	11	MIDDLE	or aiin	AMOUNT_VALUE	Menge III	y cheeo lkeey oteed lkeedy okeeshey chey lkar al olchal or aiin cheom	1	0
G765-CV007	or	aiin	f112r	f112r.1	S	3	6	MIDDLE	or aiin	AMOUNT_VALUE	Menge III	folchey qokeey ykair arally oteedal or aiin chcphy	1	0
G765-CV008	sor	aiin	f112r	f112r.13	S	3	1	FIRST	sor aiin	KNOWN_OTHER	Menge III	sor aiin chdy ches qokeey okeey otaiin chcthy oteey dy	1	0
G765-CV009	or	aiin	f112r	f112r.20	S	3	2	MIDDLE	or aiin	AMOUNT_VALUE	Menge III	qoaiin or aiin cheol keody qol keol okeeey dal aiin ody	1	0
G765-CV010	chor	aiin	f112r	f112r.25	S	3	7	MIDDLE	chor aiin	KNOWN_OTHER	Menge III	tedain shedy ochor okchd ykedy kedy chor aiin cheety chcthy okey	1	0
G765-CV011	tchor	aiin	f112v	f112v.11	S	3	1	FIRST	tchor aiin	KNOWN_OTHER	Menge III	tchor aiin odeedy oteeey qokey lody chcfhy ochos aiin olky	1	0
G765-CV012	or	aiin	f112v	f112v.18	S	3	2	MIDDLE	or aiin	AMOUNT_VALUE	Menge III	saiin or aiin chey qokeedy qokeeey qokeeody qotam olaiin am	1	0
G765-CV013	chor	aiin	f113r	f113r.20	S	3	8	MIDDLE	chor aiin	KNOWN_OTHER	Menge III	kshoraiin qokeeoar shoteol lklcheol qokar chdain cphoy chor aiin ckhydy	1	0
G765-CV014	or	aiin	f113v	f113v.43	S	3	5	MIDDLE	or aiin	AMOUNT_VALUE	Menge III	ycheo l keey lkeees or aiin otaiin chkain olar olchedy qok aiinos	1	0
G765-CV015	or	aiin	f114r	f114r.37	S	3	2	MIDDLE	or aiin	AMOUNT_VALUE	Menge III	odar or aiin otshedy okaiin yky ols ol kaiin chees air qotaiin chedaiiin	1	0
