family_occurrence_id	family	surface	page	locus	section	hand	ordinal	line_token_count	line_position	paragraph_start_line	paragraph_end_line	left_surface	left_roles	left_candidate_de	right_surface	right_roles	right_candidate_de	written_line_eva	family_analogy_only	component_export_credit
G765-FC001	FCHY_SUFFIX	lfchy	f111r	f111r.48	S	3	7	10	MIDDLE	1	0	chckhy	KNOWN_OTHER	trockene Mischung, Anfangsstufe	cheal	QUALITY_STAGE|CONTENT_PREPARATION	Rohstoffklasse I, trocken in der Gradmitte	poeokeey lkeedy tedain shecthy qokeedy chckhy lfchy cheal chepcham daim	1	0
G765-FC002	FCHY_SUFFIX	alolfchy	f116r	f116r.31	S	3	5	11	MIDDLE	1	0	rain	OPEN	QUARANTINED_SOURCE_COMPOSITION	rpchey	H3_RECORD_FORM	[rpchey:?]	pchallarar al ckhal rain alolfchy rpchey shfy ches ar opchekan dlr	1	0
G765-FC003	FCHY_SUFFIX	chofchy	f21v	f21v.1	H	1	2	7	MIDDLE	1	0	toldshy	OPEN	[toldshy:?]	qofshey	OPEN	[qofshey:?]	toldshy chofchy qofshey shckhol odaiin shey ckholy	1	0
G765-FC004	FCHY_SUFFIX	ofchy	f22r	f22r.4	H	1	2	9	MIDDLE	1	0	pchaiin	H1_RECORD_FORM	[pchaiin:?]	daiin	SCALAR_VALUE	Wert III	pchaiin ofchy daiin cfhy doroiin ypchol sy schor daiin	1	0
G765-FC005	FCHY_SUFFIX	ofchy	f26v	f26v.5	H	2	8	10	MIDDLE	0	0	opchedy	OPEN	QUARANTINED_SOURCE_COMPOSITION	chs	KNOWN_OTHER	trockene Grundform	deeol cheody qoteedy qokody qotedy qotedy opchedy ofchy chs ar	1	0
G765-FC006	FCHY_SUFFIX	chefchy	f34v	f34v.1	H	2	3	10	MIDDLE	1	0	chdy	QUALITY_STAGE|CONTENT_PREPARATION	trockene Anfangsstufe erreicht	shdy	QUALITY_STAGE|CONTENT_PREPARATION	feuchte Anfangsstufe erreicht	kechdy chdy chefchy shdy qopchdy shdydy chdalchdy ypchdy chcthdy spaiin	1	0
G765-FC007	FCHY_SUFFIX	ofchy	f39v	f39v.1	H	2	7	12	MIDDLE	1	0	sheykaiiin	OPEN	[sheykaiiin:?]	kar	QUALITY_STAGE|AMOUNT_VALUE|CONTENT_PREPARATION	heiße Drogenfraktion I	pdair chdy fdykain or air sheykaiiin ofchy kar or aiin dolky oshdy	1	0
G765-FC008	FCHY_SUFFIX	chefchy	f66r	f66r.50	T	5	5	9	MIDDLE	1	0	chap	OPEN	NONEXACT_UNSCORED	shddy	OPEN	NONEXACT_UNSCORED	pdaiin oteedy opchedy chap chefchy shddy ypches cholpchd okedals	1	0
G765-FC009	FCHY_SUFFIX	lfchy	f86v5	f86v5.1	T	2	4	13	MIDDLE	1	0	sheody	KNOWN_OTHER	feucht angesetzt; Anfangsstufe abgeschlossen	fyshey	OPEN	[fyshey:?]	pshdal choky sheody lfchy fyshey qoty opy ypar o raiin ytor aiin opy	1	0
G765-FC010	FCHY_SUFFIX	cholfchy	f86v6	f86v6.13	T	2	5	9	MIDDLE	1	0	cpholkaiin	OPEN	[cpholkaiin:?]	qopar	OPEN	[qopar:?]	oly qopaiin yfchdy cpholkaiin cholfchy qopar aroiiin opchedy opoly	1	0
G765-FC011	FCHY_SUFFIX	chefchy	f86v6	f86v6.30	T	2	5	9	MIDDLE	1	0	paroiin	OPEN	[paroiin:?]	qopar	OPEN	[qopar:?]	polkeey tshed qopchey paroiin chefchy qopar qopchedy qopydaiin qopary	1	0
G765-FC012	FCHY_SUFFIX	dalfchy	f95r2	f95r2.1	H	3	4	8	MIDDLE	1	0	chdy	OPEN	NONEXACT_UNSCORED	qodaiin	OPEN	NONEXACT_UNSCORED	kshedy or chdy dalfchy qodaiin chckhyfchy daraiin dalal	1	0
G765-FC013	FCHY_SUFFIX	chckhyfchy	f95r2	f95r2.1	H	3	6	8	MIDDLE	1	0	qodaiin	OPEN	NONEXACT_UNSCORED	daraiin	OPEN	NONEXACT_UNSCORED	kshedy or chdy dalfchy qodaiin chckhyfchy daraiin dalal	1	0
