rule_id	rule_name	master_teaching_de
R01	BILD_ZUERST	Die Zeichnung ist fertig, bevor der Text gesetzt wird.
R02	BESITZER_ZEIGEN	Der Meister zeigt auf den lokalen Bildposten; sein Name muss nicht ausgeschrieben werden.
R03	BESITZER_VERERBEN	Folgezellen behalten denselben Besitzer bis zu einer sichtbaren Lücke oder neuen Szene.
R04	RECORD_NEUSTART	Jeder neue Record löscht den laufenden Posten, auch am selben sichtbaren Arm.
R05	BESITZERBRUCH	Ein Besitzerwechsel darf mitten in einer Aussage stehen; der Bildbruch ist stärker als die Satzmelodie.
R06	OK_AKTIVIEREN	OK setzt den folgenden Posten oder Arbeitsgang ein.
R07	CHED_UEBERFUEHREN	CHED führt einen Posten über; P und L spezifizieren hinein beziehungsweise hinaus.
R08	AR_AL_ADRESSE	AR nimmt von der Quelle, AL weist das Ziel zu.
R09	Y_REFERENT	Y hält den aktuell gemeinten Posten verfügbar: dies/es.
R10	AIIN_SOLLWERT	AIIN bezeichnet den vorgeschriebenen Wert oder das Maß.
R11	OL_FORTSETZUNG	OL führt denselben Ansatz, Weg oder Arbeitsstand weiter.
R12	OT_FOLGE	OT wechselt zum folgenden Posten oder Schritt.
R13	OR_ANSATZ	OR bezeichnet den laufenden Ansatz oder die laufende Zubereitung.
R14	E_GRADE	E, EE und EEE markieren kurz, länger und vollständig innerhalb lizenzierter Reihen.
R15	Y_OFFEN_DY_SCHLUSS	Y hält den Posten offen; nur die gelernte DY-Endkonstruktion schließt die Zelle.
R16	ABA_RUECKKEHR	A–B–A aktiviert A, wendet B an und nimmt denselben A-Posten wieder auf.
R17	DOPPELTE_ZELLE	Zwei geschlossene gleiche Zellen wiederholen den abgeschlossenen Arbeitsgang.
R18	LO_GANZWORT	LO wird als lokale Ganzkarte Abzug gelernt.
R19	RENDERER_HUELLE	q/s/ch/d-Hüllen werden nach Hand, Position und Kartendeck gesetzt; sie ändern nicht frei die Bedeutung.
R20	ZEILE_IST_RAUM	Ein physisches Zeilenende beendet keine Aussage; weitergelesen wird bis Zellschluss oder Ownerbruch.
