field_id	statement_id	record_unit_id	page	event_count	multi_surface_diagnostic_events	distinct_diagnostic_cards	frame_distribution	field_frame_mode	mode_reading_de	mode_support_events	mode_share	close_count	restart_count	slot_path	surface_sequence
F001	H1-S001	H1	f10r	10	4	4	CH:2|D:1|O:1	CH	GRUNDZUBEREITUNG_ODER_AUFBAU	2	2/4	0	3	G2>G4>G1>G4>G1>G4>G2	dchey cthoor char chty os chair otytchol oky daiin etyd
F004	H2-S002	H2	f10r	8	7	6	CH:4|D:2|Q:1	CH	GRUNDZUBEREITUNG_ODER_AUFBAU	4	4/7	0	2	G1>G4>G1>G4>G2>G1	qotchor chor otol chol cholor chol daiin dar
F005	H2-S003	H2	f10r	7	4	2	CH:2|D:1|S:1	CH	GRUNDZUBEREITUNG_ODER_AUFBAU	2	2/4	0	1	G4>G1>G2>G3>G2>G4	oykchor shor chor chy kaiiin dy chodaiin
F008	H3-S003	H3	f11r	5	4	3	CH:1|D:3	D	RUECKGRIFF_ODER_UEBERNAHME	3	3/4	0	1	G1>G2>G4>G2	dchol chy kchy dy daiin
F013	H4-S004	H4	f55v	6	4	4	O:2|X:2	X	UNGERAHMTER_POSTEN	2	2/4	0	1	G2>G5>G4>G1>G2	aiin okal oltchy or y orain
F022	B1-S002	B1	f81v	11	8	7	K:1|O:5|S:1|X:1	O	FORTSETZUNG_IM_AKTIVEN_ANSATZ	5	5/8	0	3	G2>G4>G5>G1>G4>G2>G5>G4>G1	okaiin kair okal sar ol kain olkain al ol rol dl
F030	B1-S008	B1	f81v	5	4	3	CH:1|O:2|S:1	O	FORTSETZUNG_IM_AKTIVEN_ANSATZ	2	2/4	1	0	G2>G4>G3>G4>G6	chey ol cheky ol shedy
F038	B1-S016	B1	f81v	4	4	4	CH:1|O:1|Q:2	Q	AKTIVIERTER_TEILSCHRITT	2	2/4	1	0	G5>G4>G6	qokal okeey qol cheedy
F041	B1-S018	B1	f81v	3	2	2	O:2	O	FORTSETZUNG_IM_AKTIVEN_ANSATZ	2	2/2	1	0	G4>G3>G5	dsheol oiiin olkeedy
F052	B2-S006	B2	f82r	4	2	2	Q:2	Q	AKTIVIERTER_TEILSCHRITT	2	2/2	0	0	G3>G5>G4	oteey qokal sheckhy qoky
F054	B2-S008	B2	f82r	3	2	2	S:2	S	ZUSTAND_ERGEBNIS_ODER_NEBENZWEIG	2	2/2	1	0	G2>G1>G6	sotaiin qokar shedy
F056	B2-S010	B2	f82r	4	3	3	CH:1|Q:2	Q	AKTIVIERTER_TEILSCHRITT	2	2/3	0	0	G4	qokeey qoky ls cheey
F057	B2-S011	B2	f82r	4	3	2	CH:1|O:2	O	FORTSETZUNG_IM_AKTIVEN_ANSATZ	2	2/3	1	0	G2>G1>G2>G4	okain char okain qokeedy
F073	B3-S003	B3	f83r	4	3	2	CH:2|D:1	CH	GRUNDZUBEREITUNG_ODER_AUFBAU	2	2/3	1	0	G2>G4	chey daiin chey lchedy
F074	B3-S004	B3	f83r	3	3	3	D:1|Q:2	Q	AKTIVIERTER_TEILSCHRITT	2	2/3	0	1	G2>G5>G1	qokaiin qotal dar
F082	B3-S012	B3	f83r	2	2	2	S:2	S	ZUSTAND_ERGEBNIS_ODER_NEBENZWEIG	2	2/2	1	0	G1>G6	sor shedy
F092	B3-S021	B3	f83r	4	4	4	D:1|Q:1|S:2	S	ZUSTAND_ERGEBNIS_ODER_NEBENZWEIG	2	2/4	0	1	G2>G3>G5>G2	qokaiin shcthy dal sy
F093	B3-S021	B3	f83r	7	4	4	CH:1|S:2|T:1	S	ZUSTAND_ERGEBNIS_ODER_NEBENZWEIG	2	2/4	1	1	G2>G5>G3>G2>G5>G3>G4	saiin shedal shecthy chey tal shcthy dalchdy
F098	B3-S026	B3	f83r	6	3	3	CH:2|Q:1	CH	GRUNDZUBEREITUNG_ODER_AUFBAU	2	2/3	0	1	G4>G3>G4>G2>G3	cheedar chldaiin chedy qokain checthy chealror
F112	B4-S003	B4	f83r	5	4	4	Q:2|S:1|T:1	Q	AKTIVIERTER_TEILSCHRITT	2	2/4	1	0	G2>G4>G6	otchey qokeey qoky tol shedy
