field_id	statement_id	record_unit_id	page	event_count	multi_surface_diagnostic_events	distinct_diagnostic_cards	frame_distribution	field_frame_mode	mode_reading_de	mode_support_events	mode_share	close_count	restart_count	slot_path	surface_sequence
F001	H1-S001	H1	f10r	10	4	4	CH:2|D:1|O:1	CH	GRUNDZUBEREITUNG_ODER_AUFBAU	2	2/4	0	3	G2>G4>G1>G4>G1>G4>G2	dchey cthoor char chty os chair otytchol oky daiin etyd
F002	H1-S002	H1	f10r	4	3	3	CH:1|Q:1|X:1	MIXED	NICHT_FESTGELEGT	1	1/3	0	0	G4>G3	qokchy qotchol chol cthy
F003	H2-S001	H2	f10r	9	6	4	CH:2|D:1|S:1|T:1|X:1	MIXED	NICHT_FESTGELEGT	2	2/6	0	1	G2>G3>G1>G4>G2	ycheor cthy chor cthaiin qoctholy dy chy taiin shy
F004	H2-S002	H2	f10r	8	7	6	CH:4|D:2|Q:1	CH	GRUNDZUBEREITUNG_ODER_AUFBAU	4	4/7	0	2	G1>G4>G1>G4>G2>G1	qotchor chor otol chol cholor chol daiin dar
F005	H2-S003	H2	f10r	7	4	2	CH:2|D:1|S:1	CH	GRUNDZUBEREITUNG_ODER_AUFBAU	2	2/4	0	1	G4>G1>G2>G3>G2>G4	oykchor shor chor chy kaiiin dy chodaiin
F006	H3-S001	H3	f11r	7	1	1	S:1	LOW_DATA	NICHT_FESTGELEGT	1	1/1	1	0	G2>G4>G3>G4>G6	tshol schoal cfhy shfydaiin cphy shey tchody
F007	H3-S002	H3	f11r	1	0	0	NONE	LOW_DATA	NICHT_FESTGELEGT	0	0/0	0	0	G2	shoyty
F008	H3-S003	H3	f11r	5	4	3	CH:1|D:3	D	RUECKGRIFF_ODER_UEBERNAHME	3	3/4	0	1	G1>G2>G4>G2	dchol chy kchy dy daiin
F009	H3-S004	H3	f11r	4	2	2	D:1|X:1	MIXED	NICHT_FESTGELEGT	1	1/2	0	1	G2>G4>G3>G2	qotchy okchol cthy dy
F010	H4-S001	H4	f55v	5	2	2	CH:1|Q:1	MIXED	NICHT_FESTGELEGT	1	1/2	1	0	G2>G6	qokaiin chaiin ykain ykan ody
F011	H4-S002	H4	f55v	3	2	2	CH:1|D:1	MIXED	NICHT_FESTGELEGT	1	1/2	0	1	G2>G4>G1	daiin chedy talam
F012	H4-S003	H4	f55v	4	0	0	NONE	LOW_DATA	NICHT_FESTGELEGT	0	0/0	1	0	G2>G1>G3>G6	ykaiin cheoar cheeky oldy
F013	H4-S004	H4	f55v	6	4	4	O:2|X:2	X	UNGERAHMTER_POSTEN	2	2/4	0	1	G2>G5>G4>G1>G2	aiin okal oltchy or y orain
F014	H5-S001	H5	f56r	4	2	2	CH:1|D:1	MIXED	NICHT_FESTGELEGT	1	1/2	0	0	G1>G2	chochor cho chodaly daiin
F015	H5-S001	H5	f56r	5	4	4	CH:1|D:1|O:1|S:1	MIXED	NICHT_FESTGELEGT	1	1/4	0	1	G2>G4>G1>G4>G5	sho kchol otchor choky dal
F016	H5-S002	H5	f56r	4	2	2	CH:1|S:1	MIXED	NICHT_FESTGELEGT	1	1/2	1	0	G1>G4	schol choy choky cheeckhody
F017	H5-S003	H5	f56r	4	1	1	CH:1	LOW_DATA	NICHT_FESTGELEGT	1	1/1	0	0	G2>G4	sh cho kchey qokokchy
F018	H5-S004	H5	f56r	3	1	1	O:1	LOW_DATA	NICHT_FESTGELEGT	1	1/1	0	0	G4	okchy chokcheo kchal
F019	H5-S005	H5	f56r	4	2	2	CH:1|S:1	MIXED	NICHT_FESTGELEGT	1	1/2	0	0	G2>G4	sho chokchy kchoar sotodan
F020	H5-S006	H5	f56r	3	1	1	D:1	LOW_DATA	NICHT_FESTGELEGT	1	1/1	0	1	G2>G4>G2	otchey keol daiin
F021	B1-S001	B1	f81v	1	0	0	NONE	LOW_DATA	NICHT_FESTGELEGT	0	0/0	1	0	G4	qokedy
F022	B1-S002	B1	f81v	11	8	7	K:1|O:5|S:1|X:1	O	FORTSETZUNG_IM_AKTIVEN_ANSATZ	5	5/8	0	3	G2>G4>G5>G1>G4>G2>G5>G4>G1	okaiin kair okal sar ol kain olkain al ol rol dl
F023	B1-S002	B1	f81v	8	6	5	CH:1|D:2|O:2|S:1	MIXED	NICHT_FESTGELEGT	2	2/6	1	2	G1>G4>G2>G5>G2>G4	olor ol sheckhal daiin qokeedal daiin chckhy schedy
F024	B1-S003	B1	f81v	1	1	1	Q:1	LOW_DATA	NICHT_FESTGELEGT	1	1/1	0	0	G4	qol
F025	B1-S003	B1	f81v	1	0	0	NONE	LOW_DATA	NICHT_FESTGELEGT	0	0/0	1	0	G4	sshkchdy
F026	B1-S004	B1	f81v	3	3	3	CH:1|O:1|S:1	MIXED	NICHT_FESTGELEGT	1	1/3	1	0	G4>G6	chedy ol shedy
F027	B1-S005	B1	f81v	1	1	1	Q:1	LOW_DATA	NICHT_FESTGELEGT	1	1/1	1	0	G4	qolchedy
F028	B1-S006	B1	f81v	4	2	2	Q:1|S:1	MIXED	NICHT_FESTGELEGT	1	1/2	0	1	G2>G4>G1>G4	qokain shckhy dl ral
F029	B1-S007	B1	f81v	1	0	0	NONE	LOW_DATA	NICHT_FESTGELEGT	0	0/0	1	0	G4	qokchdy
F030	B1-S008	B1	f81v	5	4	3	CH:1|O:2|S:1	O	FORTSETZUNG_IM_AKTIVEN_ANSATZ	2	2/4	1	0	G2>G4>G3>G4>G6	chey ol cheky ol shedy
F031	B1-S009	B1	f81v	1	0	0	NONE	LOW_DATA	NICHT_FESTGELEGT	0	0/0	1	0	G4	qokedy
F032	B1-S010	B1	f81v	1	0	0	NONE	LOW_DATA	NICHT_FESTGELEGT	0	0/0	1	0	G4	qokedy
