event_id	roots	page	record	statement_id	owner_de	card_no	surface	component_recipe	previous_recipe	next_recipe	pass731_atomic_reading_de	memory_effect
E002	OR	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC002	cthoor	CTH+O+OR	CH+E+Y	AR	BEREITEN · ARBEITSGANG · ANSATZ	LOAD_ACTIVE_PREPARATION
E007	OL+OT	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC007	otytchol	OT+Y+T+CH+OL	CH+AIR	OK+Y	DANACH · DIES · ANWENDEN · ENTNEHMEN · WEITER	COMPOSED_MEMORY_MOVE
E012	OL+OT	f10r	H1	H1-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC012	qotchol	OT+CH+OL	OK+Y	OL	DANACH · ENTNEHMEN · WEITER	COMPOSED_MEMORY_MOVE
E013	OL	f10r	H1	H1-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC013	chol	OL	OT+CH+OL	CTH+Y	WEITER	KEEP_ACTIVE_CHAIN
E015	OR	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC015	ycheor	Y+CH+E+OR	START	CTH+Y	DIES · ENTNEHMEN · KURZ · ANSATZ	LOAD_ACTIVE_PREPARATION
E017	OR	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC016	chor	OR	CTH+Y	CTH+AIIN	ANSATZ	LOAD_ACTIVE_PREPARATION
E019	OL	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC018	qoctholy	O+CTH+OL+Y	CTH+AIIN	Y	ARBEITSGANG · BEREITEN · WEITER · DIES	KEEP_ACTIVE_CHAIN
E024	OR+OT	f10r	H2	H2-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC020	qotchor	OT+CH+OR	START	OR	DANACH · ENTNEHMEN · ANSATZ	COMPOSED_MEMORY_MOVE
E025	OR	f10r	H2	H2-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC016	chor	OR	OT+CH+OR	OT+OL	ANSATZ	LOAD_ACTIVE_PREPARATION
E026	OL+OT	f10r	H2	H2-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC021	otol	OT+OL	OR	OL	DANACH · WEITER	COMPOSED_MEMORY_MOVE
E027	OL	f10r	H2	H2-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC013	chol	OL	OT+OL	OL+OR	WEITER	KEEP_ACTIVE_CHAIN
E028	OR+OL	f10r	H2	H2-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC022	cholor	OL+OR	OL	OL	WEITER · ANSATZ	COMPOSED_MEMORY_MOVE
E029	OL	f10r	H2	H2-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC013	chol	OL	OL+OR	AIIN	WEITER	KEEP_ACTIVE_CHAIN
E032	OR	f10r	H2	H2-S003	abgebildete breit gezähnte radialblütige Pflanze	PROC023	oykchor	O+Y+K+OR	START	OR	ARBEITSGANG · DIES · ZUGEBEN · ANSATZ	LOAD_ACTIVE_PREPARATION
E033	OR	f10r	H2	H2-S003	abgebildete breit gezähnte radialblütige Pflanze	PROC016	shor	OR	O+Y+K+OR	OR	ANSATZ	LOAD_ACTIVE_PREPARATION
E034	OR	f10r	H2	H2-S003	abgebildete breit gezähnte radialblütige Pflanze	PROC016	chor	OR	OR	Y	ANSATZ	LOAD_ACTIVE_PREPARATION
E039	OL	f11r	H3	H3-S001	abgebildete dicht blau blühende Kronenpflanze	PROC026	tshol	T+SH+OL	START	SH+O+AL	ANWENDEN · HALTEN · WEITER	KEEP_ACTIVE_CHAIN
E052	OT	f11r	H3	H3-S004	abgebildete dicht blau blühende Kronenpflanze	PROC036	qotchy	OT+Y	START	OK+OL	DANACH · DIES	ADVANCE_TO_NEXT_STEP
E053	OL	f11r	H3	H3-S004	abgebildete dicht blau blühende Kronenpflanze	PROC037	okchol	OK+OL	OT+Y	CTH+Y	ANSETZEN · WEITER	KEEP_ACTIVE_CHAIN
E067	OL	f55v	H4	H4-S003	abgebildete breitblättrige rispige Pflanze	PROC047	oldy	OL+DY	CHK+EE+Y	END	WEITER · SCHLUSS	KEEP_ACTIVE_CHAIN
E070	OL	f55v	H4	H4-S004	abgebildete breitblättrige rispige Pflanze	PROC049	oltchy	OL+T+Y	OK+AL	OR	WEITER · ANWENDEN · DIES	KEEP_ACTIVE_CHAIN
E071	OR	f55v	H4	H4-S004	abgebildete breitblättrige rispige Pflanze	PROC016	or	OR	OL+T+Y	Y	ANSATZ	LOAD_ACTIVE_PREPARATION
E073	OR	f55v	H4	H4-S004	abgebildete breitblättrige rispige Pflanze	PROC050	orain	OR+AIN	Y	END	ANSATZ · PORTION	LOAD_ACTIVE_PREPARATION
E074	OR	f56r	H5	H5-S001	abgebildete mehrköpfige stachelige Pflanze	PROC051	chochor	HO+CH+OR	START	HO	ZUTAT · ENTNEHMEN · ANSATZ	LOAD_ACTIVE_PREPARATION
E079	OL	f56r	H5	H5-S001	abgebildete mehrköpfige stachelige Pflanze	PROC054	kchol	K+OL	HO	OT+CH+OR	ZUGEBEN · WEITER	KEEP_ACTIVE_CHAIN
E080	OR+OT	f56r	H5	H5-S001	abgebildete mehrköpfige stachelige Pflanze	PROC020	otchor	OT+CH+OR	K+OL	OK+Y	DANACH · ENTNEHMEN · ANSATZ	COMPOSED_MEMORY_MOVE
E097	OT	f56r	H5	H5-S005	abgebildete mehrköpfige stachelige Pflanze	PROC064	sotodan	OT+O+AIN	K+HO+AR	END	DANACH · ARBEITSGANG · PORTION	ADVANCE_TO_NEXT_STEP
E098	OT	f56r	H5	H5-S006	abgebildete mehrköpfige stachelige Pflanze	PROC065	otchey	OT+Y	START	K+E+OL	DANACH · DIES	ADVANCE_TO_NEXT_STEP
E099	OL	f56r	H5	H5-S006	abgebildete mehrköpfige stachelige Pflanze	PROC066	keol	K+E+OL	OT+Y	AIIN	ZUGEBEN · KURZ · WEITER	KEEP_ACTIVE_CHAIN
E106	OL	f81v	B1	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	PROC013	ol	OL	AR	K+AIN	WEITER	KEEP_ACTIVE_CHAIN
E108	OL	f81v	B1	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	PROC070	olkain	OL+K+AIN	K+AIN	AL	WEITER · ZUGEBEN · PORTION	KEEP_ACTIVE_CHAIN
E110	OL	f81v	B1	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	PROC013	ol	OL	AL	R+OL	WEITER	KEEP_ACTIVE_CHAIN
E111	OL	f81v	B1	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	PROC071	rol	R+OL	OL	L	KUEHLEN · WEITER	KEEP_ACTIVE_CHAIN
E113	OR+OL	f81v	B1	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	PROC022	olor	OL+OR	L	OL	WEITER · ANSATZ	COMPOSED_MEMORY_MOVE
E114	OL	f81v	B1	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	PROC013	ol	OL	OL+OR	SH+E+CKH+AL	WEITER	KEEP_ACTIVE_CHAIN
E121	OL	f81v	B1	B1-S003	gemeinsame zweireihige Figuren-/Beckenstation	PROC013	qol	OL	START	SH+K+CHD+DY	WEITER	KEEP_ACTIVE_CHAIN
E124	OL	f81v	B1	B1-S004	gemeinsame zweireihige Figuren-/Beckenstation	PROC013	ol	OL	CHD+Y	SHED+DY	WEITER	KEEP_ACTIVE_CHAIN
E126	OL	f81v	B1	B1-S005	gemeinsame zweireihige Figuren-/Beckenstation	PROC079	qolchedy	OL+CHD+DY	START	END	WEITER · UMSETZEN · SCHLUSS	KEEP_ACTIVE_CHAIN
E133	OL	f81v	B1	B1-S008	gemeinsame zweireihige Figuren-/Beckenstation	PROC013	ol	OL	Y	CHK+E+Y	WEITER	KEEP_ACTIVE_CHAIN
E135	OL	f81v	B1	B1-S008	gemeinsame zweireihige Figuren-/Beckenstation	PROC013	ol	OL	CHK+E+Y	SHED+DY	WEITER	KEEP_ACTIVE_CHAIN
E148	OL	f81v	B1	B1-S014	gemeinsame zweireihige Figuren-/Beckenstation	PROC013	qol	OL	L+CHD+AL	OT+AR	WEITER	KEEP_ACTIVE_CHAIN
E149	OT	f81v	B1	B1-S014	gemeinsame zweireihige Figuren-/Beckenstation	PROC089	otar	OT+AR	OL	END	DANACH · QUELLE	ADVANCE_TO_NEXT_STEP
E154	OL	f81v	B1	B1-S016	gemeinsame zweireihige Figuren-/Beckenstation	PROC013	qol	OL	OK+EE+Y	SHED+DY	WEITER	KEEP_ACTIVE_CHAIN
E157	OL	f81v	B1	B1-S017	gemeinsame zweireihige Figuren-/Beckenstation	PROC093	teol	E+OL	AL	CHD+DY	KURZ · WEITER	KEEP_ACTIVE_CHAIN
E160	OL	f81v	B1	B1-S018	gemeinsame zweireihige Figuren-/Beckenstation	PROC096	dsheol	SH+E+OL	L+Y	O+IIN	HALTEN · KURZ · WEITER	KEEP_ACTIVE_CHAIN
E168	OL	f82r	B2	B2-S002	oberes Beckenpaar mit Zylinder	PROC079	qolchedy	OL+CHD+DY	START	END	WEITER · UMSETZEN · SCHLUSS	KEEP_ACTIVE_CHAIN
E182	OL	f82r	B2	B2-S005	oberes Beckenpaar mit Zylinder	PROC106	octheol	O+CTH+E+OL	OK+AIIN	CHK+EE+Y	ARBEITSGANG · BEREITEN · KURZ · WEITER	KEEP_ACTIVE_CHAIN
E185	OT	f82r	B2	B2-S006	oberes Beckenpaar mit Zylinder	PROC109	oteey	OT+EE+Y	START	OK+AL	DANACH · LANG · DIES	ADVANCE_TO_NEXT_STEP
E190	OT	f82r	B2	B2-S008	mittleres linkes Handgerät mit Inline-Knoten	PROC112	sotaiin	OT+AIIN	START	OK+AR	DANACH · SOLLMASS	ADVANCE_TO_NEXT_STEP
E193	OL	f82r	B2	B2-S009	mittleres linkes Handgerät mit Inline-Knoten	PROC114	solshedy	OL+SH+E+DY	START	END	WEITER · HALTEN · KURZ · SCHLUSS	KEEP_ACTIVE_CHAIN
E196	OL	f82r	B2	B2-S010	mittleres linkes Handgerät mit Inline-Knoten	PROC115	ls	OL	OK+Y	SH+EE+Y	WEITER	KEEP_ACTIVE_CHAIN
E218	OT	f82r	B2	B2-S016	kleine Randstationen des unteren Beckens	PROC109	oteey	OT+EE+Y	AIIN	OK+AIIN	DANACH · LANG · DIES	ADVANCE_TO_NEXT_STEP
E226	OT	f82r	B2	B2-S020	kleine Randstationen des unteren Beckens	PROC129	qoteedy	OT+EE+DY	START	END	DANACH · LANG · SCHLUSS	ADVANCE_TO_NEXT_STEP
E230	OT	f83r	B3	B3-S002	obere offene Fächerstation am Rand	PROC131	qotal	OT+AL	START	CHK+EE+DY	DANACH · ZIELSTELLE	ADVANCE_TO_NEXT_STEP
E237	OT	f83r	B3	B3-S004	obere offene Fächerstation am Rand	PROC131	qotal	OT+AL	OK+AIIN	AR	DANACH · ZIELSTELLE	ADVANCE_TO_NEXT_STEP
