exact_card_id	semantic_family	component_recipe	pass730_reading_de	pass731_reading_de	workflow_roots	registered_surfaces	events	workflow_revision
PROC002	SEM002	CTH+O+OR	BEREITEN · ARBEITSGANG · ANSATZ	BEREITEN · ARBEITSGANG · ANSATZ	OR	cthoor	1	NO
PROC007	SEM007	OT+Y+T+CH+OL	DANACH · DIES · ANWENDEN · ENTNEHMEN · FORTSETZEN	DANACH · DIES · ANWENDEN · ENTNEHMEN · WEITER	OL+OT	otytchol	1	YES
PROC012	SEM011	OT+CH+OL	DANACH · ENTNEHMEN · FORTSETZEN	DANACH · ENTNEHMEN · WEITER	OL+OT	qotchol	1	YES
PROC013	SEM012	OL	FORTSETZEN	WEITER	OL	cheol|chol|ol|qol|sol|tol	19	YES
PROC115	SEM012	OL	FORTSETZEN	WEITER	OL	ls	1	YES
PROC015	SEM014	Y+CH+E+OR	DIES · ENTNEHMEN · KURZ · ANSATZ	DIES · ENTNEHMEN · KURZ · ANSATZ	OR	ycheor	1	NO
PROC016	SEM015	OR	ANSATZ	ANSATZ	OR	chor|or|shor|sor	7	NO
PROC018	SEM017	O+CTH+OL+Y	ARBEITSGANG · BEREITEN · FORTSETZEN · DIES	ARBEITSGANG · BEREITEN · WEITER · DIES	OL	qoctholy	1	YES
PROC020	SEM019	OT+CH+OR	DANACH · ENTNEHMEN · ANSATZ	DANACH · ENTNEHMEN · ANSATZ	OR+OT	otchor|qotchor	2	NO
PROC021	SEM020	OT+OL	DANACH · FORTSETZEN	DANACH · WEITER	OL+OT	otol	1	YES
PROC022	SEM021	OL+OR	FORTSETZEN · ANSATZ	WEITER · ANSATZ	OR+OL	cholor|olor	2	YES
PROC023	SEM022	O+Y+K+OR	ARBEITSGANG · DIES · ZUGEBEN · ANSATZ	ARBEITSGANG · DIES · ZUGEBEN · ANSATZ	OR	oykchor	1	NO
PROC026	SEM025	T+SH+OL	ANWENDEN · HALTEN · FORTSETZEN	ANWENDEN · HALTEN · WEITER	OL	tshol	1	YES
PROC036	SEM035	OT+Y	DANACH · DIES	DANACH · DIES	OT	qotchy	1	NO
PROC065	SEM035	OT+Y	DANACH · DIES	DANACH · DIES	OT	otchey	2	NO
PROC037	SEM036	OK+OL	ANSETZEN · FORTSETZEN	ANSETZEN · WEITER	OL	okchol	1	YES
PROC160	SEM036	OK+OL	ANSETZEN · FORTSETZEN	ANSETZEN · WEITER	OL	qokol	1	YES
PROC047	SEM046	OL+DY	FORTSETZEN · SCHLUSS	WEITER · SCHLUSS	OL	oldy	2	YES
PROC049	SEM048	OL+T+Y	FORTSETZEN · ANWENDEN · DIES	WEITER · ANWENDEN · DIES	OL	oltchy	1	YES
PROC050	SEM049	OR+AIN	ANSATZ · PORTION	ANSATZ · PORTION	OR	orain	1	NO
PROC051	SEM050	HO+CH+OR	ZUTAT · ENTNEHMEN · ANSATZ	ZUTAT · ENTNEHMEN · ANSATZ	OR	chochor	1	NO
PROC054	SEM053	K+OL	ZUGEBEN · FORTSETZEN	ZUGEBEN · WEITER	OL	kchol	1	YES
PROC064	SEM063	OT+O+AIN	DANACH · ARBEITSGANG · PORTION	DANACH · ARBEITSGANG · PORTION	OT	sotodan	1	NO
PROC066	SEM064	K+E+OL	ZUGEBEN · KURZ · FORTSETZEN	ZUGEBEN · KURZ · WEITER	OL	keol	1	YES
